Sample_Name,Raw_Reads,Post_Clip_and_Merge,Percent_Merged_Content_Post_Clip_and_Merge,Mapped_Reads,Percent_Endogenous_DNA,Post_Duplicate_Removal_Reads,Cluster_Factor,X_Mean_Coverage,mtDNA_Reads,Median_Fragment_Length,GC_Content_Percent,Non_Human_Reads
ABM006.A0101,21040716,8124616,97.2484976520737,67249,0.827719119278991,31331,2.14640451948549,0.0005,4,44,53.35,8057367
ABM007.A0101,9498152,4257388,97.7420897508049,18096,0.425049349507257,9503,1.90424076607387,0.0001,0,44,59.67,4239292
ABM007.A0101.171215,19584634,8779546,97.6982864489804,37481,0.42691273557881,18207,2.05860383369034,0.0003,2,43,56.54,8742065
ABM008.A0101,6056962,2520771,98.4710630200046,11887,0.471562073667144,4926,2.41311408850995,0.0001,5,49,66.78,2508884
ABM008.A0101.171215,6089442,2535723,98.3633859061104,12250,0.483096931328856,4943,2.47825207363949,0.0001,5,51,67.34,2523473
ARS001.A0101.SG1.2,36402660,25983808,37.0932851720579,1402296,5.39680711926443,1230908,1.1392370510225,0.0216,4611,51,44.53,24581512
ARS004.A0101.SG1.2,25355100,18184154,35.7846892409732,603359,3.31804823034385,536414,1.12480099326267,0.0093,3052,51,44.6,17580795
ARS005.A0101.SG1.2,29846682,20112244,42.6658407684394,1755834,8.73017451458922,1523682,1.15236250083679,0.0263,2547,51,44.21,18356410
ARS010.A0101.SG1.2,31013852,20257993,48.6320634033194,2314,0.011422651789839,2009,1.15181682429069,0,1,45,59.9,20255679
ARS011.A0101.SG1.2,26161806,18265812,38.213340857773,25525,0.139741939750612,22706,1.12415220646525,0.0004,92,51,46.34,18240287
ARS012.A0101.SG1.2,29852674,20726589,40.1409609656466,293507,1.41608925617235,252688,1.16153913126069,0.0043,333,51,43.51,20433082
ARS013.A0101.SG1.2,30584064,21082198,41.092911659401,38721,0.183666807417329,34743,1.11449788446594,0.0006,70,51,46.27,21043477
ARS015.A0101.SG1.2,43124450,31214553,35.8184466072604,1311555,4.20174205281748,1161940,1.12876310308622,0.0201,2593,51,44.77,29902998
ARS017.A0101.SG1.2,57317332,41127718,36.820387165658,2633886,6.40416275952874,2275908,1.15729018923436,0.0399,2115,51,44,38493832
ARS020.A0101.SG1.2,31020626,21133899,41.5102579982993,4200,0.019873285095192,3923,1.07060922763191,0.0001,12,49,48.19,21129699
BAN001.A0101,21382118,10279949,92.0888518026695,173324,1.68603949299748,90373,1.91787370121607,0.0015,41,46,47.74,10106625
BIT001.A0101,16284740,7840433,92.2158508337486,379910,4.84552320005796,349522,1.08694159452052,0.0066,21,53,46,7460523
BIT001.A0101.171215,34456694,16593156,92.2499553430342,813718,4.90393750290783,743996,1.09371286942403,0.0141,52,53,45.57,15779438
BSQ001.A0101,23192334,10907303,89.3075492630947,40391,0.370311524306238,13976,2.89002575844305,0.0002,2,43,60.72,10866912
CDC005.A0101,1993872,1925821,NA,7695,0.399569845795637,7077,1.08732513777024,0.0001,5,51,44.21,1918126
CDC005.A0101.170817,5337800,2624617,95.9186426057592,15961,0.608126823837535,11220,1.42254901960784,0.0002,1,51,50.38,2608656
CDC006.A0101,34994338,15210915,97.0315000774115,90602,0.59563806648055,23801,3.80664677954708,0.0004,15,42,59.4,15120313
CDC007.A0101,40118406,15965860,96.8376084971308,87187,0.546083956642486,18442,4.72763257781152,0.0003,1,40,63.83,15878673
CDC008.A0101,34982516,15191052,95.3771206892057,96086,0.63251708966568,31992,3.0034383595899,0.0005,10,42,53.42,15094966
CDC009.A0101,31117538,14434761,97.2539136602262,148655,1.02984039708035,68159,2.18100324241846,0.0011,14,45,46.57,14286106
CDC010.A0101,35582078,15143701,97.1914923571193,111776,0.738102264433245,55071,2.02967078861833,0.0008,15,42,49.03,15031925
CDC011.A0101,4063605,3941957,NA,10868,0.275700622812476,10032,1.08333333333333,0.0002,4,61,46.38,3931089
CDC011.A0101.170817,10644960,5238082,96.7226362626626,27557,0.526089511389856,16062,1.71566430083427,0.0003,13,58,52.64,5210525
Chimp.150519,NA,NA,NA,255813,NA,28669,8.92298301301057,0.0003,0,31,46.12,17319354
DJA002.A0101,30118344,12060645,97.7850438347203,82508,0.684109349043936,28188,2.92706116077764,0.0004,13,41,55.6,11978137
DJA006.A0101,8762614,3666008,96.5792491451192,12604,0.343807214823317,4379,2.87828271294816,0.0001,1,46,75.65,3653404
DJA006.A0101.171215,24221230,10137154,96.5491103321504,35851,0.353659419596467,10280,3.4874513618677,0.0002,6,44,70.42,10101303
DJA007.A0101,13066884,5781538,98.3001754896361,21779,0.376699072115413,9159,2.3778796811879,0.0002,6,47,63.51,5759759
DJA007.A0101.171215,26378280,11681430,98.1820718867467,45522,0.389695439685039,17252,2.6386505912358,0.0003,10,47,59.86,11635908
DLV001.A0101,13529482,6961447,86.0877774405235,5974772,85.8265817437093,5747421,1.03955704654314,0.1315,13884,70,46.07,986675
DLV002.A0101,159310,87401,70.8126909303097,4345,4.97133900069793,2429,1.78880197612186,0.0001,1,76,47.54,83056
EBO001.A0101,43456664,15940347,97.586150414417,173057,1.08565390703226,87315,1.98198476779477,0.0015,615,49,47.95,15767290
EBO003.A0101,52834648,20663024,97.3299697082092,113079,0.547252909351507,22761,4.96810333465138,0.0004,12,48,60.28,20549945
EBO008.A0101,8216550,3721014,97.1933188104103,39641,1.06532789180584,31482,1.25916396671114,0.0006,9,54,51.08,3681373
EBO008.A0101.171215,17665616,7997015,97.1887385480708,85564,1.06994922480451,66525,1.28619316046599,0.0012,8,53,50.17,7911451
EBO009.A0101,4171968,1783508,98.0424534120396,8609,0.482700385980887,4361,1.97408851180922,0.0001,2,51,62.34,1774899
EBO009.A0101.171215,4445818,1902862,97.9770997581538,9355,0.491627874223144,4796,1.95058381984988,0.0001,1,52,61.73,1893507
