File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
ABM006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	8057367	1931778	18951132	1931239	193	23.9753011126339	23.9686115824189
ABM007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12981357	1996480	11516594	1996393	199	15.3795939823548	15.3789237904789
ABM008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	5032357	762840	4631547	762829	76	15.1587019760323	15.1584833905862
ARS001.A0101.SG1.2_S0_L003_R1_001.sorted.bam.unmapped.rma6	24581425	3032737	64096022	3031013	303	12.3375150138774	12.3305015880894
ARS004.A0101.SG1.2_S0_L003_R1_001.sorted.bam.unmapped.rma6	17580777	1519826	29837922	1516290	151	8.64481700666586	8.62470412997105
ARS005.A0101.SG1.2_S0_L003_R1_001.sorted.bam.unmapped.rma6	18356344	1704943	33000657	1703386	170	9.28803142935216	9.27954934817086
ARS010.A0101.SG1.2_S0_L003_R1_001.sorted.bam.unmapped.rma6	20255669	1421854	27677684	1419725	142	7.01953611110055	7.00902547331317
ARS011.A0101.SG1.2_S0_L003_R1_001.sorted.bam.unmapped.rma6	18240292	1570649	30555902	1568923	157	8.61087640482949	8.60141383701533
ARS012.A0101.SG1.2_S0_L003_R1_001.sorted.bam.unmapped.rma6	20433089	2085348	39654001	2084158	208	10.2057403068131	10.1999164198815
ARS013.A0101.SG1.2_S0_L003_R1_001.sorted.bam.unmapped.rma6	21043480	1910587	39240329	1908838	191	9.07923499345165	9.07092363050218
ARS015.A0101.SG1.2_S0_L003_R1_001.sorted.bam.unmapped.rma6	29902940	3041130	63343368	3037196	304	10.1700033508411	10.1568474537955
ARS017.A0101.SG1.2_S0_L003_R1_001.sorted.bam.unmapped.rma6	38493800	3704021	71600676	3701296	370	9.62238334485034	9.61530428276761
ARS020.A0101.SG1.2_S0_L003_R1_001.sorted.bam.unmapped.rma6	21129699	1929645	36427087	1927846	192	9.13238281340401	9.12386873092702
BAN001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10106625	990656	17047981	990641	99	9.80204568785326	9.80189727035484
BIT001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	23239961	3457266	66140247	3455001	345	14.8763846892858	14.8666385455638
BSQ001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10866912	1458054	15156697	1457996	145	13.4173719268179	13.4168381965364
CDC005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4526782	733987	10855675	733867	73	16.2143217853212	16.2116708955722
CDC006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15120313	3121654	28409112	3119762	312	20.645432406062	20.6329194375804
CDC007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15878673	2631302	37091522	2630318	263	16.5712966064608	16.5650996150623
CDC008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15094966	1921372	14625912	1921344	192	12.7285612965276	12.7283758042251
CDC009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	14286106	1575480	9958632	1575454	157	11.0280576106603	11.0278756156506
CDC010.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15031925	2446153	14172298	2446120	244	16.2730521872614	16.2728326545003
CDC011.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9141614	1636711	15234657	1636690	163	17.9039609416893	17.9037312229547
Chimp.150519_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17319354	3157802	23572770	3157711	315	18.2327932092617	18.2322677855075
DJA002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11978137	2097148	17869133	2097131	209	17.508131690262	17.5079897650194
DJA006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	13754707	2387719	15519033	2387666	238	17.3592865336935	17.3589012110545
DJA007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17395667	2911148	16932719	2911065	291	16.7349030077433	16.7344258774326
DLV001.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	986675	548794	11642377	548781	54	55.6205437454076	55.619226188968
DLV002.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	83056	10644	193506	10633	1	12.8154498169909	12.8022057407051
EBO001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15767290	3376300	30977561	3376240	337	21.4133183318122	21.4129377971738
EBO003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	20549945	3648883	26274269	3648834	364	17.7561691770951	17.7559307336346
EBO008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11592824	2490833	19785809	2490808	249	21.4859899537852	21.4857743031379
EBO009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3668406	686459	4972144	686453	68	18.7127324510973	18.71256889232
ECO002.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	24662284	5654203	30448609	5654026	565	22.9265180791852	22.9258003841007
ECO004.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	20400171	4394541	27392245	4394207	439	21.5416870770348	21.5400498358568
ECO006.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10488914	839566	11025888	839110	83	8.00431770152754	7.9999702543085
ECO010.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12246134	2200147	8250645	2200121	220	17.9660536133281	17.9658413014262
ElSidron1_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	50263252	8189841	59888676	8189501	818	16.2938939963534	16.2932175578293
ElSidron2_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	48199813	10103990	92993743	10103837	1010	20.962716183152	20.9623987545346
EMN001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12579489	2476475	24797582	2476440	247	19.6866104815545	19.6863322508569
ERR1022692_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	93223106	2427922	68143787	2425910	242	2.60442083961459	2.60226257640461
ERR1035437_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	168696126	4437426	58968342	4433378	443	2.63042554990267	2.62802596901366
ERR1035438_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	157684040	3736093	67604971	3733912	373	2.36935393080999	2.36797078512194
ERR1039457_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	112992201	3402198	106665299	3399973	340	3.01100250273025	3.00903334027452
ERR1039458_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	179179315	4356819	103005298	4353021	435	2.43154127472806	2.42942161041301
ERR1043166_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	156576310	4484963	75069855	4465947	448	2.8643943646392	2.85224948780566
ERR1044071_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	185489567	7048623	118466532	7026037	704	3.8000104879214	3.7878340618478
ERR1044072_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	198500515	11995027	211479447	11967742	1199	6.04281908286233	6.02907352658506
ERR1051325_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	194991142	6901320	115039989	6883818	690	3.53929923647506	3.53032344412855
ERR1051326_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	155011806	3602113	62021064	3589360	360	2.3237668748921	2.31553975959741
ERR1883418_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15313919	1620669	34386814	1620520	162	10.5829800980402	10.5820071269804
ERR1883419_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	14971987	1849661	44267435	1849563	184	12.3541451111332	12.3534905553952
