File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
ABM006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	8057367	3098254	40582658	3055977	309	38.4524373781162	37.927737435814954
ABM007_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12981357	3039478	21517291	3019875	303	23.414177731958222	23.263168865935974
ABM008_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	5032357	1293482	9740654	1288294	129	25.703303640818802	25.6002107958557
BAN001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10106625	321110	7736385	318352	32	3.177222861242007	3.149933830531953
BIT001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	23239961	4610915	102746365	4486782	461	19.84045928476386	19.30632327653218
BSQ001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10866912	1262341	11665756	1243470	126	11.616372710113048	11.442717121478484
CDC005_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4526782	1046397	18018371	1025025	104	23.115692339502985	22.64356887519655
CDC006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15120313	4730331	55957196	4676575	473	31.284610311969068	30.92908857111622
CDC007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15878673	3772587	73188592	3726266	377	23.75883047657698	23.46711214469874
CDC008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15094966	2573565	20108528	2538965	257	17.04916062745686	16.81994513932658
CDC009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	14286106	2343387	17159263	2334496	234	16.403259222632116	16.341023929123864
CDC010.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15031925	3696871	26337803	3680244	369	24.593463578350743	24.48285232929249
CDC011_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9141614	2641114	33697595	2626113	264	28.89111266347496	28.727016914081037
Chimp.150519_S0_L000_R1_000.fastq.merged.rma6	17575167	6466624	53905272	6449913	646	36.794097034753634	36.69901401221394
DJA002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11978137	3648494	35204640	3636151	364	30.45961154059266	30.35656546589841
DJA006_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	13754707	3483012	30819716	3435187	348	25.32232784020772	24.97462868529297
DJA007_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17395667	4552423	35384473	4533544	455	26.16986747331965	26.06134044759537
EBO001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15767290	5532712	71556307	5463159	553	35.08980934580387	34.64868725063089
EBO003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	20549945	5672793	54266478	5648949	567	27.60490599853187	27.488876490910318
EBO008_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11592824	3706897	33800313	3685542	370	31.975789505645906	31.79158072269535
EBO009_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3668406	1042104	10272379	1037457	104	28.407542676573964	28.280866403555116
ECO002_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	24662284	7792389	68995045	7772842	779	31.596380124403726	31.517121447470153
ECO004_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	20400171	5958717	63274193	5921290	595	29.20915221740053	29.025688068987265
ECO006.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10488914	1144768	20981892	1125104	114	10.914075565878411	10.726601438432997
ECO010.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12246134	2706357	14786996	2699127	270	22.099684684162366	22.040645643759902
EMN001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12579489	5396618	60998533	5367257	539	42.90013688155378	42.66673312405615
ERR1883418_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15313919	1382847	27112376	1336798	138	9.030000746379812	8.72930044882698
ERR1883419_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	14971987	1400358	30010488	1349908	140	9.353187389222285	9.01622476695979
ERR1883420_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17128621	1667715	33210668	1607861	166	9.736423031369542	9.386984509727899
ERR1883421_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15512230	1127441	23472726	1093409	112	7.268078155107292	7.0486899691404785
ERR1883422_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	16579390	1463975	42991020	1437029	146	8.830089647447824	8.667562558091703
ERR1883423_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	14450910	2208235	57656549	2132860	220	15.280940785043986	14.759347335219719
ERR1883424_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17758233	1145737	30906547	1121745	114	6.45186376369766	6.316760231719
ERR1883430_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	14823024	1784933	37830604	1719221	178	12.041625244619452	11.598314891752182
ERR1883436_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	20645139	3024983	69675527	2898867	302	14.652277226130566	14.041402191576429
ERR1883438_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17270876	1404088	34444524	1364101	140	8.129801869922522	7.898273370731166
ESA003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10129501	5936564	72722012	5779313	593	58.606677663588755	57.054271478920825
ESA004.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7824141	3698737	30211697	3438560	369	47.273393973856045	43.948083246454786
ESA006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11233426	5200182	41712566	5114606	520	46.29203949000065	45.530241619965274
ESA007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9903431	4758351	34551943	4475101	475	48.04749990180171	45.18738001001875
ESA008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9119930	4350109	34301838	4247767	435	47.698929706697314	46.57675004084461
EXB002.A1101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	280225	77852	5416506	76820	7	27.781960924257294	27.413685431349812
EXB015.A1701_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	238443	165872	12896546	164477	16	69.5646338957319	68.97958841316373
EXB015.A1901_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	277964	210589	16296698	209074	21	75.76124965822912	75.21621504943086
EXB015.A2001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	309131	230066	18621881	228737	23	74.42346448592991	73.99354966017643
EXB015.A2101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	448340	352312	28965832	350665	35	78.58143373332739	78.2140786010617
EXB015.A2201_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	505402	368696	27515537	366408	36	72.95103699629206	72.49832806360087
EXB015.A2301_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	172075	116352	7459813	115328	11	67.61702745895684	67.02193810838297
EXB015.A2401_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	490275	266131	21386873	265560	26	54.281984600479326	54.165519351384425
EXB015.A2501_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1622112	653070	52128123	649604	65	40.26047523228976	40.04680318005169
EXB015.A2601_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1535271	574202	47563372	571008	57	37.40069342806579	37.19265198131144
EXB015.A2801_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	2086131	975249	48058902	970300	97	46.749173469930696	46.51194004595109
EXB015.A2901_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	490977	251662	19445687	250554	25	51.25739087574367	51.03171839006715
EXB020.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	81784	48915	3043906	48312	4	59.80998728357625	59.07267925266556
EXB021.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	73597	49406	3279865	48927	4	67.13045368697094	66.4796119407041
EXB022.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	1767632	1116203	69871244	1092622	111	63.146797523466425	61.812752880690105
EXB023.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	1731519	957284	52977057	939229	95	55.2857924169472	54.243066348102445
EXB033.A0401_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	891364	256390	9081205	250504	25	28.763782248329527	28.10344595473903
EXB033.A0801_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	940295	538479	32877015	533354	53	57.267027900818356	56.721986185186566
EXB033.A1401_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	223573	43588	1386810	42236	4	19.496092998707358	18.89136881466009
ElSidron1_S0_L000_R1_000.fastq.merged.rma6	50286713	14252611	128025588	14179818	1425	28.342697602843913	28.197941670993686
ElSidron2_S0_L000_R1_000.fastq.merged.rma6	48231792	18116834	231463348	17904750	1811	37.562017185677036	37.12229891852245
FDM001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4889751	2042244	31078482	1999697	204	41.7658077067728	40.89568160014692
FUM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10808498	5168520	155000877	5149787	516	47.81904016635799	47.64572283771529
FUM002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17157534	6863964	108447455	6842807	686	40.005539257564635	39.882228996311476
FUM003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15708618	5971340	131959836	5870371	597	38.013146668917656	37.370384842256655
GDC002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11300654	3640060	83140902	3585052	364	32.21105610347861	31.724287815554746
GDC004.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12302652	4335073	48083192	4312877	433	35.23689851586471	35.056482130844635
