sample	Env	Description	Host_General	Host_Common	Age	EnvironmentalControl	ruralGut	sediment	skin	subPlaque	supPlaque	urbanGut	unknown	total_plaquegut	more_env
CDC005.A0101	Chimp_1	Pan_troglodytes	Chimp	Pan	Historical	0.0078	0	0.6469	0.0497	0.069	0	0	0.2266	0.069	TRUE
CDC006.A0101	Chimp_1	Pan_troglodytes	Chimp	Pan	Historical	0.0241	0.0042	0.4656	0.0022	0.2822	0	0.0026	0.2191	0.289	TRUE
CDC007.A0101	Chimp_1	Pan_troglodytes	Chimp	Pan	Historical	0.2504	0	0.4044	0.158	0.021	1e-4	0	0.1661	0.0211	TRUE
CDC008.A0101	Chimp_1	Pan_troglodytes	Chimp	Pan	Historical	0	0.1024	0.4017	1e-4	0.2386	0	1e-4	0.2571	0.3411	TRUE
CDC009.A0101	Chimp_1	Pan_troglodytes	Chimp	Pan	Historical	0	0.1372	0.4509	0	0.1346	3e-4	0	0.277	0.2721	TRUE
CDC010.A0101	Chimp_1	Pan_troglodytes	Chimp	Pan	Historical	0	0.1072	0.3656	3e-4	0.298	0	0.0017	0.2272	0.4069	FALSE
CDC011.A0101	Chimp_1	Pan_troglodytes	Chimp	Pan	Historical	0.0903	0.0989	0.4746	1e-4	0.1612	0	0	0.1749	0.2601	TRUE
KNP001.A0102	Chimp_2	Pan_troglodytes	Chimp	Pan	Historical	0	0.1319	0.2565	6e-4	0.4453	0	0	0.1657	0.5771999999999999	FALSE
KNP003.A0102	Chimp_2	Pan_troglodytes	Chimp	Pan	Historical	0	0.0859	0.2019	0	0.5404	0	0	0.1718	0.6263	FALSE
KNP005.A0102	Chimp_2	Pan_troglodytes	Chimp	Pan	Historical	0	0.1803	0.1638	0	0.364	0	0	0.2919	0.5443	FALSE
KNP006.A0102	Chimp_2	Pan_troglodytes	Chimp	Pan	Historical	0.0027	0.0899	0.2037	8e-4	0.4555	0	0	0.2474	0.5454	FALSE
KNP007.A0102	Chimp_2	Pan_troglodytes	Chimp	Pan	Historical	0	0.1569	0.312	0	0.3909	0	0	0.1402	0.5478000000000001	FALSE
KNP009.A0102	Chimp_2	Pan_troglodytes	Chimp	Pan	Historical	3e-4	0.1031	0.134	0	0.6102	0	0	0.1524	0.7132999999999999	FALSE
ABM007.A0101	Chimp_3	Pan_troglodytes	Chimp	Pan	Historical	0	0.1491	0.3304	1e-4	0.2841	0	0	0.2363	0.43320000000000003	FALSE
ABM008.A0101	Chimp_3	Pan_troglodytes	Chimp	Pan	Historical	0.0018	0.0997	0.2617	0	0.3991	6e-4	0.0468	0.1903	0.5462	FALSE
DJA006.A0101	Chimp_3	Pan_troglodytes	Chimp	Pan	Historical	0.0522	0.1523	0.377	3e-4	0.2072	0	0	0.211	0.3595	TRUE
DJA007.A0101	Chimp_3	Pan_troglodytes	Chimp	Pan	Historical	0	0.1203	0.2135	0.0109	0.4384	0	0.0475	0.1694	0.6062	FALSE
EBO008.A0101	Chimp_3	Pan_troglodytes	Chimp	Pan	Historical	0	0.143	0.329	4e-4	0.3614	4e-4	0.0143	0.1515	0.5191	FALSE
EBO009.A0101	Chimp_3	Pan_troglodytes	Chimp	Pan	Historical	0	0.1139	0.3675	0.0693	0.2889	0	0.0017	0.1587	0.40449999999999997	FALSE
Chimp.150519	Chimp_4	Pan_troglodytes	Chimp	Pan	Historical	0	0.1382	0.2016	0	0.391	0	0.0471	0.2221	0.5763	FALSE
LOB001.A0101	Gorilla_3	Gorilla_beringei_graueri	Gorilla	Gorilla	Historical	0.0423	0	0.345	0.2822	0	0.1905	0	0.14	0.1905	TRUE
MTK001.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0	0	0.2125	0.0398	0	0.6698	0	0.0779	0.6698	FALSE
MTM001.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	7e-4	0.0012	0.1334	0.0591	0.5294	0.1794	0	0.0968	0.71	FALSE
MTM002.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0	1e-4	0.1926	0.6686	1e-4	0.0612	0	0.0774	0.0614	TRUE
MTM003.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0	0	0.1912	0.4587	0.1373	0.1004	0	0.1124	0.23770000000000002	TRUE
MTM004.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	2e-4	0.0072	0.2035	0.083	0.1721	0.4339	7e-4	0.0994	0.6139	FALSE
MTM005.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0	0	0.0867	0.1041	0.1089	0.5937	0	0.1066	0.7026	FALSE
MTM006.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0.0015	0	0.2681	0.2307	0	0.4274	0	0.0723	0.4274	FALSE
MTM008.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0	0.0021	0.084	0.0616	0.0468	0.7025	0.003	0.1	0.7544	FALSE
MTM009.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0.0039	0	0.1071	0.4427	0.3101	0.0029	1e-4	0.1332	0.3131	TRUE
MTM010.A0101	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Historical	0.0011	6e-4	0.2188	0.4583	0	0.264	0.0013	0.0559	0.2659	TRUE
MTM011.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0	0	0.3745	0.105	0.2173	0.2187	0	0.0845	0.436	FALSE
MTM012.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0	0	0.2446	0.4798	0	0.1673	0	0.1083	0.1673	TRUE
MTM013.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0	2e-4	0.2398	0.4464	0	0.228	0	0.0856	0.22820000000000001	TRUE
MTS001.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0	0	0.0898	0.1486	0.2182	0.412	0	0.1314	0.6302	FALSE
MTS002.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0	0	0.2223	0.1985	6e-4	0.4738	0	0.1048	0.4744	FALSE
MTS003.A0101	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Historical	0	0	0.2636	0.4363	0.1575	0.0553	0	0.0873	0.2128	TRUE
ABM006.A0101	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Historical	0.0361	1e-4	0.3735	0.0132	0.5042	0	0	0.0729	0.5043	FALSE
DJA002.A0101	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Historical	0	0.038	0.3016	0.013	0.5325	0	0	0.1149	0.5705	FALSE
EBO001.A0101	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Historical	0	0.0295	0.2697	0.0299	0.3611	0.1833	0.0045	0.122	0.5783999999999999	FALSE
EBO003.A0101	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Historical	0	0.1594	0.3126	0.0236	0.3526	0	4e-4	0.1514	0.5124	FALSE
GDC002.A0101	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Historical	0	0.0393	0.4144	0.3595	0.0896	0	0	0.0972	0.12890000000000001	TRUE
GDC004.A0101	Gorilla_2	Gorilla_gorilla_gorilla	Gorilla	Gorilla	Historical	0	0	0.215	0.4586	0	0	0	0.3264	0	TRUE
