individual	sample	raw_reads	post_clip_and_merge	percent_merged_content_post_clip_and_merge	mapped_reads	percent_endogenous_dna	post_duplicate_removal_reads	cluster_factor	x_mean_coverage	mt_dna_reads	median_fragment_length	gc_content_percent	non_human_reads	study	accession_id	source_sink	env	description	host_general	host_genus	host_common	code	is_oral	age	location	site	tooth_source	type	screening_deep_data	ncbi_project_id	sample_or_control	sample_number	polygtrimmed_number_reads_after_c_m_prior_mapping	polygtrimmed_number_of_merged_reads	polygtrimmed_percent_merged_reads	polygtrimmed_number_reads_not_attempted_to_map	polygtrimmed_number_mapped_reads_prior_rm_dup	polygtrimmed_number_of_duplicates_removed	polygtrimmed_mapped_reads_after_rm_dup	polygtrimmed_endogenous_dna_percent	polygtrimmed_cluster_factor	polygtrimmed_mean_coverage	polygtrimmed_std_dev_coverage	polygtrimmed_coverage_1x_in_percent	polygtrimmed_coverage_2x_in_percent	polygtrimmed_coverage_3x_in_percent	polygtrimmed_coverage_4x_in_percent	polygtrimmed_coverage_5x_in_percent	polygtrimmed_number_of_reads_on_mitochondrium	polygtrimmed_avg_coverage_on_mitochondrium	polygtrimmed_mt_nuc_ratio	polygtrimmed_dmg_1st_base_3	polygtrimmed_dmg_2nd_base_3	polygtrimmed_dmg_1st_base_5	polygtrimmed_dmg_2nd_base_5	polygtrimmed_average_fragment_length	polygtrimmed_median_fragment_length	polygtrimmed_gc_content_in_percent
ARS001	ARS001.A0101.SG1.2	36402660	25983808	37.0932851720579	1402296	5.39680711926443	1230908	1.1392370510225	0.0216	4611	51	44.53	24581512	Jeong2018	ERR3579689	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	NA	PRJNA429081	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS004	ARS004.A0101.SG1.2	25355100	18184154	35.7846892409732	603359	3.31804823034385	536414	1.12480099326267	0.0093	3052	51	44.6	17580795	Jeong2018	ERR3579690	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	NA	PRJNA429081	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS005	ARS005.A0101.SG1.2	29846682	20112244	42.6658407684394	1755834	8.73017451458922	1523682	1.15236250083679	0.0263	2547	51	44.21	18356410	Jeong2018	ERR3579691	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	NA	PRJNA429081	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS010	ARS010.A0101.SG1.2	31013852	20257993	48.6320634033194	2314	0.011422651789839	2009	1.15181682429069	0	1	45	59.9	20255679	Jeong2018	ERR3579692	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	NA	PRJNA429081	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS011	ARS011.A0101.SG1.2	26161806	18265812	38.213340857773	25525	0.139741939750612	22706	1.12415220646525	4e-4	92	51	46.34	18240287	Jeong2018	ERR3579693	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	NA	PRJNA429081	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS012	ARS012.A0101.SG1.2	29852674	20726589	40.1409609656466	293507	1.41608925617235	252688	1.16153913126069	0.0043	333	51	43.51	20433082	Jeong2018	ERR3579694	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	NA	PRJNA429081	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS013	ARS013.A0101.SG1.2	30584064	21082198	41.092911659401	38721	0.183666807417329	34743	1.11449788446594	6e-4	70	51	46.27	21043477	Jeong2018	ERR3579695	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	NA	PRJNA429081	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS015	ARS015.A0101.SG1.2	43124450	31214553	35.8184466072604	1311555	4.20174205281748	1161940	1.12876310308622	0.0201	2593	51	44.77	29902998	Jeong2018	ERR3579696	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	NA	PRJNA429081	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS017	ARS017.A0101.SG1.2	57317332	41127718	36.820387165658	2633886	6.40416275952874	2275908	1.15729018923436	0.0399	2115	51	44	38493832	Jeong2018	ERR3579697	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	NA	PRJNA429081	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS020	ARS020.A0101.SG1.2	31020626	21133899	41.5102579982993	4200	0.019873285095192	3923	1.07060922763191	1e-4	12	49	48.19	21129699	Jeong2018	ERR3579698	source	EnvironmentalControl	Archaeological_femur	EnvironmentalControl	Control	EnvironmentalControl	EN0	Not_Oral	Bronze Age	Mongolia	Arbulag sum	NA	NA	NA	PRJNA429081	Control	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
