Group	Taxon	Stat	P-value	Significance	Core_or_Shared	Genus
A-Howler_Monkey	Streptococcus_massiliensis	1	0.001	***	core	Streptococcus
A-Howler_Monkey	Leptotrichia_goodfellowii	0.999	0.001	***	core	Leptotrichia
A-Howler_Monkey	Aggregatibacter_actinomycetemcomitans	0.986	0.001	***	core	Aggregatibacter
A-Howler_Monkey	Campylobacter_curvus	0.982	0.001	***	core	Campylobacter
A-Howler_Monkey	Kingella_oralis	0.98	0.001	***	core	Kingella
A-Howler_Monkey	Actinomyces_massiliensis	0.925	0.001	***	core	Actinomyces
A-Howler_Monkey	Gemella_unclassified	0.871	0.001	***	core	Gemella
A-Howler_Monkey	Neisseria_bacilliformis	0.859	0.001	***	core	Neisseria
A-Howler_Monkey	Riemerella_unclassified	0.817	0.001	***	core	Riemerella
A-Howler_Monkey	Cardiobacterium_hominis	0.81	0.001	***	core	Cardiobacterium
A-Howler_Monkey	Actinobacillus_unclassified	0.804	0.001	***	core	Actinobacillus
A-Howler_Monkey	Sphingobacterium_unclassified	0.794	0.001	***	core	Sphingobacterium
A-Howler_Monkey	Scardovia_wiggsiae	0.632	0.001	***	core	Scardovia
A-Howler_Monkey	Porphyromonas_gulae	0.632	0.001	***	core	Porphyromonas
A-Howler_Monkey	Actinobaculum_sp_oral_taxon_183	0.61	0.005	**	core	Actinobaculum
A-Howler_Monkey	Bartonella_unclassified	0.563	0.002	**	core	Bartonella
A-Howler_Monkey	Kocuria_unclassified	0.469	0.043	*	core	Kocuria
A-Howler_Monkey	Aeromicrobium_sp_JC14	0.447	0.029	*	core	Aeromicrobium
A-Howler_Monkey	Bacteroides_pyogenes	0.445	0.014	*	core	Bacteroides
A-Howler_Monkey	Erysipelothrix_unclassified	0.439	0.025	*	core	Erysipelothrix
B-Gorilla	Erysipelothrix_rhusiopathiae	0.772	0.001	***	core	Erysipelothrix
B-Gorilla	Aggregatibacter_unclassified	0.76	0.001	***	core	Aggregatibacter
B-Gorilla	Staphylococcus_saprophyticus	0.709	0.001	***	core	Staphylococcus
B-Gorilla	Vagococcus_lutrae	0.694	0.002	**	core	Vagococcus
B-Gorilla	Streptococcus_mutans	0.672	0.002	**	core	Streptococcus
B-Gorilla	Acinetobacter_unclassified	0.653	0.003	**	core	Acinetobacter
B-Gorilla	Streptococcus_dysgalactiae	0.649	0.004	**	core	Streptococcus
