sample_name	Env	Description	Host_General	Host_Genus	Host_Common	Age	Location	Accession_ID	Study	total_number_raw_reads_before_clipmerge	total_number_reads_after_clipmerge_prior_mapping	total_number_merged_reads	mean_percent_merged_reads	total_number_reads_not_attempted_to_map	total_number_reads_mapped_prior_rmdup	total_number_duplicates_removed	total_number_reads_mapped_after_rmdup	mean_percent_endogenous_dna	mean_cluster_factor	mean_mean_fold_coverage	mean_std_dev_coverage	mean_percent_coverage_morethan_1x	mean_percent_coverage_morethan_2x	mean_percent_coverage_morethan_3x	mean_percent_coverage_morethan_4x	mean_percent_coverage_morethan_5x	total_number_reads_on_mitochondrium	mean_average_coverage_on_mitochondrium	mean_ratio_mitochondrion_to_nuclear	mean_frequency_damage_1st_base_3prime	mean_frequency_damage_2nd_base_3prime	mean_frequency_damage_1st_base_5prime	mean_frequency_damage_2nd_base_5prime	mean_average_fragment_length	mean_median_fragment_length	mean_percent_gc_content	total_unmapped_reads		
DJA002	Gorilla_2	Gorilla_gorilla	Gorilla	Gorilla	Gorilla	Historical	Cameroon	ERR3579714	This_study	145419258	51889467	51266970	98.7983333333333	622478	96146	9475	86671	0.185333333333333	1.105	0.000433333333333	0.038066666666667	0.036666666666667	0	0	0	0	31	0.033154284104855	63.8633333333333	0.019933333333333	0.018966666666667	0.018733333333333	0.018766666666667	44.8466666666667	38	47.6233333333333	51793321		59587055.4304424
EBO003	Gorilla_2	Gorilla_gorilla	Gorilla	Gorilla	Gorilla	Historical	Cameroon	ERR3579723	This_study	163054200	57411964	55586335	96.8223333333333	1825572	81686	10864	70822	0.142666666666667	1.14466666666667	0.000433333333333	0.0262	0.043333333333333	0	0	0	0	46	0.061661335425594	111.616666666667	0.009166666666667	0.0121	0.012666666666667	0.01	61.5533333333333	61.3333333333333	47.8866666666667	57330278		
ECO002	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	Mesolithic	Spain	ERR3579729	This_study	107186852	37977768	35698069	93.991	2279676	131374	17431	113943	0.345666666666667	1.147	0.0008	0.031033333333333	0.08	0	0	0	0	64	0.098155189409942	122.276666666667	0.010433333333333	0.009766666666667	0.010366666666667	0.007	67.79	75.3333333333333	43.7833333333333	37846394		
ECO004	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	Mesolithic	Spain	ERR3579732	This_study	134246266	56901161	45232730	79.5183333333333	11668388	3621389	508285	3113104	6.37066666666667	1.15033333333333	0.0235	0.224033333333333	2.21	0.09	0.006666666666667	0.006666666666667	0	999	1.45404067837528	61.95	0.003966666666667	0.003666666666667	0.003566666666667	0.002533333333333	70.11	74.6666666666667	44.15	53279772		
EMN001	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	Palaeolithic	Spain	ERR3579737	This_study	208944200	99227533	87965664	88.6336666666667	11261832	65633	8428	57205	0.066333333333333	1.14066666666667	0.0004	0.0251	0.036666666666667	0	0	0	0	26	NaN	62.87	0.014333333333333	0.007866666666667	0.011133333333333	0.008266666666667	65.34	73.6666666666667	45.4866666666667	99161900		
FUM002	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	Palaeolithic	Italy	ERR3579747	This_study	61703682	23327553	22884354	98.092	443166	266953	36040	230913	1.14666666666667	1.147	0.001866666666667	0.045833333333333	0.176666666666667	0.006666666666667	0	0	0	228	0.337296557828877	173.246666666667	0.003733333333333	0.004433333333333	0.0043	0.0027	74.7966666666667	76	47.2	23060600		
GOY005	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	Palaeolithic	Belgium	ERR3678727	This_study	443150763	332990717	0	0	0	6877083	1185772	5691311	2.065	1.208	0.1116	0.7186	9.66	1.06	0.13	0.03	0.02	2110	7.9415776449997	71.17	0.0121	0.0066	0.0042	0.0032	60.72	66	45.67	326113634		
KNP001	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	ERR3579760; ERR3579759	This_study	302497552	153838340	131821720	83.255	22016592	2980802	251030	2729772	1.8745	1.101	0.0268	0.22575	2.515	0.09	0.01	0.005	0.005	46	0.078972780493693	2.075	0.0135	0.01365	0.01	0.01115	61.53	58	43.34	150857538		
KNP004	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	ERR3579764; ERR3579763	This_study	479828768	259190168	205560262	75.225	53629844	1933004	204394	1728610	0.699	1.12	0.01665	0.16525	1.575	0.045	0.005	0.005	0.005	292	0.562707465749291	35.01	0.0107	0.0101	0.00795	0.00825	60.485	56	43.32	257257164		
KNP005	Chimp_2	Pan_troglodytes	Chimp	Pan	Pan	Historical	Uganda	ERR3579766; ERR3579675	This_study	102180635	89832059	6504711	34.4025	2949104	584308	51584	532724	0.583	1.1085	0.00555	0.09265	0.535	0.005	0	0	0	41	0.069165308709035	15.255	0.01755	0.0139	0.01305	0.0118	64.55	61	42.02	89247751		
