sample_name	total_number_raw_reads_before_clipmerge	total_number_reads_after_clipmerge_prior_mapping	total_number_merged_reads	mean_percent_merged_reads	total_number_reads_not_attempted_to_map	total_number_reads_mapped_prior_rmdup	total_number_duplicates_removed	total_number_reads_mapped_after_rmdup	mean_percent_endogenous_dna	mean_cluster_factor	mean_mean_fold_coverage	mean_std_dev_coverage	mean_percent_coverage_morethan_1x	mean_percent_coverage_morethan_2x	mean_percent_coverage_morethan_3x	mean_percent_coverage_morethan_4x	mean_percent_coverage_morethan_5x	total_number_reads_on_mitochondrium	mean_average_coverage_on_mitochondrium	mean_ratio_mitochondrion_to_nuclear	mean_frequency_damage_1st_base_3prime	mean_frequency_damage_2nd_base_3prime	mean_frequency_damage_1st_base_5prime	mean_frequency_damage_2nd_base_5prime	mean_average_fragment_length	mean_median_fragment_length	mean_percent_gc_content	total_unmapped_reads
DJA002.A0102.SG1.1	145419258	51889467	51266970	98.79833333333333	622478	96146	9475	86671	0.18533333333333332	1.105	4.333333333333333e-4	0.038066666666666665	0.03666666666666667	0	0	0	0	31	0.033154284104854444	63.86333333333333	0.019933333333333334	0.018966666666666666	0.018733333333333334	0.018766666666666668	44.84666666666667	38	47.623333333333335	51793321
EBO003.A0102.SG1.1	163054200	57411964	55586335	96.82233333333333	1825572	81686	10864	70822	0.14266666666666666	1.1446666666666667	4.333333333333333e-4	0.026199999999999998	0.043333333333333335	0	0	0	0	46	0.06166133542559398	111.61666666666667	0.009166666666666667	0.0121	0.012666666666666666	0.01	61.553333333333335	61.333333333333336	47.88666666666666	57330278
ECO002.B0102.SG1.1	107186852	37977768	35698069	93.991	2279676	131374	17431	113943	0.3456666666666666	1.147	8e-4	0.031033333333333333	0.08	0	0	0	0	64	0.09815518940994247	122.27666666666667	0.010433333333333333	0.009766666666666667	0.010366666666666666	0.007	67.79	75.33333333333333	43.78333333333333	37846394
ECO004.B0103.SG1.1	134246266	56901161	45232730	79.51833333333333	11668388	3621389	508285	3113104	6.370666666666667	1.1503333333333332	0.0235	0.22403333333333333	2.21	0.09000000000000001	0.006666666666666667	0.006666666666666667	0	999	1.4540406783752817	61.949999999999996	0.003966666666666667	0.0036666666666666666	0.0035666666666666668	0.002533333333333333	70.11	74.66666666666667	44.15	53279772
EMN001.A0102.SG1.1	208944200	99227533	87965664	88.63366666666667	11261832	65633	8428	57205	0.06633333333333334	1.1406666666666667	3.9999999999999996e-4	0.0251	0.03666666666666667	0	0	0	0	26	NaN	62.870000000000005	0.014333333333333333	0.007866666666666668	0.011133333333333334	0.008266666666666667	65.34	73.66666666666667	45.486666666666665	99161900
FUM002.A0103.SG1.1	61703682	23327553	22884354	98.092	443166	266953	36040	230913	1.1466666666666667	1.147	0.0018666666666666666	0.04583333333333333	0.17666666666666667	0.006666666666666667	0	0	0	228	0.3372965578288771	173.24666666666667	0.0037333333333333333	0.004433333333333333	0.0043	0.0027	74.79666666666667	76	47.2	23060600
GOY005.A0102	443150763	332990717	0	0	0	6877083	1185772	5691311	2.065	1.208	0.1116	0.7186	9.66	1.06	0.13	0.03	0.02	2110	7.9415776449997	71.17	0.0121	0.0066	0.0042	0.0032	60.72	66	45.67	326113634
KNP001.A0101	16260702	8579288	6907695	80.516	1671590	154717	15438	139279	1.803	1.111	0.0028	0.0572	0.27	0	0	0	0	1	0.00307803729856962	1.1	0.0139	0.0141	0.0102	0.0111	62.32	59	43.14	8424571
KNP001.A0101.161208	286236850	145259052	124914025	85.994	20345002	2826085	235592	2590493	1.946	1.091	0.0508	0.3943	4.76	0.18	0.02	0.01	0.01	45	0.154867523688816	3.05	0.0131	0.0132	0.0098	0.0112	60.74	57	43.54	142432967
KNP004.A0101	19393382	11064963	7829589	70.76	3235370	71750	7800	63950	0.648	1.122	0.0013	0.0376	0.12	0	0	0	0	12	0.0460498521335023	36.32	0.0105	0.0102	0.0073	0.008	61.39	57	43.08	10993213
KNP004.A0101.161208	460435386	248125205	197730673	79.69	50394474	1861254	196594	1664660	0.75	1.118	0.032	0.2929	3.03	0.09	0.01	0.01	0.01	280	1.07936507936508	33.7	0.0109	0.01	0.0086	0.0085	59.58	55	43.56	246263951
KNP005.A0101	16828080	9453826	6504711	68.805	2949104	47082	5138	41944	0.498	1.122	9e-4	0.0309	0.09	0	0	0	0	5	0.0162954915806627	18.49	0.0162	0.0141	0.014	0.0121	65.05	63	42.34	9406744
KNP005.A0101.161011	85352555	80378233	0	0	0	537226	46446	490780	0.668	1.095	0.0102	0.1544	0.98	0.01	0	0	0	36	0.122035125837407	12.02	0.0189	0.0137	0.0121	0.0115	64.05	59	41.7	79841007
KNP009.A0101	16758892	9682068	6645058	68.633	3037006	14409	1280	13129	0.149	1.097	3e-4	0.0174	0.03	0	0	0	0	0	NaN	0	0.0143	0.0124	0.0116	0.0146	64.15	61	42.43	9667659
KNP009.A0101.161208	208356046	114152943	87755539	76.875	26397392	188506	13335	175171	0.165	1.076	0.0035	0.0692	0.34	0	0	0	0	38	0.140020520248657	39.84	0.016	0.0165	0.0116	0.0131	62.13	58	42.59	113964437
LIB007.A0115	1985400	364172	104949	28.819	258418	103702	100088	3614	28.476	28.695	1e-4	0.2132	0	0	0	0	0	0	NaN	0	0.0293	0.0252	0.0175	0.0208	58.67	62	93.35	260470
LIB007.A0116	1227864	251819	26141	10.381	225230	99504	96659	2845	39.514	34.975	1e-4	0.1513	0	0	0	0	0	0	NaN	0	0.0175	0.0217	0.0171	0.0066	64.7	68	84.9	152315
LIB007.A0135.SG1.1	2830970	838216	101666	12.129	734694	355189	340464	14725	42.374	24.121	3e-4	0.2458	0.02	0	0	0	0	6	0.02667632325427	81.21	0.0036	0.0061	0.0027	0.0036	69.09	74	53.34	483027
LIB025.A0301	1985302	737031	625246	84.833	111734	24280	4742	19538	3.294	1.243	4e-4	0.0228	0.03	0	0	0	0	3	0.0109240147262961	30.68	0.0055	0.0036	0.005	0.0024	56.42	53	42.8	712751
LIB025.A1001	2785008	1377612	560049	40.654	806232	368292	346338	21954	26.734	16.776	4e-4	0.3484	0.03	0	0	0	0	5	0.026797030599312	65.55	0.0085	0.0127	0.0099	0.0069	57.66	53	57.2	1009320
LIB025.A1301	1256380	545916	125328	22.957	410694	181248	167531	13717	33.201	13.213	3e-4	0.3198	0.01	0	0	0	0	11	0.0462309131510652	174.22	0.0041	0.0148	0.0012	0.0045	59.94	57	63.2	364668
