"Sample_Name","Extra_lib_2","NonHuman_Reads_Lib_1","NonHuman_Reads_Lib_2","Final NonHuman Reads"
"DJA002","NA",51793321,0,51793321
"EBO003","NA",57330278,0,57330278
"ECO002","NA",37846394,0,37846394
"ECO004","NA",53279772,0,53279772
"EMN001","NA",99161900,0,99161900
"FUM002","NA",23060600,0,23060600
"GOY005","NA",326113634,0,326113634
"KNP001","KNP001.A0101.161208",8424571,142432967,150857538
"KNP004","KNP004.A0101.161208",10993213,246263951,257257164
"KNP005","KNP005.A0101.161011",9406744,79841007,89247751
"KNP009","KNP009.A0101.161208",9667659,113964437,123632096
"LIB007.A0115","NA",260470,0,260470
"LIB007.A0116","NA",152315,0,152315
"LIB007.A0135.SG1.1","NA",483027,0,483027
"LIB025.A0301","NA",712751,0,712751
"LIB025.A1001","NA",1009320,0,1009320
"LIB025.A1301","NA",364668,0,364668
"MTM009","MTM009.A0102.SG1.1",9569979,148088174,157658153
"OAK002","NA",72175862,0,72175862
"OAK005","NA",26733630,0,26733630
"OME002","NA",72108557,0,72108557
"OME003","NA",91597260,0,91597260
"OME005","NA",167036446,0,167036446
"PES001","NA",50104514,0,50104514
"TAF008","NA",52360793,0,52360793
"JAE008","NA",65296039,0,65296039
"JAE014","NA",68620482,0,68620482
"VLC004","NA",43315114,0,43315114
"VLC009","NA",33664784,0,33664784
