genus	organism_name	Organism Name (Genus, Species)	# assembly_accession	refseq_category	taxid	version_status	assembly_level	release_type	genome_rep	seq_rel_date	ftp_path	Oral Taxon ID	HOMD Sequence ID	Culture Collection Entry Number	Sequencing Status	NCBI Genome Survey Sequence Accession ID	species_taxid	infraspecific_name	Assembly_Level_Score	Refseq_Category_Score	Sequencing_Status_Score	Organism
Porphyromonas	Porphyromonas asaccharolytica DSM 20707	Porphyromonas asaccharolytica	GCA_000212375.1	representative genome	879243	latest	Complete Genome	Major	Full	2011/05/05	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/375/GCA_000212375.1_ASM21237v1	547	SEQF2160	DSM 20707	Complete	CP002689	28123	strain=DSM 20707	4	1	3	Porphyromonas asaccharolytica
Porphyromonas	Porphyromonas bennonis DSM 23058 = JCM 16335	NA	GCA_000375645.1	representative genome	1122971	latest	Contig	Major	Full	2013/04/20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/375/645/GCA_000375645.1_ASM37564v1	NA	NA	NA	NA	NA	501496	strain=DSM 23058	1	1	0	Porphyromonas bennonis DSM 23058 = JCM 16335
Porphyromonas	Porphyromonas cangingivalis JCM 15983	NA	GCA_000614355.1	representative genome	1236520	latest	Contig	Major	Full	2014/03/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/614/355/GCA_000614355.1_ASM61435v1	NA	NA	NA	NA	NA	36874	strain=JCM 15983	1	1	0	Porphyromonas cangingivalis JCM 15983
Porphyromonas	Porphyromonas canoris	NA	GCA_000769115.1	na	36875	latest	Contig	Major	Full	2014/10/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/115/GCA_000769115.1_ASM76911v1	NA	NA	NA	NA	NA	36875	strain=COT-108 OH2762	1	0	0	Porphyromonas canoris
Porphyromonas	Porphyromonas catoniae ATCC 51270	Porphyromonas catoniae	GCA_000565015.1	representative genome	887901	latest	Contig	Major	Full	2014/02/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/565/015/GCA_000565015.1_PcatATCC51270v1.0	283	SEQF2632	ATCC 51270	High Coverage	JDFF00000000	41976	strain=ATCC 51270	1	1	2	Porphyromonas catoniae
Porphyromonas	Porphyromonas circumdentaria	NA	GCA_900167105.1	representative genome	29524	latest	Scaffold	Major	Full	2017/03/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/167/105/GCA_900167105.1_IMG-taxon_2582581320_annotated_assembly	NA	NA	NA	NA	NA	29524	strain=ATCC 51356	2	1	0	Porphyromonas circumdentaria
Porphyromonas	Porphyromonas crevioricanis	NA	GCA_900167225.1	representative genome	393921	latest	Scaffold	Major	Full	2017/03/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/167/225/GCA_900167225.1_IMG-taxon_2585428092_annotated_assembly	NA	NA	NA	NA	NA	393921	strain=ATCC 55563	2	1	0	Porphyromonas crevioricanis
Porphyromonas	Porphyromonas endodontalis ATCC 35406	Porphyromonas endodontalis	GCA_000174815.1	representative genome	553175	latest	Contig	Major	Full	2009/05/01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/815/GCA_000174815.1_ASM17481v1	273	SEQF1033	ATCC 35406	High Coverage	ACNN00000000	28124	strain=ATCC 35406	1	1	2	Porphyromonas endodontalis
Porphyromonas	Porphyromonas gingivalis ATCC 33277	Porphyromonas gingivalis	GCA_000010505.1	representative genome	431947	latest	Complete Genome	Major	Full	2008/05/20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/505/GCA_000010505.1_ASM1050v1	619	SEQF1538	ATCC 33277	Complete	AP009380	837	strain=ATCC 33277	4	1	3	Porphyromonas gingivalis
Porphyromonas	Porphyromonas gingivicanis JCM 15907	NA	GCA_000614585.1	representative genome	1236526	latest	Contig	Major	Full	2014/03/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/614/585/GCA_000614585.1_ASM61458v1	NA	NA	NA	NA	NA	266762	strain=JCM 15907	1	1	0	Porphyromonas gingivicanis JCM 15907
