767029#Pseudopropionibacterium propionicum F0230a#strain|host|old_name|isolation_source#F0230a|Homo sapiens|Propionibacterium propionicum F0230a|biological product [ENVO:02000043]
767029#Pseudopropionibacterium propionicum F0230a#strain|old_name#F0230a|Propionibacterium propionicum F0230a
267747#Propionibacterium acnes KPA171202#strain#KPA171202
267747#Cutibacterium acnes KPA171202#strain#KPA171202
1170318#Cutibacterium avidum 44067#strain|old_name#44067|Propionibacterium avidum 44067
1160719#Cutibacterium granulosum DSM 20700#strain|culture_collection|old_name|note#DSM 20700|DSM:20700|Propionibacterium granulosum|type strain of Propionibacterium granulosum
1748#Acidipropionibacterium acidipropionici#strain|culture_collection|type_material|old_name|country|collection_date#CGMCC 1.2230|CGMCC:1.2230|type strain of Acidipropionibacterium acidipropionici|Propionibacterium acidipropionici|China: Beijing|20-Oct-2010
1122997#Acidipropionibacterium jensenii DSM 20535#strain|culture_collection|old_name#DSM 20535|DSM:20535|Propionibacterium jensenii DSM 20535
1122997#Acidipropionibacterium jensenii DSM 20535#old_name|strain|culture_collection#Propionibacterium jensenii DSM 20535|DSM 20535|DSM:20535
1122998#Acidipropionibacterium thoenii DSM 20276#strain|culture_collection|old_name#DSM 20276|DSM:20276|Propionibacterium thoenii DSM 20276
1122998#Acidipropionibacterium thoenii DSM 20276#old_name|strain|culture_collection#Propionibacterium thoenii DSM 20276|DSM 20276|DSM:20276
2057246#Acidipropionibacterium virtanenii#strain|country|isolation_source|collection_date#JS278|Finland|barley grains|2012
999892#[Propionibacterium] humerusii P08#strain|old_name#P08|Propionibacterium sp. P08
999892#[Propionibacterium] humerusii P08#old_name|strain#Propionibacterium sp. P08|P08
1574624#[Propionibacterium] namnetense#strain|host|culture_collection|culture_collection|old_name|country|isolation_source|lat_lon|collection_date|collected_by#NTS 31307302|Homo sapiens|CCUG:66358|DSM:29427|Propionibacterium sp. NTS31307302|France: Nantes|Bone tissue|47.2105 N 1.55311 W|2013-03|Nantes University Hospital
1574624#[Propionibacterium] namnetense#strain|host|culture_collection|culture_collection|old_name|country|isolation_source|lat_lon|collection_date|collected_by#NTS 31307302|Homo sapiens|CCUG:66358|DSM:29427|Propionibacterium sp. NTS31307302|France: Nantes|Bone tissue|47.21048024584721 N 1.55311145237647 W|2013-03|Nantes University Hospital
1574624#[Propionibacterium] namnetense#old_name|strain|host|culture_collection|culture_collection|country|isolation_source|lat_lon|collection_date|collected_by#Propionibacterium sp. NTS31307302|NTS 31307302|Homo sapiens|CCUG:66358|DSM:29427|France: Nantes|Bone tissue|47.21048024584721 N 1.55311145237647 W|2013-03|Nantes University Hospital
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_78
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_74
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_56
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_54
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_53
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_52
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_51
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_50
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_49
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_48
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_47
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_46
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_45
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_44
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_43
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_42
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_41
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_40
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_39
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_38
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_37
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_36
119981#Propionibacterium australiense#isolate|note#Propionibacterium_australiense1|contig: opera_scaffold_35
