Database	Taxonomic_Level	Min_Support	Test	Statistic	Mean	SD
nt	genus	0.07	Adonis	p	0.00135	8.804842561071295e-4
nt	genus	0.07	Adonis	pseudoF	5.227642659313462	1.427990907602128
nt	genus	0.07	Adonis	RsquaredGroups	0.27514342900210265	0.05321390243544288
nt	genus	0.07	Adonis	RsquaredResiduals	0.7248565709978974	0.05321390243544288
nt	species	0.04	Adonis	p	0.0013	0.0010200019805882928
nt	species	0.04	Adonis	pseudoF	6.677711584176027	2.5250877129890554
nt	species	0.04	Adonis	RsquaredGroups	0.32177753724593466	0.07530841416116178
nt	species	0.04	Adonis	RsquaredResiduals	0.6782224627540654	0.0753084141611618
refseq	genus	0.07	Adonis	p	0.0010400000000000001	4e-4
refseq	genus	0.07	Adonis	pseudoF	6.501042533891966	1.6483238635589148
refseq	genus	0.07	Adonis	RsquaredGroups	0.32069033636688987	0.05355951500844159
refseq	genus	0.07	Adonis	RsquaredResiduals	0.6793096636331101	0.0535595150084416
refseq	species	0.04	Adonis	p	0.00102	1.407052941362897e-4
refseq	species	0.04	Adonis	pseudoF	6.885973679205311	1.9472541980219251
refseq	species	0.04	Adonis	RsquaredGroups	0.332296728602051	0.05863738984156121
refseq	species	0.04	Adonis	RsquaredResiduals	0.667703271397949	0.05863738984156121
