Software	Database	Tax_Level	Threshold	Host_Genus	Taxon	Populations_Taxa_Present_In	Populations_in_Study	Proportion_Taxa_Present_In
MALT	nt	species	0.01	Pan	[Clostridium] saccharolyticum	3	3	100
MALT	nt	species	0.01	Pan	[Eubacterium] minutum	3	3	100
MALT	nt	species	0.01	Homo	[Eubacterium] minutum	5	6	83.3
MALT	nt	species	0.01	Pan	[Eubacterium] sulci	3	3	100
MALT	nt	species	0.01	Alouatta	[Haemophilus] ducreyi	1	1	100
MALT	nt	species	0.01	Alouatta	[Mannheimia] succiniciproducens	1	1	100
MALT	nt	species	0.01	Gorilla	[Mannheimia] succiniciproducens	2	3	66.7
MetaPhlAn2	mp2	genus	0.01	Homo	Abiotrophia	6	6	100
MetaPhlAn2	mp2	species	0.01	Homo	Abiotrophia_defectiva	6	6	100
MALT	nt	genus	0.01	Pan	Acidaminococcus	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Acidipropionibacterium	1	1	100
MALT	nt	genus	0.01	Gorilla	Acidipropionibacterium	2	3	66.7
MALT	nt	genus	0.01	Pan	Acidipropionibacterium	3	3	100
MALT	nt	genus	0.01	Homo	Acidipropionibacterium	4	6	66.7
MALT	nt	species	0.01	Alouatta	Acidipropionibacterium acidipropionici	1	1	100
MALT	nt	species	0.01	Gorilla	Acidipropionibacterium acidipropionici	2	3	66.7
MALT	nt	species	0.01	Pan	Acidipropionibacterium acidipropionici	3	3	100
MALT	nt	species	0.01	Homo	Acidipropionibacterium acidipropionici	4	6	66.7
MALT	nt	genus	0.01	Alouatta	Acidovorax	1	1	100
MALT	nt	genus	0.01	Gorilla	Acidovorax	3	3	100
MALT	nt	genus	0.01	Pan	Acidovorax	2	3	66.7
MALT	nt	genus	0.01	Homo	Acidovorax	5	6	83.3
MALT	nt	genus	0.01	Alouatta	Actinoalloteichus	1	1	100
MALT	nt	genus	0.01	Gorilla	Actinoalloteichus	2	3	66.7
MALT	nt	genus	0.01	Pan	Actinoalloteichus	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Actinobacillus	1	1	100
MALT	nt	genus	0.01	Gorilla	Actinobacillus	2	3	66.7
MetaPhlAn2	mp2	genus	0.01	Alouatta	Actinobacillus	1	1	100
MetaPhlAn2	mp2	genus	0.01	Gorilla	Actinobacillus	2	3	66.7
MALT	nt	species	0.01	Alouatta	Actinobacillus equuli	1	1	100
MALT	nt	species	0.01	Alouatta	Actinobacillus pleuropneumoniae	1	1	100
MALT	nt	species	0.01	Gorilla	Actinobacillus pleuropneumoniae	2	3	66.7
MALT	nt	species	0.01	Alouatta	Actinobacillus succinogenes	1	1	100
MALT	nt	species	0.01	Gorilla	Actinobacillus succinogenes	2	3	66.7
MALT	nt	species	0.01	Alouatta	Actinobacillus suis	1	1	100
MALT	nt	species	0.01	Gorilla	Actinobacillus suis	2	3	66.7
MetaPhlAn2	mp2	species	0.01	Alouatta	Actinobacillus_unclassified	1	1	100
MetaPhlAn2	mp2	genus	0.01	Gorilla	Actinobaculum	2	3	66.7
MALT	nt	genus	0.01	Alouatta	Actinomyces	1	1	100
MALT	nt	genus	0.01	Gorilla	Actinomyces	3	3	100
MALT	nt	genus	0.01	Pan	Actinomyces	3	3	100
MALT	nt	genus	0.01	Homo	Actinomyces	6	6	100
MetaPhlAn2	mp2	genus	0.01	Alouatta	Actinomyces	1	1	100
MetaPhlAn2	mp2	genus	0.01	Gorilla	Actinomyces	3	3	100
MetaPhlAn2	mp2	genus	0.01	Homo	Actinomyces	6	6	100
MALT	nt	species	0.01	Alouatta	Actinomyces hongkongensis	1	1	100
MALT	nt	species	0.01	Gorilla	Actinomyces hongkongensis	3	3	100
MALT	nt	species	0.01	Pan	Actinomyces hongkongensis	3	3	100
MALT	nt	species	0.01	Homo	Actinomyces hongkongensis	6	6	100
MALT	nt	species	0.01	Alouatta	Actinomyces meyeri	1	1	100
MALT	nt	species	0.01	Gorilla	Actinomyces meyeri	3	3	100
MALT	nt	species	0.01	Pan	Actinomyces meyeri	3	3	100
MALT	nt	species	0.01	Homo	Actinomyces meyeri	6	6	100
MALT	nt	species	0.01	Alouatta	Actinomyces naeslundii	1	1	100
MALT	nt	species	0.01	Gorilla	Actinomyces naeslundii	3	3	100
MALT	nt	species	0.01	Pan	Actinomyces naeslundii	3	3	100
MALT	nt	species	0.01	Homo	Actinomyces naeslundii	6	6	100
MALT	nt	species	0.01	Alouatta	Actinomyces oris	1	1	100
MALT	nt	species	0.01	Gorilla	Actinomyces oris	3	3	100
MALT	nt	species	0.01	Pan	Actinomyces oris	3	3	100
MALT	nt	species	0.01	Homo	Actinomyces oris	6	6	100
MALT	nt	species	0.01	Pan	Actinomyces pacaensis	3	3	100
MALT	nt	species	0.01	Alouatta	Actinomyces radicidentis	1	1	100
MALT	nt	species	0.01	Gorilla	Actinomyces radicidentis	3	3	100
MALT	nt	species	0.01	Pan	Actinomyces radicidentis	3	3	100
MALT	nt	species	0.01	Homo	Actinomyces radicidentis	6	6	100
MALT	nt	species	0.01	Pan	Actinomyces radingae	3	3	100
MALT	nt	species	0.01	Alouatta	Actinomyces sp. Chiba101	1	1	100
MALT	nt	species	0.01	Gorilla	Actinomyces sp. Chiba101	3	3	100
MALT	nt	species	0.01	Pan	Actinomyces sp. Chiba101	3	3	100
MALT	nt	species	0.01	Homo	Actinomyces sp. Chiba101	6	6	100
MALT	nt	species	0.01	Alouatta	Actinomyces sp. oral taxon 414	1	1	100
MALT	nt	species	0.01	Gorilla	Actinomyces sp. oral taxon 414	3	3	100
MALT	nt	species	0.01	Pan	Actinomyces sp. oral taxon 414	3	3	100
