Genus	Phylum	Gram_Stain	Oxygen_Tolerance	Motility	Metabolism
unclassified	unclassified	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	unclassified	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	unclassified	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	unclassified	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	unclassified	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	unclassified	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	unclassified	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	unclassified	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	unclassified	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	unclassified	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	unclassified	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	unclassified	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
unclassified	Candidatus Bathyarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Candidatus Bathyarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Candidatus Bathyarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Candidatus Bathyarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Candidatus Bathyarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Candidatus Bathyarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Candidatus Bathyarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Candidatus Bathyarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Candidatus Bathyarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Candidatus Bathyarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Candidatus Bathyarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Candidatus Bathyarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
Methanothermobacter	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	Methanogen
Sulfolobus	Crenarchaeota	Gram_Negative	Unsure	Nonmotile	Sulfide oxidizer
Sulfolobus	Crenarchaeota	Gram_Negative	Unsure	Nonmotile	Sulfur oxidizer
Methanobrevibacter	Euryarchaeota	Gram_Positive	Anaerobe	Nonmotile	Methanogen
Nitrosopumilus	Thaumarchaeota	Gram_Negative	Anaerobe	Nonmotile	Ammonia-oxidizer
unclassified	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
Methanosarcina	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	Methanogen
Haloarcula	Euryarchaeota	Gram_Negative	Anaerobe	Motile	NA
Halococcus	Euryarchaeota	Gram_Negative	Unsure	Nonmotile	Carbon dioxide fixation
unclassified	Thaumarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Thaumarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Thaumarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Thaumarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Thaumarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Thaumarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Thaumarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Thaumarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Thaumarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Thaumarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Thaumarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Thaumarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
unclassified	Nanoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Nanoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Nanoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Nanoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Nanoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Nanoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Nanoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Nanoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Nanoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Nanoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Nanoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Nanoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
Methanobacterium	Euryarchaeota	Gram_Negative	Anaerobe	NA	Methanogen
Halobiforma	Euryarchaeota	Gram_Negative	Anaerobe	Motile	NA
Vulcanisaeta	Crenarchaeota	Gram_Negative	Anaerobe	Nonmotile	NA
Halopelagius	Euryarchaeota	NA	NA	NA	NA
Candidatus Nitrosotalea	Thaumarchaeota	NA	NA	NA	NA
unclassified	Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Aenigmarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
unclassified	Crenarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Crenarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Crenarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Crenarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Crenarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Crenarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Crenarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Crenarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Crenarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Crenarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Crenarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Crenarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
Halostagnicola	Euryarchaeota	Gram_Negative	Aerobe	NA	NA
Archaeoglobus	Euryarchaeota	Gram_Negative	Anaerobe	Motile:Nonmotile	Sulfate reducer
Methanococcoides	Euryarchaeota	Gram_Negative	Anaerobe	Motile	Methanogen
Haladaptatus	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	NA
Methanosphaera	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	Methanogen, Methanol reducer
Methanosphaera	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	Methanogen
Cuniculiplasma	Euryarchaeota	NA	NA	NA	NA
unclassified	Candidatus Micrarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Candidatus Micrarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Candidatus Micrarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Candidatus Micrarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Candidatus Micrarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Candidatus Micrarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Candidatus Micrarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Candidatus Micrarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Candidatus Micrarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Candidatus Micrarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Candidatus Micrarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Candidatus Micrarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
Haloferax	Euryarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	NA
unclassified	Aigarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Aigarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Aigarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Aigarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Aigarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Aigarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Aigarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Aigarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Aigarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Aigarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Aigarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Aigarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
unclassified	Candidatus Geoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Methanogen
unclassified	Candidatus Geoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Cellulose degrader
unclassified	Candidatus Geoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Manganese oxidizer
unclassified	Candidatus Geoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Iron oxidizer
unclassified	Candidatus Geoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Respiratory arsenate reductase
unclassified	Candidatus Geoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Succinic acid production
unclassified	Candidatus Geoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer
unclassified	Candidatus Geoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Carbon dioxide fixation, Iron oxidizer, Nitrate reducer
unclassified	Candidatus Geoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Acetate oxidizer, Syntrophic
unclassified	Candidatus Geoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Sulfur oxidizer
unclassified	Candidatus Geoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Xylan degrader
unclassified	Candidatus Geoarchaeota	Gram_Negative	Unsure	Motile:Nonmotile	Aminoacids fermentor, Dehalogenation, Hydrogen production
Haloterrigena	Euryarchaeota	Gram_Negative	Anaerobe	Motile:Nonmotile	NA
Metallosphaera	Crenarchaeota	Gram_Negative	Anaerobe	Motile:Nonmotile	Iron oxidizer
Natrialba	Euryarchaeota	Gram_Negative	Anaerobe	Motile:Nonmotile	NA
Halobacterium	Euryarchaeota	Gram_Negative	Unsure	Motile	NA
Methermicoccus	Euryarchaeota	Gram_Positive	Anaerobe	Motile	Methanogen
Methanoculleus	Euryarchaeota	Gram_Negative	Anaerobe	Motile:Nonmotile	Methanogen
Methanolacinia	Euryarchaeota	Gram_Negative	Anaerobe	Nonmotile	Methanogen
