Sample number,Sample Name,# reads after C&M prior mapping,# of Merged Reads,% Merged Reads,# reads not attempted to map,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,# of reads on mitochondrium,AVG Coverage on mitochondrium,MT/NUC Ratio,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/188,ABM006.A0101,15075629,1488337,9.872,13587292,48972,626,48346,0.325,1.013,0.0007,0.0445,0.04,0.03,0,0,0,6,0.022210151487718027,30.01,0.0996,0.0745,0.0755,0.0604,47.4,43.0,46.32
Sample 2/188,ABM007.A0101,7941325,594637,7.488,7346688,12795,129,12666,0.161,1.010,0.0002,0.0231,0.01,0.01,0,0,0,0,NaN,0.0,0.0932,0.0743,0.0843,0.0673,46.11,42.0,46.33
Sample 3/188,ABM007.A0101.171215,16368423,1226433,7.493,15141990,25990,290,25700,0.159,1.011,0.0004,0.0338,0.02,0.02,0,0,0,3,0.006699257649827992,17.59,0.0911,0.0667,0.0846,0.0697,45.87,42.0,45.81
Sample 4/188,ABM008.A0101,4731657,388101,8.202,4343556,5816,464,5352,0.123,1.087,0.0001,0.0441,0,0,0,0,0,10,0.026374554891665156,306.33,0.067,0.0524,0.0738,0.0551,49.88,45.0,49.63
Sample 5/188,ABM008.A0101.171215,4757254,388052,8.157,4369202,5781,431,5350,0.122,1.081,0.0001,0.0452,0,0,0,0,0,11,0.030116482587965482,350.16,0.0697,0.043,0.0559,0.0477,49.86,45.0,49.41
Sample 6/188,BAN001.A0101,18762529,1095583,5.839,17666946,173926,10765,163161,0.927,1.066,0.0026,0.3267,0.1,0.08,0.02,0.01,0,67,0.2120224515661778,82.31,0.0135,0.0148,0.0122,0.0091,48.89,45.0,45.63
Sample 7/188,BIT001.A0101,14017456,1225046,8.739,12792410,619603,7228,612375,4.420,1.012,0.0109,0.2055,0.57,0.46,0.02,0.01,0,43,0.13024322530025953,12,0.0379,0.0348,0.0352,0.0352,54.87,53.0,45.77
Sample 8/188,BIT001.A0101.171215,29666707,2587387,8.722,27079320,1320128,14750,1305378,4.450,1.011,0.0231,0.3624,1.2,0.98,0.04,0.02,0.01,91,0.27835113766672703,12.04,0.0385,0.0354,0.035,0.0352,54.81,53.0,45.52
Sample 9/188,BSQ001.A0101,19591284,1312322,6.698,18278962,20052,1839,18213,0.102,1.101,0.0003,0.2556,0.01,0,0,0,0,5,0.01623513790814171,59.94,0.0433,0.0563,0.034,0.0417,46.05,41.0,46.57
Sample 10/188,CDC005.A0101,1921056,0,0.000,0,7687,637,7050,0.400,1.090,0.0001,0.0116,0.01,0,0,0,0,6,0.02178767578007122,177.03,0.0955,0.0535,0.077,0.0578,54.09,51.0,44.22
Sample 11/188,CDC005.A0101.170817,4809609,355087,7.383,4454522,16926,149,16777,0.352,1.009,0.0003,0.0258,0.02,0.01,0,0,0,7,0.030418250950570342,105.64,0.0921,0.0562,0.0842,0.0571,53.16,50.0,43.63
Sample 12/188,CDC006.A0101,28156819,2356723,8.370,25800096,32996,421,32575,0.117,1.013,0.0005,0.0572,0.03,0.02,0,0,0,22,0.05956907477820026,126.64,0.0673,0.0559,0.064,0.0539,44.73,41.0,46.89
Sample 13/188,CDC007.A0101,29503075,2910293,9.864,26592782,23525,538,22987,0.080,1.023,0.0003,0.0638,0.02,0.01,0,0,0,3,0.006397489287223127,20.32,0.1087,0.0919,0.0973,0.0836,42.4,37.0,47.01
Sample 14/188,CDC008.A0101,28148309,2004747,7.122,26143562,49678,1268,48410,0.176,1.026,0.0007,0.143,0.03,0.03,0,0,0,15,0.04411853461283119,62.97,0.0903,0.072,0.0842,0.0672,44.82,41.0,44.04
Sample 15/188,CDC009.A0101,26870044,1841398,6.853,25028646,111633,1061,110572,0.415,1.010,0.0017,0.0745,0.09,0.07,0,0,0,24,0.07206228499004165,42.84,0.0797,0.0733,0.0751,0.0647,47.11,44.0,41.87
Sample 16/188,CDC010.A0101,28215760,2199024,7.794,26016736,89742,1248,88494,0.318,1.014,0.0013,0.0719,0.07,0.05,0,0,0,16,0.05117991429778502,39.69,0.1223,0.0956,0.1139,0.0887,45.12,41.0,43.98
Sample 17/188,CDC011.A0101,3934002,0,0.000,0,10881,850,10031,0.277,1.085,0.0002,0.0149,0.02,0,0,0,0,3,0.013277807954614038,68.78,0.0525,0.0281,0.0391,0.0305,59.6,61.0,46.37
Sample 18/188,CDC011.A0101.170817,9604979,741191,7.717,8863788,23922,184,23738,0.249,1.008,0.0004,0.0331,0.02,0.02,0,0,0,28,0.11237853823405154,251.78,0.0417,0.0317,0.0407,0.0289,58.29,58.0,46.3
Sample 19/188,DJA002.A0101,22551096,1928186,8.550,20622910,42827,798,42029,0.190,1.019,0.0006,0.0598,0.03,0.02,0,0,0,23,0.07242440702516748,122.86,0.0824,0.0785,0.0705,0.0674,43.45,39.0,46.17
Sample 20/188,DJA006.A0101,6804614,583574,8.576,6221040,3864,50,3814,0.057,1.013,0.0001,0.0144,0,0,0,0,0,2,0.00917375822318788,165.26,0.036,0.0439,0.049,0.0422,45.1,39.0,51.21
Sample 21/188,DJA006.A0101.171215,18809889,1604297,8.529,17205592,10730,123,10607,0.057,1.012,0.0002,0.0288,0.01,0.01,0,0,0,10,0.03669503289275152,235.98,0.0429,0.0283,0.0513,0.0378,45.44,39.0,50.24
Sample 22/188,DJA007.A0101,10798292,854158,7.910,9944134,11018,120,10898,0.102,1.011,0.0002,0.0225,0.01,0.01,0,0,0,15,0.04260969279980687,246.22,0.0532,0.0336,0.0302,0.0383,49.22,44.0,48.46
