"Host_Common","Human_Endo_Category","Sample_Name","Raw_Reads","Post_Clip_and_Merge","Percent_Merged_Content_Post_Clip_and_Merge","Mapped_Reads","Percent_Endogenous_DNA","Post_Duplicate_Removal_Reads","Cluster_Factor","X_Mean_Coverage","mtDNA_Reads","Median_Fragment_Length","GC_Content_Percent","Non_Human_Reads"
"Gorilla","Medium","BIT001.A0101",16284740,7840433,92.2158508337,379910,4.8455232001,349522,1.0869415945,0.0066,21,53,46,7460523
"Human","Medium","ECO004.B0101",27250280,11095766,93.3459123056,399981,3.6048074554,326499,1.2250604137,0.0071,107,66,43.91,10695785
"Human","Low","ESA004.A0101",18509590,7856208,97.2286629886,32067,0.4081740198,6710,4.7789865872,0.0001,2,41,82.14,7824141
"Neanderthal","High","FUM001.A0101",34037968,16663862,82.1799052345,5855364,35.138097039,1749866,3.3461785074,0.0417,3780,75,45.52,10808498
"Neanderthal","Low","GDN001.B0101",36398636,15326226,97.3625927218,144698,0.9441202289,32247,4.4871771017,0.0007,15,60,53.67,15181528
"Neanderthal","Medium","GOY005.A0101",11004043,9332707,"NA",169589,1.8171469435,164894,1.0284728371,0.0033,80,70,45.88,9163118
"Neanderthal","Medium","GUE001.A0101",22722004,12055695,74.4043209454,899364,7.4600759226,256372,3.508043,0.0063,374,75,49.17,11156331
"Gorilla","Low","IBA002.A0101",14354566,6987154,94.6143021894,39845,0.5702607957,26596,1.4981576177,0.0006,16,60,50.66,6947309
"Human","Medium","JAE008.A0101",105004392,66717630,56.5947081753,1421591,2.1307576423,1210858,1.1740360967,0.0323,523,76,42.92,65296039
"Human","Low","LIS002.A0101",26977086,11617006,96.4120359411,55296,0.4759918347,9905,5.5826350328,0.0001,3,39,78.87,11561710
"Gorilla","Low","LOB001.A0101",3766065,3623996,"NA",20511,0.5659774459,18774,1.0925215724,0.0004,10,62,47.29,3603485
"Gorilla","Medium","MTM010.A0101",3999181,3831858,"NA",180353,4.7066723245,165937,1.0868763446,0.0032,189,60,46.24,3651505
"Gorilla","High","MTM011.A0101",3602979,3542664,"NA",1569977,44.3162828877,1393615,1.1265500156,0.0299,499,75,45.68,1972687
"Gorilla","High","MTS002.A0101",4366891,4300564,"NA",1561099,36.2998667152,1389807,1.1232487676,0.0275,292,64,48.92,2739465
"Neanderthal","Low","PES001.B0101",12350535,11916500,"NA",44221,0.3710905048,39855,1.1095471083,0.0008,36,75,47.32,11872279
"Neanderthal","High","SPM002.A0101",21382622,13589782,47.3034225273,11494308,84.5805179215,6685686,1.7192413763,0.1749,25275,76,43.42,2095474
"Human","High","TAF017.A0101",17735630,7533420,30.2877444773,1959041,26.0046698578,15914,123.101734322,0.0003,15,60,67.54,5574379
"Human","High","VLC001.A0101",82467326,41712519,96.5179014962,7261817,17.4092027384,6858262,1.0588421673,0.2635,1948,112,44.24,34450702
