study_accession	secondary_sample_accession	experiment_accession	run_accession	instrument_model	library_name	library_layout	library_strategy	read_count	fastq_ftp	submitted_ftp	sra_ftp
PRJEB18629	ERS1600710	ERX1943904	ERR1883403	Illumina HiSeq 2500	R9546	PAIRED	WGS	3618093	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883403/ERR1883403.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883403/ERR1883403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883403/ERR1883403_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R9546.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R9546.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883403
PRJEB18629	ERS1600711	ERX1943905	ERR1883404	Illumina HiSeq 2500	R9547	PAIRED	WGS	4120935	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883404/ERR1883404.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883404/ERR1883404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883404/ERR1883404_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R9547.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R9547.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883404
PRJEB18629	ERS1600712	ERX1943906	ERR1883405	Illumina MiSeq	R8512	PAIRED	WGS	1188893	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883405/ERR1883405.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883405/ERR1883405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883405/ERR1883405_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8512.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8512.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883405
PRJEB18629	ERS1600713	ERX1943907	ERR1883406	Illumina MiSeq	R8513	PAIRED	WGS	1021746	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883406/ERR1883406.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883406/ERR1883406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883406/ERR1883406_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8513.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8513.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883406
PRJEB18629	ERS1600714	ERX1943908	ERR1883407	Illumina MiSeq	R8515	PAIRED	WGS	963456	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883407/ERR1883407.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883407/ERR1883407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883407/ERR1883407_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8515.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8515.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883407
PRJEB18629	ERS1600715	ERX1943909	ERR1883408	Illumina MiSeq	R8516	PAIRED	WGS	1367384	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883408/ERR1883408.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883408/ERR1883408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883408/ERR1883408_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8516.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8516.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883408
PRJEB18629	ERS1600716	ERX1943910	ERR1883409	Illumina MiSeq	R8517	PAIRED	WGS	1204055	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883409/ERR1883409.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883409/ERR1883409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883409/ERR1883409_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8517.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8517.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883409
PRJEB18629	ERS1600717	ERX1943911	ERR1883410	Illumina MiSeq	R8518	PAIRED	WGS	1308910	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883410/ERR1883410.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883410/ERR1883410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883410/ERR1883410_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8518.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8518.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883410
PRJEB18629	ERS1600718	ERX1943912	ERR1883411	Illumina MiSeq	R8519	PAIRED	WGS	1261709	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883411/ERR1883411.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883411/ERR1883411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883411/ERR1883411_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8519.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8519.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883411
PRJEB18629	ERS1600719	ERX1943913	ERR1883412	Illumina MiSeq	R8520	PAIRED	WGS	1272142	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883412/ERR1883412.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883412/ERR1883412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883412/ERR1883412_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8520.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8520.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883412
PRJEB18629	ERS1600720	ERX1943914	ERR1883413	Illumina MiSeq	R8521	PAIRED	WGS	1445175	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883413/ERR1883413.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883413/ERR1883413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883413/ERR1883413_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8521.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8521.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883413
PRJEB18629	ERS1600721	ERX1943915	ERR1883414	Illumina MiSeq	R8522	PAIRED	WGS	1016915	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883414/ERR1883414.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883414/ERR1883414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883414/ERR1883414_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8522.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8522.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883414
PRJEB18629	ERS1600722	ERX1943916	ERR1883415	Illumina MiSeq	R8523	PAIRED	WGS	1151838	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883415/ERR1883415.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883415/ERR1883415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883415/ERR1883415_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8523.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R8523.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883415
PRJEB18629	ERS1600723	ERX1943917	ERR1883416	Illumina HiSeq 2500	R9958	PAIRED	WGS	4588335	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883416/ERR1883416.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883416/ERR1883416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883416/ERR1883416_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R9958.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R9958.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883416
PRJEB18629	ERS1600724	ERX1943918	ERR1883417	Illumina HiSeq 2500	R9959	PAIRED	WGS	830403	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883417/ERR1883417.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883417/ERR1883417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883417/ERR1883417_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R9959.bam;ftp.sra.ebi.ac.uk/vol1/ERA846/ERA846168/bam/R9959.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883417
