"Taxon","Complex","OriginalTaxonName"
"Actinomyces_actinomycetemcomitans","Green","Actinobacillus_actinomycetemcomitans"
"Campylobacter_concisus","Green","NA"
"Capnocytophaga_gingivalis","Green","NA"
"Capnocytophaga_ochracea","Green","NA"
"Capnocytophaga_sputigena","Green","NA"
"Eikenella_corrodens","Green","NA"
"Campylobacter_gracilis","Orange","NA"
"Campylobacter_rectus","Orange","NA"
"Campylobacter_showae","Orange","NA"
"Eubacterium_nodatum","Orange","NA"
"Fusobacterium_nucleatum","Orange","NA"
"Fusobacterium_periodonticum","Orange","NA"
"Parvimonas_micra","Orange","Peptostreptococcus_micros"
"Prevotella_intermedia","Orange","NA"
"Prevotella_nigrescens","Orange","NA"
"Streptococcus_constellatus","Orange","NA"
"Actinomyces_odontolyticus","Purple","NA"
"Veillonella_parvula","Purple","NA"
"Porphyromonas_gingivalis","Red","NA"
"Tannerella_forsythia","Red","Bacteroides_forsythus"
"Treponema_denticola","Red","NA"
"Streptococcus_gordonii","Yellow","NA"
"Streptococcus_intermedius","Yellow","NA"
"Streptococcus_mitis","Yellow","NA"
"Streptococcus_oralis","Yellow","NA"
"Streptococcus_sanguinis","Yellow","Streptococcus_sanguis"
