individual_id	sum_sample_weight_mg	sum_extraction_concentration_ng_ul	sum_lib_concentration_copies_ul
ABM006	0	0.444	1573e4
ABM007	0	0.11900000000000001	5458e4
ABM008	0	0.0693	2397e4
BAN001	0	0	941500
BIT001	0	1.65	6409e5
BSQ001	12.6	0.37	1662e5
CDC005	0	0	99490750
CDC006	0	0.452	1895e5
CDC007	0	0.129	2665e4
CDC008	0	0.10400000000000001	216e5
CDC009	0	2.38	1426e5
CDC010	0	0.1	1784e4
CDC011	0	0	1763e5
DJA002	0	0.064	1375e4
DJA006	0	0.262	9623e4
DJA007	0	0.189	2024e5
EBO001	0	0.038	9444e3
EBO003	0	0.312	2996e3
EBO008	0	0.0673	4464e4
EBO009	0	0	1024e4
ECO002	20	0.104	1009e5
ECO004	4.5	0	10848e3
ECO006	2.6	0	5513e3
ECO010	5.1	0.11	1487e5
EMN001	0	0	1744e4
ESA003	7.1	3.2	2186e5
ESA004	9.8	1.12	2998e5
ESA006	14.5	0.241	1395e5
ESA007	9.7	3.2	1072e6
ESA008	9.7	3.38	8742e5
EXB002.A1101	NA	NA	282800
EXB015.A1701	NA	NA	31640
EXB015.A1801	NA	NA	33140
EXB015.A1901	NA	NA	31080
EXB015.A2001	NA	NA	26940
EXB015.A2101	NA	NA	45470
EXB015.A2201	NA	NA	1144440
EXB015.A2301	NA	NA	33560
EXB015.A2401	NA	NA	29790
EXB015.A2501	NA	NA	20860
EXB015.A2601	NA	NA	18310
EXB015.A2801	NA	NA	41240
EXB020.A0101	NA	NA	74045
EXB020.A0102	NA	NA	37390
EXB021.A0101	NA	NA	79120
EXB021.A0102	NA	NA	32320
EXB022.A0101	NA	NA	810050
EXB022.A0102	NA	NA	31e3
EXB023.A0101	NA	NA	399150
EXB023.A0102	NA	NA	64200
EXB033.A0401	NA	NA	NA
EXB033.A0801	NA	NA	14735
EXB033.A0802	NA	NA	13670
EXB033.A1401	NA	NA	471700
FDM001	0	0.0433	2876e4
FUM001	0	0.053	143100
FUM002	0	0	9432e3
FUM003	0	0	1378e3
GDC002	0	0.064	2329e4
GDC004	0	0.08	2978e4
GDC005	0	0.052000000000000005	7032e3
GDN001	1.8	0	1141700
GOY005	3	0	2935e4
GOY006	5	0	0
GUE001	0	0	188e3
IBA001	0	0.231	1053e5
IBA002	0	0.433	3028e5
JAE006	4.3	8.437	1664e6
JAE007	5.3	10.06	12385e5
JAE008	4.8	7.161	11565e5
JAE009	4	7.275	1048e6
JAE010	5.7	9.86	11045e5
JAE012	4.7	6.439	9355e5
JAE013	4.2	6.977	1e9
JAE014	3.9	6.201	14105e5
JAE015	2.9	6.88	6245e5
JAE016	3.2	6.357	15185e5
KNP001	12.4	43.35483870967742	6934e6
KNP003	3.3	157.09090909090912	3244e6
KNP004	1.7000000000000002	59.294117647058826	1062e7
KNP005	13.1	22.7175572519084	3601e6
KNP006	4.4	14.999999999999998	1482e6
KNP007	11.3	10.353982300884956	4672e6
KNP009	17	1.1364705882352941	1201e7
LIB007.A0115	NA	NA	550400
LIB007.A0116	NA	NA	2e5
LIB007.A0117	NA	NA	34460
LIB007.A0118	NA	NA	1099080
LIB007.A0119	NA	NA	28890
LIB007.A0120	NA	NA	27580
LIB007.A0122	NA	NA	0
LIB007.A0123	NA	NA	28420
LIB009.A0102	NA	NA	1831980
LIB012.A0101	NA	NA	95845
LIB013.A0101	NA	NA	80765
LIB014.A0101	NA	NA	598150
LIB015.A0101	NA	NA	2495225
LIB017.A0101	NA	NA	810050
LIB017.A0102	NA	NA	399150
LIB025.A0301	NA	NA	NA
LIB025.A0601	NA	NA	39766.666666666664
LIB025.A0701	NA	NA	11565
LIB025.A1001	NA	NA	13970
LIB025.A1301	NA	NA	8941
LIS001	0	0.8	3238e5
LIS002	15.3	2.18	2708e5
LIS003	11.1	6.9	2997e5
LOB001	0	0	96297500
MOA001	2	0	149905e3
MTK001	0	0	344125e3
MTM001	0	0	228e7
MTM002	0	0	312e6
MTM003	0	0	477875e3
MTM004	0	0	127e7
MTM005	0	0	396e6
MTM006	0	0	493e6
MTM008	0	0	402e6
MTM009	0	0	164e6
MTM010	0	0	468175e3
MTM011	0	0	5509e5
MTM012	0	0	74705e4
MTM013	0	0	238144550
MTS001	0	0	6364e5
MTS002	0	0	106975e4
MTS003	0	0	7908e5
OAK001	1.2	0.128	923900
OAK002	1.7000000000000002	0.068	3446e4
OAK003	3.2	0.256	255e6
OAK004	2.9	0.0715	1485e4
OAK005	0	0.197	2341e5
OME002	0	0.47900000000000004	2794e5
OME003	0	3.91	13e8
OME005	0	0.197	7546e4
OME007	0	0.35100000000000003	76e6
OME009	0	0.233	417e5
PES001	0.7	0	1097e4
PYK001	9.2	0.28600000000000003	4507e5
PYK002	3.7	0.34400000000000003	7319e5
PYK003	3.6	0.036	4075e5
PYK004	4.5	0	1672e6
PYK005	4.8	0.995	1621e6
SPM001	0	0	272700
SPM002	0	0	110100
TAF008	3.1	0	157600
TAF016	0	0.0255	10960
TAF017	6	0	11233170
TAF018	3.9	0	81150
VLD001	0	0	1246e3
WAL001	0	0.14400000000000002	9463e4
ZAF001	0	0	436500
