"host_subgroup"	"host_subgroup_colour"	"host_group_colour"
"A-Howler_1"	"gray"	"gray"
"B-Gorilla_1"	"darkred"	"red"
"B-Gorilla_2"	"red"	"red"
"B-Gorilla_3"	"firebrick1"	"red"
"C-Chimp_1"	"darkorange"	"orange"
"C-Chimp_2"	"orange"	"orange"
"C-Chimp_3"	"tan1"	"orange"
"C-Chimp_4"	"gold3"	"orange"
"D-Neanderthal"	"green"	"yellow"
"E-PreagriculturalHuman_1"	"darkblue"	"blue"
"E-PreagriculturalHuman_2"	"lightblue"	"blue"
"F-PreantibioticHuman_1"	"pink"	"blue"
"F-PreantibioticHuman_2"	"purple"	"blue"
"G-ModernHuman_1"	"darkmagenta"	"blue"
