Site,,,,,,,,,,,Sample,,,,,,,,,,,,,,,,Individual,,,,,,,,,,,,,,,,,,
"Site Id","Name","Locality","Province","Country","Latitude","Longitude","Files","Notes","Tags","Projects","Full Sample Id","Archaeological ID","Type Group","Type","Protocol","Worker","Creation Date","Experiment Date","Quantity","Location Room","Location","Files","Notes","Contact Person","Tags","Projects","Full Individual Id","Owner","Contact Person","Provenience","Worker","Creation Date","Organism","Archaeological ID","C14 Uncalibrated","C14 Uncalibrated Variation","C14 Calibrated From","C14 Calibrated To","C14 Info","C14 Id","Ethics","Files","Notes","Tags","Projects"
"ABM","Abong Mbong","Haut-Nyong","East","Republic of Cameroon","3.9833330","13.1833330","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM001.A","HTB-1996","Calculus","31","MPI calculus field sampling protocol","James Fellows Yates","2017-04-10 09:53:14","2017-04-10 09:53:14","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","3","Mesial; Possible glue - palaeobond/glyptal; Old Sample Type: Calculus 31","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM001","Hamann-Todd Collection, Cleveland Museum of Natural History","Lyman Jellema","From C20 Hunting","James Fellows Yates","2017-04-10 09:10:28","Gorilla gorilla (western gorilla)","HTB-1996","0","0","0","0","","","0","0","Female, Adult; ; Skull and mandible glued with - palaeobond or glyptal; ; From Early C20th, collected by  Carl A. Hamann and T. Wingate Todd from private collections and the taxidermy firm Gerrard & Sons of London; ; https://www.cmnh.org/phys-anthro/collection-database","Deep_Evolution,James Fellows Yates,Oral_Microbiome",""
"ABM","Abong Mbong","Haut-Nyong","East","Republic of Cameroon","3.9833330","13.1833330","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM001.B","HTB-1996","Calculus","34","MPI calculus field sampling protocol","James Fellows Yates","2017-04-10 09:53:14","2017-04-10 09:53:14","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","3","Lingual; Possible glue - palaeobond/glyptal; Old Sample Type: Calculus 34","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM001","Hamann-Todd Collection, Cleveland Museum of Natural History","Lyman Jellema","From C20 Hunting","James Fellows Yates","2017-04-10 09:10:28","Gorilla gorilla (western gorilla)","HTB-1996","0","0","0","0","","","0","0","Female, Adult; ; Skull and mandible glued with - palaeobond or glyptal; ; From Early C20th, collected by  Carl A. Hamann and T. Wingate Todd from private collections and the taxidermy firm Gerrard & Sons of London; ; https://www.cmnh.org/phys-anthro/collection-database","Deep_Evolution,James Fellows Yates,Oral_Microbiome",""
"ABM","Abong Mbong","Haut-Nyong","East","Republic of Cameroon","3.9833330","13.1833330","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM002.A","HTB-1904","Calculus","44","MPI calculus field sampling protocol","James Fellows Yates","2017-04-10 09:58:14","2017-04-10 09:58:14","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","3","Buccal; Possible glue - palaeobond/glyptal; Direct glue! V. little calculus; Old Sample Type: Calculus 44","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM002","Hamann-Todd Collection, Cleveland Museum of Natural History","Lyman Jellema","From C20 Hunting","James Fellows Yates","2017-04-10 09:10:28","Gorilla gorilla (western gorilla)","HTB-1904","0","0","0","0","","","0","0","Male, Adult; ; Skull and mandible glued with - palaeobond or glyptal; ; From Early C20th, collected by  Carl A. Hamann and T. Wingate Todd from private collections and the taxidermy firm Gerrard & Sons of London; ; https://www.cmnh.org/phys-anthro/collection-database","Deep_Evolution,James Fellows Yates,Oral_Microbiome",""
"ABM","Abong Mbong","Haut-Nyong","East","Republic of Cameroon","3.9833330","13.1833330","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM003.A","HTB-1992","Calculus","36","MPI calculus field sampling protocol","James Fellows Yates","2017-04-10 10:01:21","2017-04-10 10:01:21","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","5","Buccal; Possible glue - palaeobond/glyptal; Old Sample Type: Calculus 36","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM003","Hamann-Todd Collection, Cleveland Museum of Natural History","Lyman Jellema","From C20 Hunting","James Fellows Yates","2017-04-10 09:10:28","Gorilla gorilla (western gorilla)","HTB-1992","0","0","0","0","","","0","0","Female, Adult; ; Skull and mandible glued with - palaeobond or glyptal; ; From Early C20th, collected by  Carl A. Hamann and T. Wingate Todd from private collections and the taxidermy firm Gerrard & Sons of London; ; https://www.cmnh.org/phys-anthro/collection-database","Deep_Evolution,James Fellows Yates,Oral_Microbiome",""
"ABM","Abong Mbong","Haut-Nyong","East","Republic of Cameroon","3.9833330","13.1833330","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM004.A","HTB-1989","Calculus","25","MPI calculus field sampling protocol","James Fellows Yates","2017-04-10 10:02:17","2017-04-10 10:02:17","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","4","Buccal; Possible glue - palaeobond/glyptal; Old Sample Type: Calculus 25","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM004","Hamann-Todd Collection, Cleveland Museum of Natural History","Lyman Jellema","From C20 Hunting","James Fellows Yates","2017-04-10 09:10:28","Gorilla gorilla (western gorilla)","HTB-1989","0","0","0","0","","","0","0","Female, Adult; ; Skull and mandible glued with - palaeobond or glyptal; ; From Early C20th, collected by  Carl A. Hamann and T. Wingate Todd from private collections and the taxidermy firm Gerrard & Sons of London; ; https://www.cmnh.org/phys-anthro/collection-database","Deep_Evolution,James Fellows Yates,Oral_Microbiome",""
"ABM","Abong Mbong","Haut-Nyong","East","Republic of Cameroon","3.9833330","13.1833330","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM005.A","HTB-1985","Calculus","37","MPI calculus field sampling protocol","James Fellows Yates","2017-04-10 10:03:00","2017-04-10 10:03:00","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","3","Lingual; Possible glue - palaeobond/glyptal; Old Sample Type: Calculus 37","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM005","Hamann-Todd Collection, Cleveland Museum of Natural History","Lyman Jellema","From C20 Hunting","James Fellows Yates","2017-04-10 09:10:28","Gorilla gorilla (western gorilla)","HTB-1985","0","0","0","0","","","0","0","Female, Adult; ; Skull and mandible glued with - palaeobond or glyptal; ; From Early C20th, collected by  Carl A. Hamann and T. Wingate Todd from private collections and the taxidermy firm Gerrard & Sons of London; ; https://www.cmnh.org/phys-anthro/collection-database","Deep_Evolution,James Fellows Yates,Oral_Microbiome",""
"ABM","Abong Mbong","Haut-Nyong","East","Republic of Cameroon","3.9833330","13.1833330","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM006.A","HTB-2795","Calculus","18","MPI calculus field sampling protocol","James Fellows Yates","2017-04-10 10:04:14","2017-04-10 10:04:14","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","5","Buccal; Possible glue - palaeobond/glyptal; Old Sample Type: Calculus 18","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM006","Hamann-Todd Collection, Cleveland Museum of Natural History","Lyman Jellema","From C20 Hunting","James Fellows Yates","2017-04-10 09:10:28","Gorilla gorilla (western gorilla)","HTB-2795","0","0","0","0","","","0","0","Male, Adult; ; Skull and mandible glued with - palaeobond or glyptal; ; From Early C20th, collected by  Carl A. Hamann and T. Wingate Todd from private collections and the taxidermy firm Gerrard & Sons of London; ; https://www.cmnh.org/phys-anthro/collection-database","Deep_Evolution,James Fellows Yates,Oral_Microbiome",""
"ABM","Abong Mbong","Haut-Nyong","East","Republic of Cameroon","3.9833330","13.1833330","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM007.A","HTB-2001","Calculus","36","MPI calculus field sampling protocol","James Fellows Yates","2017-04-10 10:06:46","2017-04-10 10:06:46","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","3","Lingual; Possible glue - palaeobond/glyptal; Old Sample Type: Calculus 36","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM007","Hamann-Todd Collection, Cleveland Museum of Natural History","Lyman Jellema","From C20 Hunting","James Fellows Yates","2017-04-10 09:10:28","Pan troglodytes (common chimpanzee)","HTB-2001","0","0","0","0","","","0","0","Male, Adult; ; Skull and mandible glued with - palaeobond or glyptal; ; From Early C20th, collected by  Carl A. Hamann and T. Wingate Todd from private collections and the taxidermy firm Gerrard & Sons of London; ; https://www.cmnh.org/phys-anthro/collection-database","Deep_Evolution,James Fellows Yates,Oral_Microbiome",""
"ABM","Abong Mbong","Haut-Nyong","East","Republic of Cameroon","3.9833330","13.1833330","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM008.A","HTB-2804","Calculus","48","MPI calculus field sampling protocol","James Fellows Yates","2017-04-10 10:07:39","2017-04-10 10:07:39","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","3","Lingual; Possible glue - palaeobond/glyptal; Old Sample Type: Calculus 48","James Fellows Yates","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","ABM008","Hamann-Todd Collection, Cleveland Museum of Natural History","Lyman Jellema","From C20 Hunting","James Fellows Yates","2017-04-10 09:10:28","Pan troglodytes (common chimpanzee)","HTB-2804","0","0","0","0","","","0","0","Male, Adult; ; Skull and mandible glued with - palaeobond or glyptal; ; From Early C20th, collected by  Carl A. Hamann and T. Wingate Todd from private collections and the taxidermy firm Gerrard & Sons of London; ; https://www.cmnh.org/phys-anthro/collection-database","Deep_Evolution,James Fellows Yates,Oral_Microbiome",""
"BAN","Banyoles","Girona","Catalunya","Catalan Republic/Spain","0.0000000","0.0000000","0","","Deep_Evolution,Iberian_Transect,James Fellows Yates,Oral_Microbiome","","BAN001.A","???","Calculus","Tooth unspecified","Custom","James Fellows Yates","2017-04-07 15:38:17","2017-04-07 15:38:17","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","0","Banyoles 7; Banyoles Hs2N (?) Calculus; Old Sample Type: Calculus","Domingo C. Salazar García","Deep_Evolution,Iberian_Transect,James Fellows Yates,Oral_Microbiome","","BAN001","???","Domingo C. Salazar Garcia","","James Fellows Yates","2017-02-14 13:18:32","Homo neandertalensis (Neanderthal)","???","0","0","0","0","","","0","0","; Old Organism: Human","Deep_Evolution,Iberian_Transect,James Fellows Yates,Oral_Microbiome",""
