"study_accession"	"sample_accession"	"secondary_sample_accession"	"experiment_accession"	"run_accession"	"tax_id"	"scientific_name"	"instrument_model"	"library_name"	"library_layout"	"fastq_ftp"	"fastq_galaxy"	"submitted_ftp"	"sra_ftp"
"PRJEB10725"	"SAMEA3539301"	"ERS846450"	"ERX1096254"	"ERR1017187"	410658	"soil metagenome"	"Illumina HiSeq 2000"	"AK-C2 Metagenome"	"PAIRED"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1017187/ERR1017187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1017187/ERR1017187_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1017187/ERR1017187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1017187/ERR1017187_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/ERA485/ERA485609/fastq/UOA_29_C2-Cheng_CGATGT_L005_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA485/ERA485609/fastq/UOA_29_C2-Cheng_CGATGT_L005_R2_001.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR101/007/ERR1017187"
"PRJEB10725"	"SAMEA3539303"	"ERS846452"	"ERX1098306"	"ERR1019366"	410658	"soil metagenome"	"Illumina HiSeq 2000"	"CiPEHR AK-C4 Metagenome"	"PAIRED"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019366/ERR1019366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019366/ERR1019366_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019366/ERR1019366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019366/ERR1019366_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486116/fastq/UOA_31_C4-Cheng_TGACCA_L006_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486116/fastq/UOA_31_C4-Cheng_TGACCA_L006_R2_001.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR101/006/ERR1019366"
"PRJEB10725"	"SAMEA3539305"	"ERS846454"	"ERX1101566"	"ERR1022686"	410658	"soil metagenome"	"Illumina HiSeq 2000"	"AK-C6 Metagenome"	"PAIRED"			"ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486537/fastq/UOA_33_C6-Cheng_TTAGGC_L005_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486537/fastq/UOA_33_C6-Cheng_TTAGGC_L005_R2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR102/006/ERR1022686"
"PRJEB10725"	"SAMEA3539304"	"ERS846453"	"ERX1101567"	"ERR1022687"	410658	"soil metagenome"	"Illumina HiSeq 2000"	"AK-C5 Metagenome"	"PAIRED"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1022687/ERR1022687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1022687/ERR1022687_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1022687/ERR1022687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1022687/ERR1022687_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486539/fastq/UOA_32_C5-Cheng_GCCAAT_L007_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486539/fastq/UOA_32_C5-Cheng_GCCAAT_L007_R2_001.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR102/007/ERR1022687"
"PRJEB10725"	"SAMEA3539306"	"ERS846455"	"ERX1101572"	"ERR1022692"	410658	"soil metagenome"	"Illumina HiSeq 2000"	"AK-T1 Metagenome"	"PAIRED"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1022692/ERR1022692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1022692/ERR1022692_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1022692/ERR1022692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1022692/ERR1022692_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486542/fastq/UOA_34_T1-Cheng_CTTGTA_L008_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA486/ERA486542/fastq/UOA_34_T1-Cheng_CTTGTA_L008_R2_001.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR102/002/ERR1022692"
"PRJEB10725"	"SAMEA3539302"	"ERS846451"	"ERX1113252"	"ERR1034454"	410658	"soil metagenome"	"Illumina HiSeq 2000"	"AK-C3 Metagenome"	"PAIRED"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/004/ERR1034454/ERR1034454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/004/ERR1034454/ERR1034454_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/004/ERR1034454/ERR1034454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/004/ERR1034454/ERR1034454_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490196/fastq/AK_C3_R1.gz;ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490196/fastq/AK_C3_R2.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR103/004/ERR1034454"
"PRJEB10725"	"SAMEA3539308"	"ERS846457"	"ERX1114171"	"ERR1035437"	410658	"soil metagenome"	"Illumina HiSeq 2000"	"AK-T3 Metagenome"	"PAIRED"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/007/ERR1035437/ERR1035437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/007/ERR1035437/ERR1035437_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/007/ERR1035437/ERR1035437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/007/ERR1035437/ERR1035437_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490430/fastq/AK_T3_R1.gz;ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490430/fastq/AK_T3_R2.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR103/007/ERR1035437"
"PRJEB10725"	"SAMEA3539309"	"ERS846458"	"ERX1114172"	"ERR1035438"	410658	"soil metagenome"	"Illumina HiSeq 2000"	"AK-T4 Metagenome"	"PAIRED"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/008/ERR1035438/ERR1035438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/008/ERR1035438/ERR1035438_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/008/ERR1035438/ERR1035438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/008/ERR1035438/ERR1035438_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490430/fastq/AK_T4_R1.gz;ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490430/fastq/AK_T4_R2.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR103/008/ERR1035438"
"PRJEB10725"	"SAMEA3539311"	"ERS846460"	"ERX1114175"	"ERR1035441"	410658	"soil metagenome"	"Illumina HiSeq 2000"	"AK-T6 Metagenome"	"PAIRED"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/001/ERR1035441/ERR1035441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/001/ERR1035441/ERR1035441_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/001/ERR1035441/ERR1035441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/001/ERR1035441/ERR1035441_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490433/fastq/AK_T6_R1.gz;ftp.sra.ebi.ac.uk/vol1/ERA490/ERA490433/fastq/AK_T6_R2.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR103/001/ERR1035441"
"PRJEB10725"	"SAMEA3539307"	"ERS846456"	"ERX1118211"	"ERR1039457"	410658	"soil metagenome"	"Illumina HiSeq 2000"	"AK-T2 Metagenome"	"PAIRED"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/007/ERR1039457/ERR1039457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/007/ERR1039457/ERR1039457_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/007/ERR1039457/ERR1039457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/007/ERR1039457/ERR1039457_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/ERA496/ERA496644/fastq/AK_T2_R1.gz;ftp.sra.ebi.ac.uk/vol1/ERA496/ERA496644/fastq/AK_T2_R2.gz"	"ftp.sra.ebi.ac.uk/vol1/err/ERR103/007/ERR1039457"
