AvgSpotLen	BioSample	Experiment	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	geo_loc_name	lat_lon	misc_param	Assay_Type	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_feature	env_material	host
261	SAMN03283237	SRX844686	PAIRED	HCO02.paired	2015-01-20	758	450	SRR1761664	SRS820576	HCO02	2012	Peru	9.91 S 76.23 W	HCO02	WGS	PRJNA268964	MIMS.me	public	sra	ncbi	0	Illumina HiSeq 2500	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-02-15	SRP052307	human-associated habitat	human-associated habitat	feces	Homo sapiens
253	SAMN03283238	SRX844687	PAIRED	HCO07.paired	2015-01-20	1309	784	SRR1761665	SRS820577	HCO07	2012	Peru	9.91 S 76.23 W	HCO07	WGS	PRJNA268964	MIMS.me	public	sra	ncbi	0	Illumina HiSeq 2500	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-02-15	SRP052307	human-associated habitat	human-associated habitat	feces	Homo sapiens
267	SAMN03283239	SRX844688	PAIRED	HCO09.paired	2015-01-20	1326	781	SRR1761666	SRS820578	HCO09	2012	Peru	9.91 S 76.23 W	HCO09	WGS	PRJNA268964	MIMS.me	public	sra	ncbi	0	Illumina HiSeq 2500	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-02-15	SRP052307	human-associated habitat	human-associated habitat	feces	Homo sapiens
258	SAMN03283240	SRX844689	PAIRED	HCO11.paired	2015-01-20	1228	734	SRR1761667	SRS820572	HCO11	2012	Peru	9.91 S 76.23 W	HCO11	WGS	PRJNA268964	MIMS.me	public	sra	ncbi	0	Illumina HiSeq 2500	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-02-15	SRP052307	human-associated habitat	human-associated habitat	feces	Homo sapiens
251	SAMN03283241	SRX844690	PAIRED	HCO12.paired	2015-01-20	1121	674	SRR1761668	SRS820573	HCO12	2012	Peru	9.91 S 76.23 W	HCO12	WGS	PRJNA268964	MIMS.me	public	sra	ncbi	0	Illumina HiSeq 2500	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-02-15	SRP052307	human-associated habitat	human-associated habitat	feces	Homo sapiens
253	SAMN03283242	SRX844691	PAIRED	HCO53.paired	2015-01-20	823	492	SRR1761669	SRS820575	HCO53	2012	Peru	9.91 S 76.23 W	HCO53	WGS	PRJNA268964	MIMS.me	public	sra	ncbi	0	Illumina HiSeq 2500	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-02-15	SRP052307	human-associated habitat	human-associated habitat	feces	Homo sapiens
250	SAMN03283243	SRX844692	PAIRED	HCO61.paired	2015-01-20	1444	869	SRR1761670	SRS820574	HCO61	2012	Peru	9.91 S 76.23 W	HCO61	WGS	PRJNA268964	MIMS.me	public	sra	ncbi	0	Illumina HiSeq 2500	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-02-15	SRP052307	human-associated habitat	human-associated habitat	feces	Homo sapiens
263	SAMN03283244	SRX844693	PAIRED	HCO64.paired	2015-01-20	1674	995	SRR1761671	SRS820579	HCO64	2012	Peru	9.91 S 76.23 W	HCO64	WGS	PRJNA268964	MIMS.me	public	sra	ncbi	0	Illumina HiSeq 2500	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-02-15	SRP052307	human-associated habitat	human-associated habitat	feces	Homo sapiens
256	SAMN03283245	SRX844694	PAIRED	HCO67.paired	2015-01-20	1368	821	SRR1761672	SRS820580	HCO67	2012	Peru	9.91 S 76.23 W	HCO67	WGS	PRJNA268964	MIMS.me	public	sra	ncbi	0	Illumina HiSeq 2500	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-02-15	SRP052307	human-associated habitat	human-associated habitat	feces	Homo sapiens
262	SAMN03283246	SRX844695	PAIRED	HCO70.paired	2015-01-20	1676	997	SRR1761673	SRS820581	HCO70	2012	Peru	9.91 S 76.23 W	HCO70	WGS	PRJNA268964	MIMS.me	public	sra	ncbi	0	Illumina HiSeq 2500	RANDOM	METAGENOMIC	human gut metagenome	ILLUMINA	2015-02-15	SRP052307	human-associated habitat	human-associated habitat	feces	Homo sapiens
