"#SampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"Study"	"SourceSink"	"Env"
"ERR1022692"	"NA"	"NA"	"Johnston2016"	"source"	"soil"
"ERR1035437"	"NA"	"NA"	"Johnston2016"	"source"	"soil"
"ERR1035438"	"NA"	"NA"	"Johnston2016"	"source"	"soil"
"ERR1039457"	"NA"	"NA"	"Johnston2016"	"source"	"soil"
"ERR1039458"	"NA"	"NA"	"Johnston2016"	"source"	"soil"
"ERR1043166"	"NA"	"NA"	"Johnston2016"	"source"	"soil"
"ERR1044071"	"NA"	"NA"	"Johnston2016"	"source"	"soil"
"ERR1044072"	"NA"	"NA"	"Johnston2016"	"source"	"soil"
"ERR1051325"	"NA"	"NA"	"Johnston2016"	"source"	"soil"
"ERR1051326"	"NA"	"NA"	"Johnston2016"	"source"	"soil"
"SRR059389"	"NA"	"NA"	"HMP2012"	"source"	"urbanGut"
"SRR059454"	"NA"	"NA"	"HMP2012"	"source"	"urbanGut"
"SRR059455"	"NA"	"NA"	"HMP2012"	"source"	"urbanGut"
"SRR059917"	"NA"	"NA"	"HMP2012"	"source"	"urbanGut"
"SRR060358"	"NA"	"NA"	"HMP2012"	"source"	"urbanGut"
"SRR061192"	"NA"	"NA"	"HMP2012"	"source"	"supPlaque"
"SRR061294"	"NA"	"NA"	"HMP2012"	"source"	"subPlaque"
"SRR061320"	"NA"	"NA"	"HMP2012"	"source"	"supPlaque"
"SRR061365"	"NA"	"NA"	"HMP2012"	"source"	"supPlaque"
"SRR061562"	"NA"	"NA"	"HMP2012"	"source"	"supPlaque"
"SRR062083"	"NA"	"NA"	"HMP2012"	"source"	"supPlaque"
"SRR062298"	"NA"	"NA"	"HMP2012"	"source"	"subPlaque"
"SRR062299"	"NA"	"NA"	"HMP2012"	"source"	"subPlaque"
"SRR063517"	"NA"	"NA"	"HMP2012"	"source"	"supPlaque"
"SRR1631060"	"NA"	"NA"	"Oh2016"	"source"	"skin"
"SRR1631061"	"NA"	"NA"	"Oh2016"	"source"	"skin"
"SRR1631063"	"NA"	"NA"	"Oh2016"	"source"	"skin"
"SRR1631064"	"NA"	"NA"	"Oh2016"	"source"	"skin"
"SRR1633008"	"NA"	"NA"	"Oh2016"	"source"	"skin"
"SRR1761677"	"NA"	"NA"	"Sankaranarayanan2015"	"source"	"urbanGut"
"SRR1761682"	"NA"	"NA"	"Sankaranarayanan2015"	"source"	"urbanGut"
"SRR1761688"	"NA"	"NA"	"Sankaranarayanan2015"	"source"	"urbanGut"
"SRR1761692"	"NA"	"NA"	"Sankaranarayanan2015"	"source"	"urbanGut"
"SRR1761697"	"NA"	"NA"	"Sankaranarayanan2015"	"source"	"urbanGut"
"SRR1761698"	"NA"	"NA"	"ObregonTito2015"	"source"	"ruralGut"
"SRR1761705"	"NA"	"NA"	"ObregonTito2015"	"source"	"ruralGut"
"SRR1761710"	"NA"	"NA"	"ObregonTito2015"	"source"	"ruralGut"
"SRR1761718"	"NA"	"NA"	"ObregonTito2015"	"source"	"ruralGut"
"SRR1761721"	"NA"	"NA"	"ObregonTito2015"	"source"	"ruralGut"
"SRR1804664"	"NA"	"NA"	"HMP2012"	"source"	"supPlaque"
"SRR1804823"	"NA"	"NA"	"HMP2012"	"source"	"supPlaque"
"SRR1929408"	"NA"	"NA"	"Rampelli‎2015"	"source"	"ruralGut"
"SRR1930121"	"NA"	"NA"	"Rampelli‎2015"	"source"	"ruralGut"
"SRR1930123"	"NA"	"NA"	"Rampelli‎2015"	"source"	"ruralGut"
"SRR1930141"	"NA"	"NA"	"Rampelli‎2015"	"source"	"ruralGut"
"SRR1930145"	"NA"	"NA"	"Rampelli‎2015"	"source"	"ruralGut"
"SRR3184100"	"NA"	"NA"	"Oh2016"	"source"	"skin"
"SRR3184876"	"NA"	"NA"	"Oh2016"	"source"	"skin"
"SRR3189411"	"NA"	"NA"	"Oh2016"	"source"	"skin"
"SRR3189416"	"NA"	"NA"	"Oh2016"	"source"	"skin"
"SRR3189418"	"NA"	"NA"	"Oh2016"	"source"	"skin"
"SRR512767"	"NA"	"NA"	"HMP2012"	"source"	"supPlaque"
"SRR513165"	"NA"	"NA"	"HMP2012"	"source"	"subPlaque"
"SRR513449"	"NA"	"NA"	"HMP2012"	"source"	"subPlaque"
"SRR513768"	"NA"	"NA"	"HMP2012"	"source"	"subPlaque"
"SRR513775"	"NA"	"NA"	"HMP2012"	"source"	"subPlaque"
"SRR513828"	"NA"	"NA"	"HMP2012"	"source"	"supPlaque"
"SRR514202"	"NA"	"NA"	"HMP2012"	"source"	"subPlaque"
"SRR514239"	"NA"	"NA"	"HMP2012"	"source"	"subPlaque"
"SRR514329"	"NA"	"NA"	"HMP2012"	"source"	"subPlaque"
