Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,1467024,1467024,197074,1269950,100.000,1.155,14.7427,14.593,84.68,80.82,77.69,75.02,72.79,0.0175,0.0147,0.0181,0.0153,41.0,37.0,71.95
Sample 2/29,EBO003,3593526,3593526,650758,2942768,100.000,1.221,34.6893,27.7433,81.84,80.2,79.04,78.07,77.17,0.0165,0.0136,0.0168,0.014,41.63,38.0,72.58
Sample 3/29,ECO002,1035605,1035605,132866,902739,100.000,1.147,9.861,8.1647,88.58,84.27,80.54,76.9,73.09,0.0376,0.0146,0.039,0.0153,38.57,36.0,72.09
Sample 4/29,ECO004,276942,276942,50521,226421,100.000,1.223,2.4096,4.1287,71.68,55.07,38.84,25.5,15.94,0.037,0.0139,0.0372,0.015,37.58,35.0,71.25
Sample 5/29,EMN001,1252897,1252897,209325,1043572,100.000,1.201,15.9759,32.7694,82.14,76.59,72.3,68.54,65.04,0.0269,0.0179,0.026,0.0168,54.06,47.0,70.29
Sample 6/29,FUM002,548155,548155,103056,445099,100.000,1.232,5.2324,14.5999,65.47,47.51,34.13,25.09,19.44,0.0364,0.0195,0.0361,0.0196,41.51,37.0,69.29
Sample 7/29,GOY005,3493405,3493405,1189830,2303575,100.000,1.517,25.029,53.0184,85.3,80.61,76.97,73.73,70.6,0.0246,0.0202,0.024,0.0207,38.37,36.0,69.76
Sample 8/29,JAE008,2409406,2409406,192086,2217320,100.000,1.087,52.0705,31.5613,97.68,96.52,95.48,94.54,93.68,0.0147,0.0142,0.0184,0.0159,82.93,76.0,72.07
Sample 9/29,JAE014,5305262,5305262,906565,4398697,100.000,1.206,103.8335,70.9679,96.78,95.01,93.64,92.39,91.2,0.0162,0.015,0.0204,0.0163,83.36,76.0,72.22
Sample 10/29,KNP001,4635760,4635760,579866,4055894,100.000,1.143,68.599,57.1524,82.57,79.59,78.15,77.15,76.32,0.0133,0.0126,0.011,0.012,59.73,55.0,72.67
Sample 11/29,KNP004,12489291,12489291,2346100,10143191,100.000,1.231,176.5787,139.1481,86.11,83.48,81.69,80.34,79.3,0.0133,0.0116,0.012,0.0108,61.48,56.0,72.57
