Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,258081,258081,31711,226370,100.000,1.140,4.018,6.8809,50.84,43.32,38.16,34,30.37,0.0325,0.0274,0.0317,0.0293,40.5,37.0,51.8
Sample 2/29,EBO003,100325,100325,15543,84782,100.000,1.183,1.5387,5.2384,41.36,28.26,20.22,14.8,10.94,0.0313,0.0281,0.0293,0.0293,41.41,37.0,51.79
Sample 3/29,ECO002,25985,25985,3655,22330,100.000,1.164,0.3695,2.2884,21.72,6.45,1.89,0.62,0.3,0.0664,0.0378,0.0713,0.042,37.75,35.0,49.46
Sample 4/29,ECO004,38921,38921,7077,31844,100.000,1.222,0.5224,2.2753,28.66,11.26,4.18,1.53,0.63,0.0608,0.0379,0.0648,0.0371,37.43,35.0,47.59
Sample 5/29,EMN001,50106,50106,7780,42326,100.000,1.184,1.0056,5.0739,35.27,21.72,13.23,7.72,4.29,0.0424,0.0334,0.0373,0.031,54.21,47.0,51.32
Sample 6/29,FUM002,4368,4368,673,3695,100.000,1.182,0.0617,1.4848,2.24,0.32,0.19,0.16,0.14,0.0575,0.0542,0.0594,0.0521,38.08,35.0,54.37
Sample 7/29,GOY005,406449,406449,116908,289541,100.000,1.404,4.991,15.5323,55.7,48.58,43.34,38.96,35.02,0.0383,0.0317,0.0366,0.0329,39.33,36.0,51.93
Sample 8/29,JAE008,99976,99976,2652,97324,100.000,1.027,3.3466,5.1018,63.29,52.65,44.02,36.47,29.71,0.025,0.0248,0.0233,0.0236,78.46,76.0,49.2
Sample 9/29,JAE014,26235,26235,632,25603,100.000,1.025,0.8547,2.8523,31.63,18.38,11.09,6.51,3.86,0.0362,0.0334,0.0405,0.0319,76.17,76.0,50.9
Sample 10/29,KNP001,135730,135730,14861,120869,100.000,1.123,2.7374,8.3632,36.73,27.98,23.09,19.61,16.97,0.0245,0.0253,0.0219,0.0252,51.68,46.0,51.5
Sample 11/29,KNP004,211027,211027,28535,182492,100.000,1.156,4.4945,13.1948,41.81,33.44,28.48,24.86,21.98,0.0249,0.0242,0.0212,0.0222,56.2,51.0,50.89
Sample 12/29,KNP005,36394,36394,1509,34885,100.000,1.043,0.7994,3.87,24.36,14.5,9.56,6.55,4.54,0.0298,0.0287,0.0238,0.0294,52.29,45.0,51.01
Sample 13/29,KNP009,93513,93513,7819,85694,100.000,1.091,2.0418,6.4541,33.79,24.47,19.49,16.13,13.63,0.0265,0.0296,0.0238,0.0305,54.37,49.0,50.17
Sample 14/29,LIB007.A0115,3,3,0,3,100.000,1.000,0,0.007,0,0,0,0,0,0.0,0.0,0.0,0.0,37.33,36.0,54.05
Sample 15/29,LIB007.A0116,3,3,0,3,100.000,1.000,0.0001,0.0079,0.01,0,0,0,0,0.0,0.0,0.0,0.0,48.0,46.0,52.08
Sample 16/29,LIB007.A0135.SG1.1,6,6,2,4,100.000,1.500,0.0001,0.0082,0.01,0,0,0,0,0.0,0.0,0.0,0.0,38.25,35.5,58.17
Sample 17/29,LIB025.A0301,25,25,2,23,100.000,1.087,0.0004,0.0223,0.04,0,0,0,0,0.0,0.0,0.0,0.0,42.78,38.0,54.27
Sample 18/29,LIB025.A1001,9,9,3,6,100.000,1.500,0.0001,0.0111,0.01,0,0,0,0,0.0,0.0,0.0,0.0,36.5,36.5,61.64
Sample 19/29,LIB025.A1301,17,17,11,6,100.000,2.833,0.0001,0.0113,0.01,0,0,0,0,0.0,0.0,0.0,0.0,37.67,36.5,59.73
Sample 20/29,MTM009,262608,262608,37107,225501,100.000,1.165,4.403,11.516,51.35,43.28,37.77,33.56,30.03,0.0326,0.0296,0.0315,0.0278,44.55,40.0,52.04
Sample 21/29,OAK002,31902,31902,9323,22579,100.000,1.413,0.3734,5.9813,13.11,3.17,1.27,0.7,0.46,0.0514,0.0393,0.044,0.0388,37.73,35.0,53.62
Sample 22/29,OAK005,87236,87236,8197,79039,100.000,1.104,1.5055,2.6704,52.18,34.48,23.2,15.09,9.45,0.0361,0.0306,0.0357,0.0266,43.46,39.0,51.18
Sample 23/29,OME002,16753,16753,2225,14528,100.000,1.153,0.3078,5.0561,10.12,2.08,0.92,0.66,0.55,0.0339,0.0353,0.0305,0.0296,48.34,41.0,51.82
Sample 24/29,OME003,23692,23692,3076,20616,100.000,1.149,0.4772,5.804,15.31,4.19,1.77,1.16,0.92,0.0281,0.0347,0.0234,0.0408,52.82,45.0,50.46
Sample 25/29,OME005,25934,25934,6087,19847,100.000,1.307,0.451,9.6707,9.2,1.92,0.87,0.66,0.58,0.0315,0.0319,0.0315,0.0269,51.85,45.0,53.47
Sample 26/29,PES001,10780,10780,1726,9054,100.000,1.191,0.1749,2.6958,9.12,1.4,0.33,0.19,0.16,0.0501,0.0455,0.057,0.0367,44.07,39.0,53.58
Sample 27/29,TAF008,46263,46263,9288,36975,100.000,1.251,0.6723,2.6503,33.88,15.33,6.82,2.94,1.27,0.056,0.0325,0.0592,0.0357,41.49,38.0,50.43
Sample 28/29,VLC004,151702,151702,3881,147821,100.000,1.026,5.9817,6.817,73.15,63.85,56.83,50.91,45.75,0.0467,0.0424,0.0428,0.0371,92.33,85.0,48.71
Sample 29/29,VLC009,35557,35557,1118,34439,100.000,1.032,1.4074,2.7422,41.16,27.32,19.73,14.43,10.5,0.0398,0.0323,0.0362,0.0363,93.24,85.0,49.65
