Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,14053,14053,3752,10301,100.000,1.364,0.1528,4.8614,0.93,0.44,0.35,0.31,0.28,0.0331,0.0263,0.0394,0.0317,39.58,36.0,52.27
Sample 2/29,EBO003,9049,9049,2835,6214,100.000,1.456,0.0911,4.2551,0.49,0.25,0.2,0.18,0.15,0.033,0.0262,0.0282,0.0384,39.09,36.0,54.91
Sample 3/29,ECO002,6479,6479,2193,4286,100.000,1.512,0.0593,2.6003,0.65,0.19,0.14,0.12,0.11,0.0634,0.0375,0.0737,0.036,36.92,35.0,53.63
Sample 4/29,ECO004,20820,20820,4713,16107,100.000,1.293,0.2245,2.4417,14.82,2.2,0.51,0.24,0.17,0.0489,0.0351,0.0641,0.0319,37.18,35.0,41.99
Sample 5/29,EMN001,46790,46790,9237,37553,100.000,1.246,0.7217,7.8534,21.91,11.91,7.07,4.35,2.79,0.0464,0.0376,0.0441,0.0377,51.26,45.0,44.53
Sample 6/29,FUM002,4101,4101,955,3146,100.000,1.304,0.0459,2.0165,1.15,0.15,0.11,0.09,0.08,0.0453,0.0339,0.0591,0.0352,38.92,36.0,52.86
Sample 7/29,GOY005,285828,285828,115417,170411,100.000,1.677,2.5498,17.3144,39.24,28.1,21.96,17.61,14.33,0.0461,0.0362,0.0434,0.0373,39.91,37.0,44.01
Sample 8/29,JAE008,513579,513579,20789,492790,100.000,1.042,15.2187,14.6798,90.78,87.87,85.48,83.23,81.08,0.0212,0.0191,0.0217,0.0202,82.37,76.0,42.62
Sample 9/29,JAE014,249834,249834,7830,242004,100.000,1.032,7.4296,8.1038,88.06,81.77,76.22,70.7,64.91,0.0269,0.025,0.0317,0.0283,81.88,76.0,43.19
Sample 10/29,KNP001,21023,21023,7212,13811,100.000,1.522,0.249,10.0542,3.97,0.6,0.35,0.28,0.25,0.0291,0.0274,0.022,0.0196,48.08,43.0,52.43
Sample 11/29,KNP004,24318,24318,10375,13943,100.000,1.744,0.2553,12.7858,1.99,0.34,0.25,0.22,0.2,0.0311,0.0195,0.0178,0.0165,48.83,44.0,54.32
Sample 12/29,KNP005,8309,8309,1520,6789,100.000,1.224,0.1179,5.9663,0.65,0.27,0.22,0.19,0.18,0.0222,0.0187,0.0207,0.0241,46.31,41.0,54.19
Sample 13/29,KNP009,14025,14025,3765,10260,100.000,1.367,0.1897,8.2005,1.71,0.43,0.32,0.27,0.24,0.0292,0.0291,0.0212,0.0262,49.32,44.0,52.44
Sample 14/29,LIB007.A0115,12,12,4,8,100.000,1.500,0.0002,0.0182,0.01,0,0,0,0,0.0,0.0,0.0,0.0,51.0,49.0,47.55
Sample 15/29,LIB007.A0116,14,14,5,9,100.000,1.556,0.0002,0.017,0.01,0.01,0,0,0,0.0,0.0,0.0,0.0,50.33,41.0,51.43
Sample 16/29,LIB007.A0135.SG1.1,22,22,14,8,100.000,2.750,0.0002,0.0125,0.02,0,0,0,0,0.0,0.0,0.0,0.0,52.5,50.5,44.52
Sample 17/29,LIB025.A0301,61,61,11,50,100.000,1.220,0.0008,0.0378,0.06,0.01,0.01,0,0,0.0,0.0,0.0,0.0,43.56,41.0,51.61
Sample 18/29,LIB025.A1001,35,35,16,19,100.000,1.842,0.0003,0.0258,0.03,0,0,0,0,0.0,0.0,0.0,0.0,48.89,39.0,52.1
Sample 19/29,LIB025.A1301,64,64,32,32,100.000,2.000,0.0008,0.045,0.05,0.01,0.01,0,0,0.1,0.0,0.0,0.0,65.31,76.0,48.59
Sample 20/29,MTM009,40022,40022,21102,18920,100.000,2.115,0.3092,11.3725,1.08,0.46,0.34,0.29,0.26,0.0306,0.0306,0.0271,0.0229,43.58,39.0,54.31
Sample 21/29,OAK002,261856,261856,47939,213917,100.000,1.224,3.1535,8.4298,78.63,61.55,44.52,30.28,19.89,0.0379,0.0294,0.0376,0.0301,39.32,36.0,42.03
Sample 22/29,OAK005,5064,5064,774,4290,100.000,1.180,0.0656,2.2163,1.86,0.42,0.25,0.18,0.15,0.0293,0.0231,0.0376,0.0362,40.77,37.0,50.88
Sample 23/29,OME002,127544,127544,16741,110803,100.000,1.151,2.6315,9.9048,66.48,55.12,42.4,29.82,19.23,0.0185,0.019,0.0222,0.018,63.35,60.0,42.7
Sample 24/29,OME003,102183,102183,14272,87911,100.000,1.162,2.1269,10.1404,62.2,47.87,33.41,20.93,11.87,0.0187,0.0187,0.0162,0.021,64.53,65.0,43.05
Sample 25/29,OME005,121474,121474,28396,93078,100.000,1.305,2.3738,19.334,62.19,47.73,33.02,20.58,11.62,0.0207,0.0177,0.0185,0.0159,68.02,72.0,43.93
Sample 26/29,PES001,8391,8391,2423,5968,100.000,1.406,0.1134,3.8946,2.77,0.48,0.22,0.16,0.14,0.0285,0.0226,0.0323,0.0254,50.66,44.0,51.62
Sample 27/29,TAF008,7590,7590,2267,5323,100.000,1.426,0.0778,2.6245,2.32,0.35,0.19,0.15,0.13,0.0402,0.0321,0.0553,0.03,38.99,36.0,50.7
Sample 28/29,VLC004,195208,195208,5260,189948,100.000,1.028,6.9593,8.3821,82.92,76.09,70.52,65.14,59.66,0.0727,0.059,0.0653,0.0546,97.72,90.0,42.73
Sample 29/29,VLC009,181659,181659,5651,176008,100.000,1.032,7.7846,7.7465,87.56,82.09,77.05,72.04,66.67,0.0306,0.0286,0.0304,0.0259,117.97,110.0,42.75
