Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,28907,28907,6803,22104,100.000,1.308,0.3006,6.0021,10.76,2.4,0.87,0.55,0.43,0.0287,0.0274,0.0249,0.0274,38.84,36.0,58.16
Sample 2/29,EBO003,22313,22313,7313,15000,100.000,1.488,0.206,6.8623,1.21,0.78,0.6,0.5,0.42,0.0265,0.0257,0.0281,0.022,39.23,36.0,59.53
Sample 3/29,ECO002,13947,13947,4680,9267,100.000,1.505,0.1272,4.3206,1.44,0.54,0.37,0.29,0.24,0.0527,0.0281,0.0396,0.0382,39.19,35.0,57.78
Sample 4/29,ECO004,15630,15630,4959,10671,100.000,1.465,0.1498,3.9094,5.12,0.6,0.3,0.23,0.19,0.0463,0.0207,0.0408,0.0274,40.1,35.0,56.93
Sample 5/29,EMN001,50031,50031,15217,34814,100.000,1.437,0.5519,14.2095,15.36,2.74,0.88,0.57,0.46,0.0422,0.0313,0.0373,0.0275,45.28,40.0,57.95
Sample 6/29,FUM002,19522,19522,4891,14631,100.000,1.334,0.2037,5.1164,5.04,0.8,0.48,0.4,0.34,0.0484,0.0298,0.0421,0.0334,39.77,36.0,58.12
Sample 7/29,GOY005,1999803,1999803,550828,1448975,100.000,1.380,19.272,27.2614,85.52,81.26,78.15,75.34,72.77,0.0386,0.0316,0.0375,0.0332,37.99,36.0,58
Sample 8/29,JAE008,293114,293114,10181,282933,100.000,1.036,7.9246,10.4559,82.47,73.52,66.39,60.16,54.77,0.0259,0.0253,0.0275,0.0259,79.99,76.0,57.49
Sample 9/29,JAE014,201555,201555,7432,194123,100.000,1.038,5.3121,9.5921,63.61,55.24,49.55,44.77,40.64,0.0379,0.0358,0.0409,0.0377,78.15,76.0,57.19
Sample 10/29,KNP001,37115,37115,12529,24586,100.000,1.510,0.4094,13.7891,3.81,1.04,0.69,0.57,0.49,0.0281,0.0246,0.0205,0.02,47.56,42.0,57.68
Sample 11/29,KNP004,54032,54032,21771,32261,100.000,1.675,0.5661,19.9797,1.59,0.95,0.76,0.67,0.58,0.0283,0.0228,0.0214,0.0223,50.12,44.0,57.83
Sample 12/29,KNP005,12812,12812,2416,10396,100.000,1.232,0.1648,6.6833,0.99,0.5,0.35,0.27,0.22,0.0319,0.0223,0.0278,0.0269,45.27,40.0,57.64
Sample 13/29,KNP009,21648,21648,6167,15481,100.000,1.398,0.2623,10.224,1.89,0.62,0.44,0.35,0.3,0.0289,0.0259,0.0263,0.0238,48.39,43.0,57.5
Sample 14/29,LIB007.A0115,0,0,0,NF,NaN,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
Sample 15/29,LIB007.A0116,5,5,3,2,100.000,2.500,0,0.0072,0,0,0,0,0,0.0,0.0,0.0,0.0,37.5,37.5,64
Sample 16/29,LIB007.A0135.SG1.1,12,12,4,8,100.000,1.500,0.0001,0.0122,0.01,0,0,0,0,0.0,0.0,0.0,0.0,47.38,51.5,57.26
Sample 17/29,LIB025.A0301,64,64,13,51,100.000,1.255,0.0008,0.0393,0.06,0.02,0,0,0,0.0,0.0,0.0,0.0,45.27,42.0,56.52
Sample 18/29,LIB025.A1001,48,48,24,24,100.000,2.000,0.0004,0.0239,0.03,0.01,0,0,0,0.0,0.0,0.0,0.2857,46.13,38.5,53.93
Sample 19/29,LIB025.A1301,51,51,29,22,100.000,2.318,0.0004,0.0209,0.04,0,0,0,0,0.0,0.0,0.0,0.0,49.32,43.0,57.97
Sample 20/29,MTM009,84940,84940,44801,40139,100.000,2.116,0.6197,19.3694,2.04,1.24,0.96,0.81,0.7,0.0293,0.0234,0.0245,0.023,44.09,39.0,57.97
Sample 21/29,OAK002,387278,387278,74449,312829,100.000,1.238,4.2441,13.1452,84.84,74.63,62.93,50.18,37.96,0.0298,0.0222,0.0279,0.0221,38.75,36.0,58.23
Sample 22/29,OAK005,138670,138670,14106,124564,100.000,1.113,1.8515,4.8526,71.5,48.04,28.24,14.75,6.98,0.0248,0.0193,0.0228,0.0193,42.45,39.0,58.68
Sample 23/29,OME002,36191,36191,9162,27029,100.000,1.339,0.464,13.7241,3.55,2.05,1.43,1.1,0.9,0.0247,0.0246,0.0277,0.0208,49.04,42.0,56.46
Sample 24/29,OME003,28630,28630,8977,19653,100.000,1.457,0.3495,12.8708,2.21,1.15,0.78,0.58,0.47,0.028,0.0294,0.0225,0.0319,50.79,44.0,56.41
Sample 25/29,OME005,37977,37977,17076,20901,100.000,1.817,0.3756,18.1228,0.97,0.56,0.41,0.34,0.29,0.028,0.0269,0.0269,0.0222,51.33,44.0,57.6
Sample 26/29,PES001,22301,22301,5569,16732,100.000,1.333,0.2682,8.1893,7.58,1.02,0.47,0.35,0.28,0.0416,0.0272,0.0381,0.0289,45.77,40.0,58.77
Sample 27/29,TAF008,28515,28515,8119,20396,100.000,1.398,0.2775,5.0673,13.07,1.81,0.57,0.39,0.32,0.0404,0.0256,0.0421,0.0233,38.85,36.0,58.25
Sample 28/29,VLC004,989502,989502,26615,962887,100.000,1.028,33.9976,20.8842,94.22,92.87,91.82,90.91,90.05,0.06,0.0479,0.0549,0.0447,100.84,92.0,56.45
Sample 29/29,VLC009,2594127,2594127,90421,2503706,100.000,1.036,103.1252,53.3771,96.79,95.96,95.36,94.85,94.34,0.0363,0.0323,0.0335,0.0302,117.63,109.0,56.57
