Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,434033,434033,55951,378082,100.000,1.148,4.8642,8.7681,51.5,45.02,40.19,36.3,32.92,0.023,0.0197,0.0235,0.0204,41.34,37.0,64.53
Sample 2/29,EBO003,1389657,1389657,247492,1142165,100.000,1.217,15.7994,24.8739,76.89,66.5,58.26,52.7,48.92,0.0219,0.0188,0.022,0.0189,44.45,39.0,64.14
Sample 3/29,ECO002,663364,663364,81690,581674,100.000,1.140,6.9911,6.2455,86.99,81.8,76.26,70.07,63.23,0.0405,0.0206,0.0401,0.0206,38.62,36.0,61.78
Sample 4/29,ECO004,208638,208638,37945,170693,100.000,1.222,2.023,3.382,70.71,50.58,32.71,19.49,10.84,0.0439,0.0217,0.0474,0.0215,38.08,36.0,61.15
Sample 5/29,EMN001,51559,51559,10858,40701,100.000,1.267,0.7202,7.1455,31.28,14.04,5.72,2.22,1.02,0.0346,0.0275,0.0353,0.0227,56.86,50.0,61.46
Sample 6/29,FUM002,103742,103742,15709,88033,100.000,1.178,1.2348,3.0895,47.67,30.82,18.46,10.14,5.21,0.0435,0.0241,0.0425,0.0234,45.08,40.0,62.68
Sample 7/29,GOY005,533392,533392,161505,371887,100.000,1.434,4.7983,15.9831,65.02,56.21,49.28,43.28,37.96,0.0269,0.024,0.0263,0.0239,41.46,38.0,63.14
Sample 8/29,JAE008,159118,159118,4016,155102,100.000,1.026,3.9601,3.8692,83.7,75.16,64.95,53.13,40.68,0.0133,0.0143,0.0143,0.0124,82.05,76.0,61.89
Sample 9/29,JAE014,1296457,1296457,82123,1214334,100.000,1.068,31.2358,19.4522,90.9,88.48,86.92,85.58,84.36,0.0151,0.0147,0.018,0.0157,82.66,76.0,62.15
Sample 10/29,KNP001,318774,318774,37285,281489,100.000,1.132,4.7996,14.0344,53.41,43.69,37.75,33.2,29.49,0.0199,0.019,0.0165,0.0187,54.79,49.0,63.7
