Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,24128,24128,3888,20240,100.000,1.192,0.2642,3.4681,11.2,2.37,1.07,0.74,0.58,0.0242,0.0214,0.0267,0.0237,38.2,35.0,61.45
Sample 2/29,EBO003,14043,14043,3132,10911,100.000,1.287,0.1396,3.7541,1.53,0.79,0.56,0.45,0.38,0.0335,0.0285,0.0325,0.0306,37.43,34.0,59.43
Sample 3/29,ECO002,14528,14528,2629,11899,100.000,1.221,0.1464,2.2314,4.68,1.73,1.04,0.68,0.48,0.07,0.0345,0.0618,0.038,36.0,34.0,58.95
Sample 4/29,ECO004,191764,191764,33970,157794,100.000,1.215,2.0512,3.372,74.86,53.07,32.65,17.92,9.13,0.0306,0.0153,0.0338,0.0153,38.03,35.0,61.87
Sample 5/29,EMN001,103551,103551,17692,85859,100.000,1.206,1.4771,15.4889,7.45,5.45,4.45,3.82,3.39,0.0465,0.0326,0.0435,0.0307,50.33,43.0,57.77
Sample 6/29,FUM002,9329,9329,1394,7935,100.000,1.176,0.1026,1.6689,2.85,1.34,0.84,0.56,0.41,0.0602,0.0423,0.063,0.0429,37.84,35.0,59.18
Sample 7/29,GOY005,757744,757744,317295,440449,100.000,1.720,6.0832,41.8044,30.42,13.46,9.52,8.34,7.73,0.0321,0.0306,0.0318,0.0308,40.41,37.0,60.52
Sample 8/29,JAE008,9595589,9595589,2051517,7544072,100.000,1.272,219.0872,101.8709,90.95,90.55,90.38,90.23,90.12,0.0231,0.0208,0.0273,0.0232,84.97,76.0,64.4
Sample 9/29,JAE014,537841,537841,22636,515205,100.000,1.044,14.4142,12.3138,89.12,87.3,85.6,83.77,81.79,0.0224,0.0211,0.0292,0.0238,81.85,76.0,64.51
Sample 10/29,KNP001,778652,778652,82818,695834,100.000,1.119,13.3916,16.5553,79.01,67.8,60.97,56.83,53.92,0.0125,0.0128,0.01,0.012,56.31,50.0,66.35
