Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,27855,27855,3920,23935,100.000,1.164,0.414,5.1042,3.22,2,1.54,1.33,1.2,0.0303,0.0235,0.0328,0.0248,40.73,37.0,52.26
Sample 2/29,EBO003,52586,52586,7785,44801,100.000,1.174,0.7777,4.1119,33.23,11.13,5.46,3.54,2.6,0.0237,0.0189,0.0216,0.0194,40.88,37.0,50.96
Sample 3/29,ECO002,18989,18989,2594,16395,100.000,1.158,0.2587,2.2239,12.01,3.56,1.81,1.12,0.76,0.066,0.0225,0.0572,0.0238,37.16,35.0,51.06
Sample 4/29,ECO004,16012,16012,2962,13050,100.000,1.227,0.203,2.069,12.03,1.97,0.64,0.35,0.25,0.0561,0.0296,0.0502,0.0187,36.64,34.0,49.87
Sample 5/29,EMN001,17358,17358,3090,14268,100.000,1.217,0.281,6.2214,5.21,2.02,1.33,0.99,0.78,0.0342,0.025,0.037,0.0245,46.37,41.0,54.48
Sample 6/29,FUM002,7132,7132,926,6206,100.000,1.149,0.1028,1.6861,3.98,1.16,0.63,0.42,0.32,0.0349,0.0257,0.0455,0.0208,39.02,36.0,53.54
Sample 7/29,GOY005,104984,104984,50999,53985,100.000,1.945,0.9017,15.5799,13.02,5.42,3.46,2.53,1.94,0.0317,0.0223,0.0314,0.0244,39.33,36.0,53.84
Sample 8/29,JAE008,15907,15907,1316,14591,100.000,1.090,0.4677,5.0467,4.49,3.49,2.94,2.58,2.29,0.0285,0.0245,0.0231,0.0236,75.48,76.0,50.07
Sample 9/29,JAE014,214182,214182,8653,205529,100.000,1.042,7.174,12.0701,88.97,84.67,78.68,70.21,59.73,0.0256,0.0239,0.0308,0.0284,82.2,76.0,50.15
Sample 10/29,KNP001,241121,241121,24276,216845,100.000,1.112,5.481,13.1274,88.66,81.17,69.57,55.06,40.49,0.0117,0.0112,0.0093,0.0114,59.52,55.0,50.03
