Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,15360,15360,3291,12069,100.000,1.273,0.1375,3.8138,5.04,0.75,0.34,0.26,0.22,0.0324,0.028,0.0345,0.0265,39.98,36.0,51.85
Sample 2/29,EBO003,7788,7788,2240,5548,100.000,1.404,0.0623,3.3344,1.54,0.31,0.19,0.14,0.11,0.0339,0.0352,0.0342,0.0296,39.42,36.0,53.58
Sample 3/29,ECO002,7221,7221,1754,5467,100.000,1.321,0.0574,1.8431,3.47,0.22,0.08,0.05,0.04,0.0606,0.0272,0.0546,0.0372,36.82,35.0,49.81
Sample 4/29,ECO004,19830,19830,4183,15647,100.000,1.267,0.1649,1.8259,12.92,1.41,0.19,0.08,0.06,0.0501,0.0311,0.0532,0.0303,36.98,35.0,46.87
Sample 5/29,EMN001,53659,53659,8817,44842,100.000,1.197,0.5963,5.444,37.68,12.07,3.07,0.75,0.23,0.0296,0.0245,0.033,0.0217,46.66,41.0,48.73
Sample 6/29,FUM002,4050,4050,920,3130,100.000,1.294,0.0345,1.5877,1.78,0.09,0.04,0.04,0.03,0.0335,0.0141,0.0358,0.0331,38.66,35.0,51.85
Sample 7/29,GOY005,1707735,1707735,397079,1310656,100.000,1.303,14.6343,14.9341,86.29,82.34,79.59,77.26,75.07,0.0336,0.0261,0.0304,0.0269,39.18,37.0,48.65
Sample 8/29,JAE008,830259,830259,32665,797594,100.000,1.041,18.7445,12.9345,91.4,88.65,86.46,84.46,82.47,0.0257,0.0253,0.029,0.0272,82.46,76.0,47.95
Sample 9/29,JAE014,204292,204292,5463,198829,100.000,1.027,4.6308,5.5397,83.72,74.99,66.27,57.07,47.58,0.0378,0.0327,0.0439,0.0376,81.72,76.0,48.08
Sample 10/29,KNP001,24842,24842,6424,18418,100.000,1.349,0.2637,8.5816,7.89,2.03,0.91,0.61,0.48,0.0242,0.0237,0.0148,0.0177,50.24,45.0,50.8
Sample 11/29,KNP004,31686,31686,10073,21613,100.000,1.466,0.3441,11.4999,4.64,1.08,0.67,0.54,0.48,0.0221,0.016,0.017,0.018,55.87,50.0,49.17
Sample 12/29,KNP005,9606,9606,1317,8289,100.000,1.159,0.1215,5.0191,2.99,1,0.58,0.41,0.31,0.0244,0.0238,0.02,0.0209,51.4,45.0,51.41
