Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,233493,233493,30217,203276,100.000,1.149,2.27,6.0862,59.32,44.27,31.73,21.42,13.78,0.0244,0.0199,0.0233,0.0201,38.52,35.0,66.13
Sample 2/29,EBO003,560948,560948,88535,472413,100.000,1.187,5.5369,7.652,81.59,76.1,69.47,61.47,52.72,0.0191,0.017,0.02,0.0171,40.43,37.0,66.61
Sample 3/29,ECO002,232603,232603,28063,204540,100.000,1.137,2.302,3.7071,77.06,56.44,37.12,22.42,12.81,0.0337,0.0157,0.0328,0.0171,38.82,36.0,65.66
Sample 4/29,ECO004,823866,823866,155474,668392,100.000,1.233,7.3483,5.8032,91.29,87.15,81.93,75.51,68.08,0.0445,0.0171,0.045,0.0172,37.92,35.0,65.64
Sample 5/29,EMN001,1993494,1993494,289096,1704398,100.000,1.170,25.9405,23.9518,94.46,91.59,89.07,86.79,84.67,0.0354,0.0225,0.0348,0.0218,52.5,46.0,66.16
Sample 6/29,FUM002,244409,244409,37264,207145,100.000,1.180,2.4469,5.0147,67.32,49.84,36,25.13,16.97,0.0431,0.0227,0.0444,0.0233,40.74,37.0,66.11
Sample 7/29,GOY005,7193535,7193535,2125707,5067828,100.000,1.419,55.526,48.9234,95.71,93.37,91.31,89.31,87.39,0.0293,0.024,0.0287,0.0245,37.79,35.0,66.41
Sample 8/29,JAE008,2128751,2128751,135831,1992920,100.000,1.068,48.068,19.1887,98.49,98.15,97.87,97.62,97.4,0.0122,0.012,0.0154,0.0131,83.2,76.0,66.28
Sample 9/29,JAE014,1529106,1529106,87038,1442068,100.000,1.060,34.5345,17.0712,95.96,95.12,94.43,93.69,92.84,0.0198,0.0188,0.025,0.0221,82.6,76.0,66.37
Sample 10/29,KNP001,875220,875220,93146,782074,100.000,1.119,12.6088,17.1704,69.06,63.85,60.19,57.2,54.62,0.0179,0.017,0.0146,0.0167,55.61,51.0,66.75
Sample 11/29,KNP004,374295,374295,55758,318537,100.000,1.175,5.1667,16.2781,62.43,53.94,47.83,42.76,38.25,0.0173,0.0173,0.0147,0.0158,55.95,50.0,66.15
Sample 12/29,KNP005,34082,34082,2141,31941,100.000,1.067,0.4529,4.5654,21.49,6.06,2.09,1.11,0.8,0.0224,0.0221,0.0187,0.0182,48.91,42.0,64.15
Sample 13/29,KNP009,1034481,1034481,93223,941258,100.000,1.099,15.4972,18.596,71.22,66.21,62.8,60.02,57.58,0.0213,0.0189,0.0186,0.0186,56.79,52.0,66.44
Sample 14/29,LIB007.A0115,1,1,0,1,100.000,1.000,0,0.0031,0,0,0,0,0,0.0,0.0,0.0,0.0,34.0,34.0,58.82
Sample 15/29,LIB007.A0116,6,6,2,4,100.000,1.500,0,0.008,0,0,0,0,0,0.0,0.0,0.0,0.0,36.75,37.5,64.63
Sample 16/29,LIB007.A0135.SG1.1,12,12,4,8,100.000,1.500,0.0001,0.0096,0.01,0,0,0,0,0.0,0.0,0.0,0.0,39.5,32.0,56.33
Sample 17/29,LIB025.A0301,123,123,23,100,100.000,1.230,0.0013,0.0396,0.11,0.01,0,0,0,0.0345,0.0,0.0,0.0,43.23,40.0,63.38
Sample 18/29,LIB025.A1001,26,26,17,9,100.000,2.889,0.0001,0.0106,0.01,0,0,0,0,0.0,0.0,0.0,0.0,36.11,38.0,64.62
Sample 19/29,LIB025.A1301,52,52,33,19,100.000,2.737,0.0002,0.0147,0.02,0,0,0,0,0.0,0.0,0.0,0.0,39.16,35.0,63.31
Sample 20/29,MTM009,982344,982344,132051,850293,100.000,1.155,10.419,19.07,76.09,73.02,70.84,68.79,66.66,0.0208,0.0186,0.0215,0.0186,42.27,38.0,66.16
Sample 21/29,OAK002,2139705,2139705,378471,1761234,100.000,1.215,21.7828,21.9652,91.42,87.83,85.03,82.39,79.68,0.0351,0.0266,0.035,0.0262,42.66,38.0,66.11
Sample 22/29,OAK005,1422081,1422081,149088,1272993,100.000,1.117,18.2852,10.451,92.42,90.22,88.58,87.18,85.92,0.0195,0.014,0.02,0.014,49.54,43.0,66.7
Sample 23/29,OME002,191037,191037,24302,166735,100.000,1.146,2.3677,13.4634,29.52,16.5,12.06,10,8.74,0.0226,0.0205,0.0217,0.0207,48.98,41.0,63.58
Sample 24/29,OME003,178574,178574,23418,155156,100.000,1.151,2.2552,14.3447,16.16,12.63,10.56,9.09,8.03,0.0208,0.0269,0.0183,0.0266,50.14,43.0,62.96
Sample 25/29,OME005,512841,512841,98944,413897,100.000,1.239,6.4958,36.859,18.79,15.84,14.08,12.78,11.76,0.0206,0.0197,0.0188,0.0179,54.13,47.0,63.94
Sample 26/29,PES001,1380911,1380911,214612,1166299,100.000,1.184,18.2941,17.6231,90.34,85.56,81.31,77.34,73.54,0.0405,0.0208,0.0393,0.0198,54.1,48.0,66.82
Sample 27/29,TAF008,1326720,1326720,287096,1039624,100.000,1.276,13.7345,9.569,87.91,85.93,84.27,82.73,81.1,0.0291,0.0132,0.0301,0.0129,45.57,41.0,66.9
Sample 28/29,VLC004,1830009,1830009,52767,1777242,100.000,1.030,51.1528,27.6194,97.56,96.31,95.25,94.48,93.9,0.0444,0.0358,0.0413,0.0325,99.28,90.0,66.06
Sample 29/29,VLC009,2162805,2162805,73345,2089460,100.000,1.035,69.8677,36.9415,93.6,91,89.9,89.23,88.69,0.0246,0.0223,0.0228,0.0206,115.34,107.0,66.32
