Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,17464,17464,5222,12242,100.000,1.427,0.2245,5.8746,3.19,1.09,0.73,0.59,0.5,0.0309,0.028,0.0297,0.0282,37.93,35.0,58.63
Sample 2/29,EBO003,24566,24566,7300,17266,100.000,1.423,0.3245,7.4631,3.49,1.58,1.1,0.89,0.74,0.0306,0.0293,0.0357,0.0329,38.87,35.0,58.12
Sample 3/29,ECO002,14178,14178,4944,9234,100.000,1.535,0.164,4.2703,2.38,0.83,0.56,0.43,0.35,0.0609,0.0393,0.0661,0.0375,36.72,34.0,56.81
Sample 4/29,ECO004,12661,12661,4654,8007,100.000,1.581,0.1421,3.7893,2.19,0.7,0.45,0.36,0.29,0.078,0.0335,0.0669,0.0406,36.68,34.0,56.24
Sample 5/29,EMN001,21586,21586,7959,13627,100.000,1.584,0.2905,9.727,1.83,0.73,0.51,0.42,0.36,0.0438,0.0412,0.0529,0.0342,44.08,39.0,56.62
Sample 6/29,FUM002,6184,6184,1729,4455,100.000,1.388,0.0815,2.6839,0.93,0.41,0.31,0.26,0.21,0.0564,0.0271,0.067,0.046,37.84,35.0,57.83
Sample 7/29,GOY005,134748,134748,95196,39552,100.000,3.407,0.7445,17.978,6.2,2.69,1.63,1.18,0.96,0.0383,0.0333,0.0381,0.036,38.92,36.0,57.81
Sample 8/29,JAE008,11241,11241,1226,10015,100.000,1.122,0.3394,4.7964,8.76,4.43,2.59,1.61,1.12,0.0349,0.0307,0.0313,0.0318,70.06,75.0,56.73
Sample 9/29,JAE014,40012,40012,1720,38292,100.000,1.045,1.4869,4.7612,66.18,38.83,18.44,7.6,2.98,0.0244,0.0234,0.0318,0.0272,80.28,76.0,59.07
Sample 10/29,KNP001,36039,36039,11275,24764,100.000,1.455,0.5483,13.0125,6.9,3.53,2.2,1.52,1.11,0.0327,0.0298,0.025,0.03,45.78,40.0,57.39
Sample 11/29,KNP004,41906,41906,16036,25870,100.000,1.620,0.6057,17.442,4.01,1.73,1.12,0.83,0.67,0.0286,0.0332,0.0275,0.0285,48.42,42.0,56.64
Sample 12/29,KNP005,15169,15169,2745,12424,100.000,1.221,0.2754,8.0591,3.04,1.14,0.68,0.51,0.41,0.0288,0.035,0.0292,0.0286,45.84,40.0,56.53
Sample 13/29,KNP009,22053,22053,5768,16285,100.000,1.354,0.3777,10.3838,4.63,1.85,1.08,0.75,0.56,0.0314,0.0406,0.0291,0.0362,47.95,43.0,56.59
Sample 14/29,LIB007.A0115,1,1,0,1,100.000,1.000,0,0.0041,0,0,0,0,0,0.0,0.0,0.0,0.0,34.0,34.0,58.82
Sample 15/29,LIB007.A0116,4,4,2,2,100.000,2.000,0,0.0085,0,0,0,0,0,0.0,0.0,0.0,0.0,37.5,37.5,64
Sample 16/29,LIB007.A0135.SG1.1,5,5,3,2,100.000,2.500,0,0.0059,0,0,0,0,0,0.0,0.0,0.0,0.0,36.0,36.0,59.72
Sample 17/29,LIB025.A0301,38,38,6,32,100.000,1.188,0.0007,0.0341,0.05,0.01,0.01,0,0,0.0,0.0,0.0,0.0,42.34,40.5,57.61
Sample 18/29,LIB025.A1001,16,16,8,8,100.000,2.000,0.0001,0.0128,0.01,0,0,0,0,0.0,0.0,0.0,0.2,35.13,35.0,55.16
Sample 19/29,LIB025.A1301,25,25,16,9,100.000,2.778,0.0001,0.0118,0.01,0,0,0,0,0.5,0.0,0.0,0.0,32.22,31.0,60.34
Sample 20/29,MTM009,70092,70092,39614,30478,100.000,2.300,0.6096,16.5469,6.34,2.43,1.37,0.95,0.77,0.0277,0.0258,0.03,0.0307,41.36,37.0,57.84
Sample 21/29,OAK002,35065,35065,17623,17442,100.000,2.010,0.3272,9.3186,3.46,1.19,0.69,0.53,0.45,0.043,0.0379,0.0486,0.04,38.78,35.0,56.84
Sample 22/29,OAK005,10205,10205,1705,8500,100.000,1.201,0.1647,3.5063,4.77,1.6,0.78,0.49,0.35,0.0302,0.0349,0.0312,0.033,40.07,36.0,58.4
Sample 23/29,OME002,79404,79404,12218,67186,100.000,1.182,1.8104,12.7186,44.77,29.03,19.67,13.27,8.87,0.0253,0.0234,0.0226,0.0219,55.71,49.0,56.43
Sample 24/29,OME003,69087,69087,12270,56817,100.000,1.216,1.558,13.5127,39.56,23.14,14.27,9.01,5.9,0.0235,0.0284,0.0172,0.0264,56.69,51.0,55.59
Sample 25/29,OME005,101235,101235,26092,75143,100.000,1.347,2.3305,17.8142,44.56,31.69,23.91,18.27,13.82,0.0249,0.0253,0.0225,0.0226,64.12,70.0,57.08
Sample 26/29,PES001,9328,9328,2725,6603,100.000,1.413,0.1412,4.871,1.44,0.49,0.34,0.27,0.23,0.0529,0.0447,0.0637,0.0399,44.22,39.0,56.9
Sample 27/29,TAF008,16734,16734,5342,11392,100.000,1.469,0.2079,4.2567,5.09,1.74,0.94,0.64,0.49,0.0422,0.0409,0.0497,0.0349,37.73,35.0,58.52
Sample 28/29,VLC004,10924,10924,410,10514,100.000,1.039,0.3811,3.9035,10.32,5.2,3.37,2.32,1.63,0.0593,0.0506,0.0533,0.0476,74.93,63.0,56.06
Sample 29/29,VLC009,45386,45386,1517,43869,100.000,1.035,2.3418,3.661,78.95,58.96,38.04,21.59,11.17,0.0264,0.0248,0.0284,0.0256,110.37,101.0,58.28
