Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,13409,13409,2265,11144,100.000,1.203,0.2002,4.528,1.01,0.65,0.54,0.48,0.43,0.0316,0.0266,0.0343,0.0297,39.47,37.0,55.62
Sample 2/29,EBO003,15581,15581,2725,12856,100.000,1.212,0.2404,5.4105,1.07,0.64,0.51,0.45,0.41,0.0371,0.0369,0.0396,0.0365,41.07,37.0,56.25
Sample 3/29,ECO002,273505,273505,43382,230123,100.000,1.189,4.1411,11.3378,48.26,29.29,21.73,18.21,16.14,0.0634,0.04,0.0602,0.0391,39.53,37.0,44.98
Sample 4/29,ECO004,888147,888147,186342,701805,100.000,1.266,12.6134,12.0888,88.05,84.45,80.96,77.27,73.39,0.0664,0.0367,0.0687,0.0379,39.48,37.0,40.67
Sample 5/29,EMN001,190760,190760,27244,163516,100.000,1.167,4.1268,15.7269,30.86,23.39,20.12,17.81,16.05,0.0394,0.0313,0.038,0.0289,55.44,50.0,47.44
Sample 6/29,FUM002,29252,29252,3841,25411,100.000,1.151,0.4828,2.8058,15.72,8.6,5.24,3.36,2.23,0.0564,0.0366,0.0541,0.0385,41.74,37.0,47.85
Sample 7/29,GOY005,1460382,1460382,477203,983179,100.000,1.485,18.5771,50.4211,63.1,48.06,38.84,33.22,29.86,0.0376,0.0327,0.036,0.0324,41.51,38.0,46.76
Sample 8/29,JAE008,417995,417995,19930,398065,100.000,1.050,14.6229,17.3509,84.99,80.25,76.55,73.39,70.42,0.0243,0.0245,0.0262,0.0252,80.69,76.0,42.73
Sample 9/29,JAE014,160015,160015,7503,152512,100.000,1.049,5.4774,11.3647,78.2,63.5,50.73,39.9,31.24,0.0286,0.0267,0.0285,0.0276,78.89,76.0,44.55
Sample 10/29,KNP001,30796,30796,6389,24407,100.000,1.262,0.526,11.8357,2.91,1.12,0.83,0.67,0.59,0.0263,0.03,0.0217,0.0273,47.35,43.0,54.78
Sample 11/29,KNP004,43348,43348,10060,33288,100.000,1.302,0.7922,16.045,7.45,2.1,1.49,1.25,1.09,0.0252,0.0237,0.0211,0.0225,52.28,47.0,53.65
Sample 12/29,KNP005,13295,13295,1202,12093,100.000,1.099,0.2582,5.7847,2.37,0.79,0.56,0.46,0.4,0.0292,0.0372,0.0294,0.026,46.9,42.0,54.19
