Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,1600906,1600906,223380,1377526,100.000,1.162,17.6273,19.0331,70.8,67.62,65.32,63.39,61.65,0.0254,0.0257,0.0259,0.0255,43.58,40.0,49.25
Sample 2/29,EBO003,204960,204960,31721,173239,100.000,1.183,2.1365,4.519,58.6,45.91,34.31,24.07,15.76,0.0275,0.0263,0.0271,0.027,42.0,38.0,49.14
Sample 3/29,ECO002,77739,77739,9374,68365,100.000,1.137,0.7537,2.3263,43.31,17.04,6.51,2.71,1.24,0.055,0.0241,0.0518,0.0225,37.54,35.0,47.8
Sample 4/29,ECO004,38202,38202,7379,30823,100.000,1.239,0.331,2.0534,23.21,4.85,1.16,0.4,0.2,0.0487,0.0233,0.0442,0.025,36.57,34.0,47.09
Sample 5/29,EMN001,25866,25866,5522,20344,100.000,1.271,0.2913,6.1002,13.28,2.79,0.97,0.59,0.46,0.04,0.0264,0.0439,0.0277,48.75,43.0,52.08
Sample 6/29,FUM002,6274,6274,1146,5128,100.000,1.223,0.0576,1.6563,3.04,0.26,0.1,0.07,0.06,0.056,0.034,0.0584,0.0216,38.25,35.0,52.78
Sample 7/29,GOY005,268912,268912,92204,176708,100.000,1.522,2.0478,12.5947,52.26,37.92,26.99,18.48,12.33,0.0344,0.0263,0.0332,0.0281,39.46,37.0,51.46
Sample 8/29,JAE008,244114,244114,7303,236811,100.000,1.031,5.6893,6.9739,90.54,82.83,72.39,61.09,50.51,0.0136,0.0135,0.0137,0.0154,81.82,76.0,49.01
Sample 9/29,JAE014,402920,402920,12039,390881,100.000,1.031,9.4294,7.9975,93.13,90.49,87.65,84.26,80,0.0303,0.0256,0.0375,0.029,82.15,76.0,48.93
Sample 10/29,KNP001,496258,496258,53061,443197,100.000,1.120,7.5853,15.1941,66.07,59.51,55.02,51.42,48.2,0.0214,0.0217,0.017,0.0202,58.28,54.0,48.16
Sample 11/29,KNP004,1134449,1134449,158084,976365,100.000,1.162,18.5212,26.2948,68.62,64.27,61.36,59.09,57.16,0.02,0.0208,0.0181,0.0191,64.6,62.0,47.65
Sample 12/29,KNP005,583870,583870,19570,564300,100.000,1.035,10.639,12.488,72.42,66.84,62.8,59.47,56.47,0.025,0.0233,0.0188,0.0233,64.2,56.0,47.67
Sample 13/29,KNP009,1279719,1279719,121222,1158497,100.000,1.105,21.3388,24.4316,75.02,70.63,67.62,65.1,62.9,0.025,0.0249,0.0203,0.0242,62.72,60.0,47.17
Sample 14/29,LIB007.A0115,1,1,0,1,100.000,1.000,0,0.0033,0,0,0,0,0,0.0,0.0,0.0,0.0,36.0,36.0,52.78
Sample 15/29,LIB007.A0116,0,0,0,NF,NaN,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
Sample 16/29,LIB007.A0135.SG1.1,5,5,2,3,100.000,1.667,0,0.0063,0,0,0,0,0,0.0,0.0,0.0,0.0,45.33,46.0,59.56
Sample 17/29,LIB025.A0301,60,60,10,50,100.000,1.200,0.0008,0.0354,0.06,0.01,0,0,0,0.0,0.0,0.0,0.0,51.56,43.0,54.19
Sample 18/29,LIB025.A1001,21,21,10,11,100.000,1.909,0.0001,0.0145,0.01,0,0,0,0,0.0,0.0,0.0,0.0,46.0,38.0,56.13
Sample 19/29,LIB025.A1301,12,12,4,8,100.000,1.500,0.0001,0.0094,0.01,0,0,0,0,0.0,0.0,0.0,0.0,37.75,32.0,61.26
Sample 20/29,MTM009,2700629,2700629,366962,2333667,100.000,1.157,34.1842,36.1703,73.35,70.37,68.38,66.73,65.31,0.0269,0.0259,0.0267,0.0252,49.88,44.0,48.67
Sample 21/29,OAK002,30988,30988,10935,20053,100.000,1.545,0.2286,5.7468,9.94,1.16,0.32,0.22,0.18,0.0379,0.0262,0.038,0.0248,38.83,36.0,52.42
Sample 22/29,OAK005,160350,160350,14927,145423,100.000,1.103,1.9114,2.723,70.98,47.43,28.89,16.63,9.34,0.0209,0.0164,0.0208,0.0169,44.76,40.0,49.55
Sample 23/29,OME002,19997,19997,3750,16247,100.000,1.231,0.2573,6.4321,2.52,1.83,1.55,1.36,1.18,0.0234,0.022,0.0252,0.0201,53.92,47.0,50.02
Sample 24/29,OME003,33586,33586,6450,27136,100.000,1.238,0.4821,7.8373,2.21,1.67,1.5,1.4,1.33,0.0192,0.0213,0.0165,0.0254,60.5,57.0,47.94
Sample 25/29,OME005,21008,21008,8425,12583,100.000,1.670,0.1882,9.7095,0.98,0.51,0.38,0.3,0.24,0.0221,0.0204,0.0238,0.0169,50.93,45.0,54.45
Sample 26/29,PES001,10789,10789,1998,8791,100.000,1.227,0.1169,2.8513,6.39,0.89,0.24,0.13,0.09,0.0468,0.0191,0.0464,0.0247,45.29,40.0,52.91
Sample 27/29,TAF008,179497,179497,35420,144077,100.000,1.246,1.7171,2.9361,66.37,42.34,25.22,14.49,8.09,0.0406,0.0227,0.0405,0.0228,40.59,37.0,48.82
Sample 28/29,VLC004,66833,66833,1806,65027,100.000,1.028,2.1328,3.882,75.59,53.9,32.99,17.55,8.64,0.0183,0.0164,0.0167,0.0136,111.7,104.0,49.17
Sample 29/29,VLC009,194451,194451,6351,188100,100.000,1.034,6.1137,4.3756,87.71,84.14,79.97,74.27,66.58,0.0132,0.0116,0.0126,0.0108,110.69,102.0,48.62
