Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,36667,36667,5406,31261,100.000,1.173,0.4518,3.6856,24.46,8.66,2.99,1.09,0.46,0.0305,0.029,0.0324,0.0295,39.63,36.0,52.9
Sample 2/29,EBO003,96777,96777,15572,81205,100.000,1.192,1.2008,4.4367,48.05,27.91,15.88,8.94,5,0.0282,0.0277,0.0293,0.028,40.55,37.0,52.06
Sample 3/29,ECO002,15654,15654,2895,12759,100.000,1.227,0.1719,2.1828,11.23,1.32,0.28,0.15,0.12,0.056,0.037,0.0592,0.0436,36.93,35.0,50.78
Sample 4/29,ECO004,110896,110896,20276,90620,100.000,1.224,1.2677,2.5593,55.49,31.12,17.13,9.16,4.79,0.0564,0.0378,0.06,0.0368,38.36,36.0,47.93
Sample 5/29,EMN001,28951,28951,5855,23096,100.000,1.254,0.4125,5.1612,23.44,4.94,1.02,0.33,0.2,0.042,0.0332,0.0417,0.033,48.97,43.0,51.41
Sample 6/29,FUM002,4598,4598,962,3636,100.000,1.265,0.0514,1.7717,1.91,0.17,0.11,0.09,0.08,0.0578,0.0279,0.0725,0.0442,38.78,35.0,54.74
Sample 7/29,GOY005,120854,120854,58713,62141,100.000,1.945,0.8913,11.11,40.14,15.82,5.64,2.02,0.8,0.0357,0.0349,0.0349,0.0336,39.33,37.0,52.44
Sample 8/29,JAE008,60434,60434,1682,58752,100.000,1.029,1.7123,2.9134,70.65,43.81,24.66,13.31,7,0.0203,0.019,0.0221,0.0226,79.92,76.0,50.11
Sample 9/29,JAE014,134611,134611,3631,130980,100.000,1.028,3.7284,5.2282,76.19,57.76,43.78,33.88,26.93,0.0307,0.0283,0.0372,0.0308,78.06,76.0,51.24
Sample 10/29,KNP001,97702,97702,12127,85575,100.000,1.142,1.6246,7.3245,41.94,27.49,19.98,15.12,11.5,0.0222,0.0239,0.0187,0.0233,52.06,46.0,51.86
Sample 11/29,KNP004,199646,199646,28271,171375,100.000,1.165,3.471,10.9658,46.77,36.16,29.93,25.48,22.09,0.0225,0.0234,0.019,0.0213,55.54,50.0,51.61
Sample 12/29,KNP005,102214,102214,3780,98434,100.000,1.038,1.9436,5.3774,44.21,30.2,22.92,18.05,14.46,0.024,0.0249,0.0194,0.0242,54.15,47.0,51.31
