mapping_type	genus	species	sample_number	sample_name	number_reads_after_clipmerge_prior_mapping	number_reads_mapped_prior_rmdup	number_duplicates_removed	number_reads_mapped_after_rmdup	percent_endogenous_dna	cluster_factor	mean_fold_coverage	std_dev_coverage	percent_coverage_morethan_1x	percent_coverage_morethan_2x	percent_coverage_morethan_3x	percent_coverage_morethan_4x	percent_coverage_morethan_5x	frequency_damage_1st_base_3prime	frequency_damage_2nd_base_3prime	frequency_damage_1st_base_5prime	frequency_damage_2nd_base_5prime	average_fragment_length	median_fragment_length	percent_gc_content	Env	Description	Host_General	Host_Genus	Host_Common	Age	Location	total_number_raw_reads_before_clipmerge	total_number_reads_after_clipmerge_prior_mapping	total_number_merged_reads	mean_percent_merged_reads	total_number_reads_not_attempted_to_map	total_number_reads_mapped_prior_rmdup	total_number_duplicates_removed	total_number_reads_mapped_after_rmdup	mean_percent_endogenous_dna	mean_cluster_factor	mean_mean_fold_coverage	mean_std_dev_coverage	mean_percent_coverage_morethan_1x	mean_percent_coverage_morethan_2x	mean_percent_coverage_morethan_3x	mean_percent_coverage_morethan_4x	mean_percent_coverage_morethan_5x	total_number_reads_on_mitochondrium	mean_average_coverage_on_mitochondrium	mean_ratio_mitochondrion_to_nuclear	mean_frequency_damage_1st_base_3prime	mean_frequency_damage_2nd_base_3prime	mean_frequency_damage_1st_base_5prime	mean_frequency_damage_2nd_base_5prime	mean_average_fragment_length	mean_median_fragment_length	mean_percent_gc_content	total_unmapped_reads
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	Sample 23/29	OME002	311460	311460	42296	269164	100	1.157	3.6289	17.1483	23.43	18.93	16.31	14.48	13.07	0.0208	0.018	0.0199	0.0183	47.61	41	66.98	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	Sample 24/29	OME003	204073	204073	27870	176203	100	1.158	2.5896	14.1502	20.51	15.97	13.4	11.64	10.34	0.0164	0.0201	0.0138	0.021	51.9	45	66.78	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Actinomyces	Actinomyces_dentalis_DSM_19115	Sample 25/29	OME005	216633	216633	40320	176313	100	1.229	2.6829	17.6072	18.7	14.32	11.92	10.34	9.15	0.0189	0.0185	0.0181	0.0171	53.74	47	66.6	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Campylobacter	Campylobacter_gracilis	Sample 23/29	OME002	16753	16753	2225	14528	100	1.153	0.3078	5.0561	10.12	2.08	0.92	0.66	0.55	0.0339	0.0353	0.0305	0.0296	48.34	41	51.82	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Campylobacter	Campylobacter_gracilis	Sample 24/29	OME003	23692	23692	3076	20616	100	1.149	0.4772	5.804	15.31	4.19	1.77	1.16	0.92	0.0281	0.0347	0.0234	0.0408	52.82	45	50.46	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Campylobacter	Campylobacter_gracilis	Sample 25/29	OME005	25934	25934	6087	19847	100	1.307	0.451	9.6707	9.2	1.92	0.87	0.66	0.58	0.0315	0.0319	0.0315	0.0269	51.85	45	53.47	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	Sample 23/29	OME002	127544	127544	16741	110803	100	1.151	2.6315	9.9048	66.48	55.12	42.4	29.82	19.23	0.0185	0.019	0.0222	0.018	63.35	60	42.7	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	Sample 24/29	OME003	102183	102183	14272	87911	100	1.162	2.1269	10.1404	62.2	47.87	33.41	20.93	11.87	0.0187	0.0187	0.0162	0.021	64.53	65	43.05	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260
initial_single_genome	Capnocytophaga	Capnocytophaga_gingivalis_ATCC_33624	Sample 25/29	OME005	121474	121474	28396	93078	100	1.305	2.3738	19.334	62.19	47.73	33.02	20.58	11.62	0.0207	0.0177	0.0185	0.0159	68.02	72	43.93	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446
initial_single_genome	Corynebacterium	Corynebacterium_matruchotii_ATCC_14266	Sample 23/29	OME002	36191	36191	9162	27029	100	1.339	0.464	13.7241	3.55	2.05	1.43	1.1	0.9	0.0247	0.0246	0.0277	0.0208	49.04	42	56.46	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557
