Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,44887,44887,3553,41334,100.000,1.086,0.0218,0.5562,0.85,0.21,0.14,0.11,0.09,0.024,0.0211,0.0281,0.0215,41.36,37.0,45.62
Sample 2/29,EBO003,18315,18315,1116,17199,100.000,1.065,0.0088,0.2399,0.44,0.1,0.06,0.05,0.04,0.0266,0.0251,0.0303,0.0327,39.96,36.0,49.81
Sample 3/29,ECO002,15050,15050,874,14176,100.000,1.062,0.0066,0.1715,0.41,0.07,0.04,0.03,0.02,0.0617,0.0331,0.0599,0.0365,36.71,34.0,46.81
Sample 4/29,ECO004,70794,70794,8238,62556,100.000,1.132,0.0297,0.2338,2.57,0.2,0.06,0.03,0.02,0.0462,0.0285,0.0493,0.029,37.28,35.0,39.17
Sample 5/29,EMN001,267165,267165,28065,239100,100.000,1.117,0.1606,0.8327,9.17,3.45,1.5,0.68,0.33,0.0425,0.0309,0.0412,0.0312,52.69,46.0,41.4
Sample 6/29,FUM002,9106,9106,682,8424,100.000,1.081,0.0041,0.1162,0.29,0.04,0.02,0.02,0.01,0.0462,0.0351,0.0594,0.0322,38.56,35.0,47.38
Sample 7/29,GOY005,1486152,1486152,240992,1245160,100.000,1.194,0.6253,2.8835,22.36,11.95,7.37,4.86,3.33,0.0415,0.0335,0.0393,0.0336,39.4,37.0,41.88
Sample 8/29,JAE008,2637037,2637037,76934,2560103,100.000,1.030,2.6919,6.2932,36.5,27.64,22.89,19.54,16.94,0.023,0.021,0.025,0.0228,82.5,76.0,41.42
Sample 9/29,JAE014,801201,801201,15025,786176,100.000,1.019,0.8228,2.1356,25.82,15.38,10.61,7.72,5.75,0.0288,0.026,0.0341,0.03,82.12,76.0,41.74
Sample 10/29,KNP001,66475,66475,3768,62707,100.000,1.060,0.0428,1.0228,2.01,0.38,0.17,0.12,0.1,0.0278,0.0239,0.0205,0.0216,53.59,48.0,45.64
Sample 11/29,KNP004,61312,61312,5187,56125,100.000,1.092,0.0393,1.3792,1.31,0.26,0.14,0.11,0.09,0.0243,0.0201,0.018,0.0187,54.98,49.0,48.29
Sample 12/29,KNP005,23871,23871,494,23377,100.000,1.021,0.0161,0.4823,0.61,0.15,0.1,0.08,0.07,0.0283,0.0221,0.022,0.028,53.91,47.0,46.71
Sample 13/29,KNP009,65585,65585,3238,62347,100.000,1.052,0.047,0.8314,2.38,0.55,0.22,0.13,0.1,0.0267,0.0299,0.024,0.0282,59.18,56.0,42.74
Sample 14/29,LIB007.A0115,17,17,7,10,100.000,1.700,0,0.0035,0,0,0,0,0,0.0,0.0,0.0,0.0,47.6,35.5,48
Sample 15/29,LIB007.A0116,17,17,7,10,100.000,1.700,0,0.0033,0,0,0,0,0,0.0,0.0,0.0,0.0,51.2,42.0,53.12
Sample 16/29,LIB007.A0135.SG1.1,28,28,15,13,100.000,2.154,0,0.0027,0,0,0,0,0,0.0,0.0,0.0,0.0,45.08,37.0,46.76
Sample 17/29,LIB025.A0301,121,121,13,108,100.000,1.120,0.0001,0.0082,0.01,0,0,0,0,0.0,0.0,0.0,0.0526,48.13,43.5,48.13
Sample 18/29,LIB025.A1001,128,128,44,84,100.000,1.524,0.0001,0.0086,0,0,0,0,0,0.0,0.0,0.0,0.0,51.86,45.5,44.03
Sample 19/29,LIB025.A1301,91,91,35,56,100.000,1.625,0,0.0091,0,0,0,0,0,0.0556,0.0,0.0,0.0,56.61,48.5,49.38
Sample 20/29,MTM009,76767,76767,7613,69154,100.000,1.110,0.0379,1.3908,1.04,0.22,0.15,0.13,0.11,0.0256,0.0264,0.0283,0.0241,43.04,38.0,49.92
Sample 21/29,OAK002,983624,983624,111744,871880,100.000,1.128,0.443,1.4254,19.33,10,5.62,3.21,1.89,0.037,0.0286,0.0373,0.0295,39.86,37.0,40.34
Sample 22/29,OAK005,45453,45453,2290,43163,100.000,1.053,0.0251,0.2285,2.13,0.18,0.06,0.04,0.03,0.0232,0.0155,0.0259,0.0186,45.71,41.0,41.77
Sample 23/29,OME002,356443,356443,33368,323075,100.000,1.103,0.2583,1.6277,8.11,4.86,3.24,2.14,1.41,0.0226,0.0213,0.0222,0.0191,62.74,59.0,42.43
Sample 24/29,OME003,286284,286284,26204,260080,100.000,1.101,0.2112,1.4314,6.64,4.34,2.92,1.91,1.24,0.0222,0.023,0.0182,0.025,63.72,64.0,43.41
Sample 25/29,OME005,421347,421347,54319,367028,100.000,1.148,0.3163,3.4008,6.75,4.04,2.59,1.72,1.23,0.022,0.0209,0.0198,0.0182,67.61,72.0,42.19
Sample 26/29,PES001,23910,23910,2190,21720,100.000,1.101,0.0135,0.3559,0.95,0.09,0.04,0.03,0.03,0.0356,0.0265,0.0423,0.0269,48.68,43.0,45.69
Sample 27/29,TAF008,29445,29445,3401,26044,100.000,1.131,0.0132,0.2081,1.02,0.1,0.05,0.03,0.02,0.0469,0.0316,0.0553,0.0256,39.81,37.0,43.74
Sample 28/29,VLC004,1165639,1165639,25090,1140549,100.000,1.022,1.4754,3.2912,35.68,24.6,18.52,14.43,11.38,0.0669,0.054,0.0617,0.0497,101.49,94.0,42.12
