Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,204425,204425,18357,186068,100.000,1.099,0.0207,0.4023,0.91,0.37,0.2,0.13,0.09,0.0226,0.0196,0.0212,0.019,36.09,34.0,64.81
Sample 2/29,EBO003,209749,209749,24469,185280,100.000,1.132,0.0208,0.4235,0.85,0.34,0.21,0.14,0.1,0.0206,0.0175,0.0226,0.0183,36.48,34.0,65.53
Sample 3/29,ECO002,91628,91628,7167,84461,100.000,1.085,0.0095,0.2052,0.56,0.17,0.08,0.04,0.03,0.0422,0.0222,0.0416,0.0249,36.56,33.0,63.47
Sample 4/29,ECO004,87060,87060,10332,76728,100.000,1.135,0.0093,0.1861,0.65,0.14,0.05,0.03,0.01,0.0331,0.0211,0.0339,0.022,39.5,34.0,62.53
Sample 5/29,EMN001,295975,295975,28816,267159,100.000,1.108,0.0348,0.7428,1.32,0.52,0.3,0.21,0.15,0.0295,0.0205,0.0289,0.0194,42.27,37.0,62.66
Sample 6/29,FUM002,159948,159948,18126,141822,100.000,1.128,0.0167,0.37,0.74,0.26,0.15,0.1,0.07,0.0311,0.0178,0.0306,0.0181,38.27,35.0,64.61
Sample 7/29,GOY005,3773561,3773561,712525,3061036,100.000,1.233,0.3605,3.056,5.84,3.34,2.54,2.1,1.81,0.0318,0.0261,0.0308,0.0272,38.19,35.0,60.47
Sample 8/29,JAE008,492455,492455,25101,467354,100.000,1.054,0.1157,2.3814,1.53,1.14,0.95,0.81,0.7,0.0239,0.0224,0.0269,0.0243,80.3,76.0,57.64
Sample 9/29,JAE014,342540,342540,10659,331881,100.000,1.032,0.0796,1.1923,1.82,1.3,0.96,0.71,0.55,0.0311,0.0291,0.0342,0.032,77.79,76.0,57.91
Sample 10/29,KNP001,227528,227528,17233,210295,100.000,1.082,0.0275,0.7454,0.87,0.42,0.27,0.19,0.14,0.0174,0.0183,0.0151,0.0172,42.34,37.0,62.68
