Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,408035,408035,71425,336610,100.000,1.212,4.9298,17.2635,61.16,49.61,39.58,30.84,23.73,0.0243,0.0223,0.0247,0.0231,39.96,37.0,63.65
Sample 2/29,EBO003,379786,379786,64569,315217,100.000,1.205,4.6432,10.9974,66.28,55.99,47.48,39.66,32.42,0.0233,0.022,0.0229,0.0228,40.19,37.0,64.16
Sample 3/29,ECO002,92233,92233,10179,82054,100.000,1.124,1.102,1.9291,48.13,26.12,13.69,7.3,4.21,0.045,0.0296,0.0459,0.0296,36.64,35.0,62.55
Sample 4/29,ECO004,29132,29132,4854,24278,100.000,1.200,0.317,0.888,20.43,5.94,2.32,1.1,0.63,0.0484,0.0272,0.0466,0.0298,35.62,34.0,61.55
Sample 5/29,EMN001,74469,74469,9829,64640,100.000,1.152,1.134,4.1658,42.28,24.19,13.23,7.26,4.35,0.0294,0.0257,0.0313,0.0236,47.86,42.0,63.08
Sample 6/29,FUM002,4273,4273,630,3643,100.000,1.173,0.0499,0.4803,3.38,0.46,0.22,0.15,0.12,0.0423,0.0261,0.0301,0.0309,37.35,34.0,63.88
Sample 7/29,GOY005,145311,145311,29947,115364,100.000,1.260,1.575,3.9799,48.46,31.95,20.51,12.96,8.31,0.0285,0.0257,0.0265,0.0255,37.25,35.0,64.5
Sample 8/29,JAE008,68320,68320,1561,66759,100.000,1.023,1.9771,2.911,67.79,47.85,29.39,16.43,8.95,0.0164,0.0166,0.019,0.0166,80.8,76.0,63.74
Sample 9/29,JAE014,384051,384051,13721,370330,100.000,1.037,10.9892,9.8995,85.45,82.86,80.19,77.34,73.99,0.0227,0.0216,0.0307,0.025,80.96,76.0,64.07
Sample 10/29,KNP001,1071350,1071350,122111,949239,100.000,1.129,19.4809,27.2183,69.42,65.25,62.38,60.04,58,0.0178,0.0186,0.0147,0.0176,55.99,50.0,64.8
Sample 11/29,KNP004,1455621,1455621,235009,1220612,100.000,1.193,27.8889,47.2631,69.65,65.86,63.31,61.26,59.54,0.0168,0.0176,0.0147,0.0164,62.34,59.0,64.58
Sample 12/29,KNP005,1035444,1035444,45075,990369,100.000,1.046,22.7295,31.5336,70.7,66.49,63.62,61.36,59.39,0.0213,0.0195,0.0156,0.0183,62.62,54.0,64.6
Sample 13/29,KNP009,938342,938342,103559,834783,100.000,1.124,18.6481,31.3798,68.57,63.9,60.88,58.38,56.25,0.0195,0.0203,0.0166,0.0196,60.95,58.0,64.06
Sample 14/29,LIB007.A0115,0,0,0,NF,NaN,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
Sample 15/29,LIB007.A0116,0,0,0,NF,NaN,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
Sample 16/29,LIB007.A0135.SG1.1,0,0,0,NF,NaN,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
Sample 17/29,LIB025.A0301,67,67,13,54,100.000,1.241,0.001,0.0314,0.1,0,0,0,0,0.1111,0.0,0.0526,0.0,50.0,42.0,65.78
Sample 18/29,LIB025.A1001,5,5,3,2,100.000,2.500,0,0.0048,0,0,0,0,0,0.0,0.0,0.0,0.0,31.5,31.5,68.25
Sample 19/29,LIB025.A1301,14,14,8,6,100.000,2.333,0.0001,0.0103,0.01,0,0,0,0,0.0,0.0,0.0,0.0,37.67,39.0,63.27
Sample 20/29,MTM009,1151181,1151181,178497,972684,100.000,1.184,16.2197,33.5295,70.94,66.73,63.37,60.45,57.84,0.0236,0.0229,0.0236,0.023,45.5,41.0,64.04
Sample 21/29,OAK002,11529,11529,1972,9557,100.000,1.206,0.1333,0.924,8.69,1.74,0.66,0.35,0.24,0.035,0.0274,0.0291,0.0218,38.06,35.0,63.97
Sample 22/29,OAK005,83384,83384,7909,75475,100.000,1.105,1.2088,2.7894,42.66,23.74,13.13,7.83,5.4,0.0249,0.0237,0.0226,0.0225,43.7,39.0,64.14
Sample 23/29,OME002,1210,1210,155,1055,100.000,1.147,0.0135,0.4525,0.42,0.19,0.11,0.09,0.06,0.0227,0.0194,0.0237,0.0221,34.85,33.0,62.77
Sample 24/29,OME003,871,871,99,772,100.000,1.128,0.0098,0.3497,0.35,0.15,0.08,0.06,0.05,0.0565,0.0242,0.0415,0.0272,34.79,33.0,61.32
Sample 25/29,OME005,1145,1145,211,934,100.000,1.226,0.0119,0.5747,0.37,0.16,0.1,0.07,0.06,0.0293,0.015,0.0258,0.0388,34.75,33.0,62.98
Sample 26/29,PES001,25228,25228,3405,21823,100.000,1.156,0.3434,1.2342,21.11,6.38,2.33,1.13,0.63,0.041,0.0242,0.0376,0.0293,42.93,38.0,63.85
Sample 27/29,TAF008,161263,161263,32620,128643,100.000,1.254,1.8905,3.0715,58.36,40.86,27.9,18.42,11.98,0.0421,0.0265,0.0423,0.0259,40.1,37.0,64.23
Sample 28/29,VLC004,3573,3573,89,3484,100.000,1.026,0.11,0.6738,6.15,1.71,0.97,0.65,0.44,0.0549,0.0351,0.0352,0.038,86.14,76.0,61.4
Sample 29/29,VLC009,53512,53512,1694,51818,100.000,1.033,2.0593,2.0427,72.2,53.64,35.29,20.75,11.23,0.0243,0.0222,0.023,0.0194,108.43,99.0,63.38
