Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,378556,378556,29755,348801,100.000,1.085,0.3204,1.4538,12.64,6.78,4.07,2.55,1.65,0.0312,0.0307,0.0298,0.0314,44.16,41.0,31.13
Sample 2/29,EBO003,71994,71994,8334,63660,100.000,1.131,0.0557,1.0195,3.57,0.65,0.21,0.12,0.08,0.0251,0.0244,0.0261,0.0242,42.08,38.0,37.51
Sample 3/29,ECO002,34216,34216,5773,28443,100.000,1.203,0.0222,0.8473,0.86,0.24,0.15,0.11,0.09,0.0558,0.039,0.0503,0.0355,37.59,35.0,43.24
Sample 4/29,ECO004,112650,112650,16502,96148,100.000,1.172,0.0767,0.8433,5.31,0.89,0.26,0.14,0.1,0.0504,0.0361,0.0566,0.0321,38.34,36.0,29.6
Sample 5/29,EMN001,148753,148753,16993,131760,100.000,1.129,0.1407,1.8592,7.92,2.41,0.88,0.39,0.21,0.0348,0.0265,0.0343,0.024,51.35,45.0,33.79
Sample 6/29,FUM002,13147,13147,1757,11390,100.000,1.154,0.0094,0.4408,0.39,0.1,0.07,0.05,0.04,0.0363,0.0281,0.0447,0.0269,39.56,36.0,45.89
Sample 7/29,GOY005,1617633,1617633,300264,1317369,100.000,1.228,1.1569,5.0554,23.81,16.34,12.22,9.52,7.6,0.0365,0.0283,0.0329,0.0287,42.22,39.0,30.94
Sample 8/29,JAE008,409573,409573,8604,400969,100.000,1.021,0.6862,2.3797,19.04,12.55,9.02,6.65,4.94,0.0185,0.017,0.0197,0.0178,82.27,76.0,32.38
Sample 9/29,JAE014,173445,173445,4108,169337,100.000,1.024,0.2854,1.6301,10.33,4.93,3.09,2.17,1.61,0.0289,0.0235,0.032,0.0265,81.03,76.0,33.98
Sample 10/29,KNP001,418274,418274,36790,381484,100.000,1.096,0.4924,3.6227,11.96,7.41,5.28,3.97,3.09,0.0246,0.0274,0.0203,0.0256,62.06,60.0,31.57
Sample 11/29,KNP004,638768,638768,74222,564546,100.000,1.131,0.7993,4.8207,13.52,9.27,7.17,5.81,4.85,0.0229,0.0278,0.018,0.0259,68.07,71.0,30.93
Sample 12/29,KNP005,105816,105816,4078,101738,100.000,1.040,0.1348,2.0062,5.97,2.25,1.08,0.59,0.36,0.0274,0.0315,0.021,0.0254,63.7,59.0,33.7
Sample 13/29,KNP009,553506,553506,39335,514171,100.000,1.077,0.6986,3.7235,13.7,9.13,6.88,5.46,4.46,0.0268,0.0326,0.0217,0.0306,65.32,64.0,29.94
Sample 14/29,LIB007.A0115,3,3,0,3,100.000,1.000,0,0.0015,0,0,0,0,0,0.0,0.0,0.0,0.0,36.67,36.0,55.45
Sample 15/29,LIB007.A0116,0,0,0,NF,NaN,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF
Sample 16/29,LIB007.A0135.SG1.1,11,11,5,6,100.000,1.833,0,0.0022,0,0,0,0,0,0.0,0.0,0.0,0.0,39.5,31.0,46.41
Sample 17/29,LIB025.A0301,71,71,4,67,100.000,1.060,0.0001,0.0083,0.01,0,0,0,0,0.0,0.0,0.0,0.0,45.52,41.0,47.79
Sample 18/29,LIB025.A1001,41,41,18,23,100.000,1.783,0,0.0047,0,0,0,0,0,0.0,0.0,0.0,0.0,45.65,35.0,47.43
Sample 19/29,LIB025.A1301,44,44,19,25,100.000,1.760,0,0.0057,0,0,0,0,0,0.0,0.0,0.0,0.0,51.88,38.0,38.32
Sample 20/29,MTM009,352150,352150,40351,311799,100.000,1.129,0.3165,3.0448,11.68,5.8,3.32,2.03,1.32,0.0276,0.0307,0.028,0.0274,48.8,44.0,34.45
Sample 21/29,OAK002,331833,331833,39837,291996,100.000,1.136,0.2432,1.8514,11.57,5.16,2.57,1.35,0.75,0.0342,0.0288,0.0339,0.0283,40.04,37.0,30.83
Sample 22/29,OAK005,187594,187594,12979,174615,100.000,1.074,0.1727,0.8347,11.06,3.53,1.23,0.48,0.22,0.0244,0.0238,0.0248,0.0225,47.54,43.0,29.86
Sample 23/29,OME002,139516,139516,11522,127994,100.000,1.090,0.1419,1.8134,5.31,2.4,1.42,0.94,0.67,0.0217,0.0243,0.0229,0.0251,53.31,48.0,34.5
Sample 24/29,OME003,222422,222422,17634,204788,100.000,1.086,0.2318,2.2505,7.25,3.56,2.27,1.62,1.22,0.0203,0.0282,0.0178,0.0286,54.42,48.0,34.03
Sample 25/29,OME005,229091,229091,30918,198173,100.000,1.156,0.263,3.2673,8.91,4.59,2.73,1.75,1.19,0.019,0.021,0.0168,0.0188,63.8,62.0,33.89
Sample 26/29,PES001,20679,20679,2897,17782,100.000,1.163,0.0175,0.9125,0.79,0.12,0.07,0.06,0.05,0.0337,0.0271,0.0313,0.0294,47.32,42.0,45.33
Sample 27/29,TAF008,31478,31478,6128,25350,100.000,1.242,0.0215,0.815,0.63,0.22,0.16,0.12,0.1,0.0452,0.0293,0.0429,0.0313,40.74,37.0,44.38
