Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,619208,619208,70076,549132,100.000,1.128,0.2959,2.0615,5.87,3.87,2.84,2.21,1.8,0.0247,0.0213,0.0254,0.0222,40.63,37.0,64.57
Sample 2/29,EBO003,1905320,1905320,314510,1590810,100.000,1.198,0.9463,6.3686,8.28,6.32,5.27,4.6,4.11,0.0235,0.0201,0.0234,0.0203,44.86,39.0,64.36
Sample 3/29,ECO002,729242,729242,84112,645130,100.000,1.130,0.3288,1.8092,5.88,4.17,3.53,3.13,2.77,0.0406,0.0206,0.0407,0.0207,38.43,36.0,61.97
Sample 4/29,ECO004,382618,382618,64815,317803,100.000,1.204,0.1597,0.7828,6.04,4.04,2.57,1.5,0.83,0.0341,0.016,0.0372,0.0162,37.9,35.0,62.28
Sample 5/29,EMN001,92315,92315,9296,83019,100.000,1.112,0.0528,0.8356,2.18,0.93,0.45,0.25,0.16,0.035,0.0273,0.0386,0.0252,48.0,40.0,62.3
Sample 6/29,FUM002,127088,127088,16994,110094,100.000,1.154,0.0633,0.54,2.61,1.51,0.9,0.51,0.28,0.043,0.0241,0.0421,0.024,43.34,39.0,63.15
Sample 7/29,GOY005,800517,800517,159374,641143,100.000,1.249,0.3332,3.513,5.08,3.56,2.9,2.46,2.11,0.029,0.0259,0.0294,0.0267,39.19,36.0,63.04
Sample 8/29,JAE008,207815,207815,4515,203300,100.000,1.022,0.2206,1.0855,6.22,4.61,3.46,2.56,1.85,0.0121,0.0129,0.0137,0.0117,81.82,76.0,62.51
Sample 9/29,JAE014,2231804,2231804,134252,2097552,100.000,1.064,2.3047,9.3713,8.81,6.96,6.56,6.41,6.31,0.0136,0.0127,0.0177,0.0145,82.85,76.0,63.37
Sample 10/29,KNP001,759781,759781,69567,690214,100.000,1.101,0.5102,3.0907,6.53,4.81,4.05,3.57,3.22,0.0199,0.0209,0.0166,0.0201,55.74,50.0,64.01
Sample 11/29,KNP004,2624539,2624539,419331,2205208,100.000,1.190,1.7469,12.8342,7.62,6,5.29,4.84,4.52,0.0182,0.0174,0.0167,0.0165,59.74,55.0,64.12
Sample 12/29,KNP005,456064,456064,13200,442864,100.000,1.030,0.3512,2.2886,6.05,4.24,3.47,2.96,2.56,0.0237,0.0206,0.0191,0.0193,59.8,51.0,63.97
Sample 13/29,KNP009,723292,723292,61403,661889,100.000,1.093,0.5102,3.83,6.12,4.51,3.75,3.22,2.78,0.0214,0.0207,0.0196,0.021,58.12,54.0,63.64
Sample 14/29,LIB007.A0115,438,438,376,62,100.000,7.065,0,0.0179,0,0,0,0,0,0.0,0.1,0.0,0.0714,32.03,32.0,53.44
Sample 15/29,LIB007.A0116,886,886,835,51,100.000,17.373,0,0.0165,0,0,0,0,0,0.0,0.0,0.1,0.0,32.49,32.0,53.45
Sample 16/29,LIB007.A0135.SG1.1,787,787,744,43,100.000,18.302,0,0.0118,0,0,0,0,0,0.0,0.0,0.1111,0.0,33.23,31.0,55.48
Sample 17/29,LIB025.A0301,275,275,42,233,100.000,1.180,0.0001,0.0129,0.01,0,0,0,0,0.0484,0.0161,0.0723,0.0417,46.16,41.0,63.82
Sample 18/29,LIB025.A1001,135,135,72,63,100.000,2.143,0,0.007,0,0,0,0,0,0.0,0.0,0.0625,0.2308,40.65,34.0,65.36
Sample 19/29,LIB025.A1301,86,86,35,51,100.000,1.686,0,0.0053,0,0,0,0,0,0.0,0.0,0.0,0.0,36.29,34.0,63.47
Sample 20/29,MTM009,423289,423289,41179,382110,100.000,1.108,0.2224,1.8711,5.2,3.39,2.59,2.06,1.63,0.0269,0.0252,0.0281,0.0245,43.89,38.0,64.14
Sample 21/29,OAK002,522307,522307,75912,446395,100.000,1.170,0.2794,1.6546,5.47,3.5,3.04,2.79,2.55,0.0179,0.0132,0.0183,0.0134,47.19,41.0,63.93
Sample 22/29,OAK005,2468802,2468802,296984,2171818,100.000,1.137,1.7825,10.1177,4.92,4.28,4.06,3.94,3.86,0.0199,0.0169,0.0198,0.0166,61.89,57.0,62.31
Sample 23/29,OME002,53885,53885,3087,50798,100.000,1.061,0.0291,0.6604,1.02,0.42,0.25,0.17,0.13,0.0293,0.0265,0.0287,0.0244,43.26,37.0,61.21
Sample 24/29,OME003,47275,47275,2710,44565,100.000,1.061,0.0266,0.6792,0.92,0.37,0.21,0.15,0.11,0.029,0.0349,0.0238,0.0349,45.0,39.0,60.19
Sample 25/29,OME005,50697,50697,5177,45520,100.000,1.114,0.0279,1.1686,0.55,0.22,0.14,0.11,0.09,0.0384,0.0318,0.0326,0.0291,46.29,40.0,58.15
Sample 26/29,PES001,360815,360815,49273,311542,100.000,1.158,0.2134,1.4937,3.53,2.69,2.29,2.01,1.78,0.0368,0.0232,0.036,0.024,51.65,46.0,62.9
Sample 27/29,TAF008,3968993,3968993,958754,3010239,100.000,1.318,1.7558,10.4856,5.71,4.62,4.28,4.09,3.97,0.0381,0.0195,0.0387,0.0192,43.98,40.0,63.06
Sample 28/29,VLC004,859223,859223,22230,836993,100.000,1.027,1.1821,5.249,9.72,9.04,8.26,7.28,6.23,0.0338,0.029,0.0314,0.0271,106.5,97.0,62.3
Sample 29/29,VLC009,233146,233146,7249,225897,100.000,1.032,0.3301,2.0063,5.1,3.74,3.15,2.76,2.42,0.0234,0.0234,0.0217,0.0208,110.18,101.0,62.08
