Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,28153,28153,2913,25240,100.000,1.115,0.0749,1.3774,3.42,0.7,0.35,0.25,0.19,0.0248,0.0211,0.0257,0.0234,38.0,35.0,61.14
Sample 2/29,EBO003,17050,17050,2478,14572,100.000,1.170,0.0426,1.4992,0.73,0.35,0.23,0.17,0.14,0.0306,0.0257,0.0306,0.029,37.43,34.0,59.85
Sample 3/29,ECO002,17246,17246,1989,15257,100.000,1.130,0.0426,0.9011,1.68,0.55,0.29,0.18,0.13,0.068,0.033,0.0642,0.0347,35.78,34.0,58.87
Sample 4/29,ECO004,206386,206386,26168,180218,100.000,1.145,0.5381,1.59,26.59,13.82,6.33,2.7,1.14,0.0276,0.0125,0.031,0.0132,38.23,35.0,61.57
Sample 5/29,EMN001,127021,127021,16425,110596,100.000,1.149,0.433,6.9165,3.36,2.29,1.79,1.5,1.3,0.0424,0.0307,0.0406,0.0288,50.14,42.0,57.71
Sample 6/29,FUM002,11118,11118,1141,9977,100.000,1.114,0.0293,0.6411,1.11,0.43,0.24,0.15,0.11,0.0565,0.0399,0.0586,0.0418,37.6,35.0,59.29
Sample 7/29,GOY005,923128,923128,291706,631422,100.000,1.462,1.9697,19.6819,11.25,5.55,4.37,3.88,3.57,0.0316,0.0298,0.0311,0.0299,39.95,36.0,60.35
Sample 8/29,JAE008,10497409,10497409,1747269,8750140,100.000,1.200,57.8355,84.5192,41.44,41.03,40.78,40.57,40.38,0.0218,0.0197,0.0272,0.0229,84.64,76.0,64.12
Sample 9/29,JAE014,587624,587624,18442,569182,100.000,1.032,3.6401,6.9527,38.62,36.1,33.81,31.49,29.06,0.022,0.0203,0.0296,0.0237,81.89,76.0,64.26
Sample 10/29,KNP001,849180,849180,64870,784310,100.000,1.083,3.4608,8.1943,32.34,26.8,23.71,21.65,20.05,0.0125,0.0126,0.0099,0.0118,56.5,51.0,66.2
Sample 11/29,KNP004,252918,252918,24924,227994,100.000,1.109,1.0559,4.1057,23.42,17.86,14.3,11.42,8.96,0.013,0.0121,0.0117,0.0123,59.3,54.0,65.8
Sample 12/29,KNP005,382208,382208,9987,372221,100.000,1.027,1.6601,4.5845,23.87,20.19,17.57,15.41,13.52,0.0153,0.0143,0.0121,0.0134,57.11,49.0,65.49
Sample 13/29,KNP009,135336,135336,8533,126803,100.000,1.067,0.5638,2.5146,18.75,12.47,8.31,5.35,3.3,0.0175,0.0151,0.014,0.0146,56.93,52.0,65.14
Sample 14/29,LIB007.A0115,40,40,2,38,100.000,1.053,0.0001,0.0127,0.01,0,0,0,0,0.0,0.1111,0.0,0.0,42.95,39.0,52.08
Sample 15/29,LIB007.A0116,23,23,6,17,100.000,1.353,0.0001,0.0078,0.01,0,0,0,0,0.0,0.0,0.0,0.0,41.88,38.0,57.16
Sample 16/29,LIB007.A0135.SG1.1,102,102,34,68,100.000,1.500,0.0002,0.0168,0.02,0,0,0,0,0.0,0.0,0.0,0.0,45.26,41.0,56.97
Sample 17/29,LIB025.A0301,279,279,31,248,100.000,1.125,0.0009,0.034,0.08,0.01,0,0,0,0.0154,0.05,0.0,0.0,46.14,42.0,58.55
