Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,165979,165979,18253,147726,100.000,1.124,0.0157,0.5404,0.7,0.19,0.1,0.07,0.06,0.0301,0.0271,0.0294,0.0264,39.63,36.0,50.48
Sample 2/29,EBO003,117303,117303,16086,101217,100.000,1.159,0.0108,0.5244,0.48,0.15,0.08,0.06,0.04,0.0303,0.0246,0.0278,0.0271,39.65,36.0,51.25
Sample 3/29,ECO002,43597,43597,6410,37187,100.000,1.172,0.0036,0.3045,0.24,0.03,0.01,0.01,0,0.0522,0.0287,0.0475,0.0314,36.45,34.0,50.66
Sample 4/29,ECO004,62840,62840,10066,52774,100.000,1.191,0.0053,0.2774,0.41,0.04,0.01,0.01,0,0.0496,0.0267,0.048,0.029,37.36,34.0,47.63
Sample 5/29,EMN001,115722,115722,18696,97026,100.000,1.193,0.012,1.0566,0.69,0.15,0.04,0.02,0.02,0.0324,0.0256,0.0308,0.024,45.96,40.0,50.81
Sample 6/29,FUM002,23463,23463,4932,18531,100.000,1.266,0.0019,0.4114,0.08,0.01,0.01,0,0,0.0389,0.0272,0.0481,0.0293,39.08,35.0,55.33
Sample 7/29,GOY005,2411750,2411750,479809,1931941,100.000,1.248,0.2032,2.3764,3.61,2.17,1.69,1.44,1.27,0.0308,0.0238,0.0287,0.0247,39.11,37.0,49.12
Sample 8/29,JAE008,1374546,1374546,38911,1335635,100.000,1.029,0.2964,2.1532,5.14,3.32,2.53,2.05,1.73,0.0229,0.0228,0.0272,0.0248,82.54,76.0,47.43
Sample 9/29,JAE014,505147,505147,12014,493133,100.000,1.024,0.1082,1.0471,3.95,1.97,1.27,0.88,0.62,0.0333,0.0284,0.0402,0.0338,81.64,76.0,47.88
Sample 10/29,KNP001,331216,331216,32873,298343,100.000,1.110,0.0434,1.3377,1.49,0.48,0.28,0.2,0.16,0.0223,0.0215,0.0183,0.0205,54.12,48.0,48.38
Sample 11/29,KNP004,584901,584901,75024,509877,100.000,1.147,0.0816,2.3642,1.69,0.69,0.43,0.32,0.26,0.0206,0.0208,0.0178,0.0188,59.54,55.0,47.29
Sample 12/29,KNP005,200999,200999,6206,194793,100.000,1.032,0.0301,0.7401,1.15,0.4,0.23,0.16,0.12,0.0253,0.0241,0.0192,0.0235,57.55,50.0,48.06
Sample 13/29,KNP009,505131,505131,36034,469097,100.000,1.077,0.0761,1.2621,2.53,1.17,0.72,0.49,0.34,0.022,0.0223,0.0182,0.022,60.32,57.0,47.4
Sample 14/29,LIB007.A0115,9,9,0,9,100.000,1.000,0,0.0012,0,0,0,0,0,0.0,0.0,0.0,0.0,57.11,43.0,57.31
Sample 15/29,LIB007.A0116,16,16,5,11,100.000,1.455,0,0.0013,0,0,0,0,0,0.5,0.0,0.0,0.0,48.82,37.0,49.16
Sample 16/29,LIB007.A0135.SG1.1,38,38,21,17,100.000,2.235,0,0.0018,0,0,0,0,0,0.0,0.0,0.0,0.0,45.65,35.0,54.38
Sample 17/29,LIB025.A0301,460,460,75,385,100.000,1.195,0.0001,0.0079,0.01,0,0,0,0,0.0187,0.0235,0.0217,0.0306,54.91,50.0,48.91
Sample 18/29,LIB025.A1001,260,260,125,135,100.000,1.926,0,0.0061,0,0,0,0,0,0.0,0.04,0.0,0.0278,62.37,72.0,48.05
Sample 19/29,LIB025.A1301,212,212,110,102,100.000,2.078,0,0.0048,0,0,0,0,0,0.0,0.0,0.0,0.0,60.72,56.5,48.41
Sample 20/29,MTM009,311571,311571,54178,257393,100.000,1.210,0.0306,1.5083,1.09,0.32,0.18,0.13,0.1,0.0284,0.0281,0.0298,0.0287,44.2,39.0,50.02
Sample 21/29,OAK002,112401,112401,25971,86430,100.000,1.300,0.0089,0.9411,0.44,0.07,0.03,0.02,0.02,0.0378,0.0292,0.0382,0.0289,38.1,35.0,52.88
Sample 22/29,OAK005,122710,122710,10239,112471,100.000,1.091,0.0132,0.356,1.08,0.13,0.03,0.01,0.01,0.0291,0.0221,0.0276,0.022,43.66,39.0,48.79
Sample 23/29,OME002,210207,210207,21122,189085,100.000,1.112,0.0303,0.9178,1.3,0.65,0.34,0.18,0.1,0.0174,0.0163,0.0174,0.0159,59.59,54.0,47
Sample 24/29,OME003,150090,150090,16406,133684,100.000,1.123,0.0207,0.8742,0.94,0.29,0.13,0.09,0.07,0.0227,0.0243,0.0186,0.0282,57.55,52.0,48.08
Sample 25/29,OME005,76669,76669,15588,61081,100.000,1.255,0.009,1.0256,0.29,0.1,0.06,0.04,0.02,0.023,0.0207,0.0209,0.0178,54.7,48.0,51.69
Sample 26/29,PES001,32976,32976,5613,27363,100.000,1.205,0.0033,0.5588,0.17,0.02,0.01,0.01,0,0.0392,0.0224,0.0369,0.0266,45.38,40.0,53.76
Sample 27/29,TAF008,99727,99727,17860,81867,100.000,1.218,0.0086,0.3697,0.66,0.07,0.02,0.01,0.01,0.0375,0.0239,0.0425,0.0247,39.23,36.0,50.15
Sample 28/29,VLC004,916813,916813,19947,896866,100.000,1.022,0.2695,1.3058,9.23,5.74,3.79,2.5,1.65,0.029,0.0232,0.0257,0.0214,111.75,104.0,48.36
Sample 29/29,VLC009,345644,345644,9225,336419,100.000,1.027,0.1039,0.9321,3.25,1.75,1.26,0.98,0.77,0.0427,0.0386,0.0401,0.0358,114.83,106.0,47.63
