Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,655036,655036,75499,579537,100.000,1.130,0.2764,1.9879,5.85,4.07,3.04,2.29,1.74,0.023,0.0181,0.0221,0.0187,40.08,36.0,66.72
Sample 2/29,EBO003,726219,726219,105407,620812,100.000,1.170,0.299,1.8917,6.32,4.06,3.48,3,2.54,0.0197,0.0173,0.0205,0.0174,40.47,36.0,66.04
Sample 3/29,ECO002,295216,295216,31057,264159,100.000,1.118,0.1245,0.8001,5.11,2.77,1.77,1.07,0.63,0.0334,0.0165,0.0329,0.0174,39.59,36.0,65.01
Sample 4/29,ECO004,941308,941308,162193,779115,100.000,1.208,0.3822,1.8428,10.58,4.51,3.58,3.2,2.85,0.0395,0.0156,0.0396,0.0158,41.22,36.0,64.6
Sample 5/29,EMN001,2187633,2187633,301901,1885732,100.000,1.160,1.1613,6.8503,6.99,4.92,4.47,4.19,3.99,0.0348,0.0223,0.0342,0.0216,51.74,45.0,65.9
Sample 6/29,FUM002,377809,377809,48837,328972,100.000,1.148,0.1736,1.1863,7.38,2.85,1.88,1.31,0.9,0.0346,0.0188,0.0355,0.019,44.33,38.0,64.85
Sample 7/29,GOY005,9684546,9684546,2317243,7367303,100.000,1.315,3.8157,14.9028,44.86,36.66,28.58,20.59,14.04,0.0243,0.019,0.0222,0.019,43.52,37.0,64.3
Sample 8/29,JAE008,2151524,2151524,138768,2012756,100.000,1.069,1.9886,10.3628,4.46,4.23,4.15,4.11,4.08,0.0123,0.012,0.0155,0.0132,83.02,76.0,66.24
Sample 9/29,JAE014,1554061,1554061,90078,1463983,100.000,1.062,1.4341,7.727,4.34,4.1,4,3.94,3.89,0.0198,0.0187,0.025,0.022,82.31,76.0,66.33
Sample 10/29,KNP001,987155,987155,99158,887997,100.000,1.112,0.5712,4.2101,4.23,3.38,3,2.75,2.57,0.0177,0.0169,0.0144,0.0167,54.05,48.0,66.49
Sample 11/29,KNP004,562325,562325,74807,487518,100.000,1.153,0.3009,3.5208,4.02,3.11,2.63,2.29,2.02,0.0163,0.0167,0.0141,0.0151,51.86,45.0,65.62
Sample 12/29,KNP005,78544,78544,2938,75606,100.000,1.039,0.0407,0.9711,1.84,0.64,0.31,0.2,0.14,0.0208,0.0203,0.0168,0.0176,45.18,39.0,64.16
Sample 13/29,KNP009,1101178,1101178,96226,1004952,100.000,1.096,0.6697,4.798,3.97,3.25,2.94,2.73,2.57,0.0212,0.0188,0.0184,0.0185,55.99,51.0,66.33
Sample 14/29,LIB007.A0115,2122,2122,2017,105,100.000,20.210,0.0001,0.0317,0,0,0,0,0,0.0,0.0,0.0,0.0,42.2,34.0,59.47
Sample 15/29,LIB007.A0116,155,155,39,116,100.000,1.336,0.0001,0.0144,0.01,0,0,0,0,0.0,0.0,0.0,0.0217,69.83,75.0,62.45
Sample 16/29,LIB007.A0135.SG1.1,492,492,122,370,100.000,1.330,0.0003,0.0423,0.02,0,0,0,0,0.0072,0.0076,0.0171,0.01,64.11,66.0,64.77
Sample 17/29,LIB025.A0301,1424,1424,92,1332,100.000,1.069,0.0009,0.0298,0.08,0,0,0,0,0.0055,0.0,0.0026,0.0047,54.07,49.0,60.69
Sample 18/29,LIB025.A1001,2803,2803,803,2000,100.000,1.402,0.0016,0.1125,0.15,0,0,0,0,0.0147,0.0013,0.0017,0.0087,69.3,75.0,62.07
Sample 19/29,LIB025.A1301,2399,2399,521,1878,100.000,1.277,0.0016,0.0778,0.14,0.01,0,0,0,0.0,0.0,0.0,0.0,70.1,75.0,62.07
Sample 20/29,MTM009,6452540,6452540,867188,5585352,100.000,1.155,3.4636,18.6249,9.24,8.05,7.53,7.17,6.88,0.0196,0.0163,0.02,0.0157,52.1,46.0,68
Sample 21/29,OAK002,2318042,2318042,387701,1930341,100.000,1.201,0.9806,6.0139,7.69,4.65,4.16,3.89,3.68,0.0341,0.0258,0.0339,0.0254,42.68,38.0,65.8
Sample 22/29,OAK005,1483610,1483610,152960,1330650,100.000,1.115,0.7773,4.1759,4.86,4.18,3.94,3.8,3.69,0.0194,0.0139,0.0198,0.0139,49.08,43.0,66.69
Sample 23/29,OME002,275830,275830,28506,247324,100.000,1.115,0.1404,2.7078,2.76,1.31,0.91,0.72,0.6,0.0209,0.0192,0.0203,0.0186,47.72,40.0,63.04
Sample 24/29,OME003,239358,239358,26608,212750,100.000,1.125,0.125,2.8951,1.67,1,0.75,0.6,0.51,0.02,0.0251,0.0172,0.0256,49.37,42.0,62.26
Sample 25/29,OME005,615071,615071,109246,505825,100.000,1.216,0.3219,7.6755,2.14,1.27,1.01,0.86,0.75,0.0201,0.0191,0.0187,0.0175,53.47,46.0,63.38
Sample 26/29,PES001,1494849,1494849,224807,1270042,100.000,1.177,0.8167,5.0386,7.53,4.24,3.74,3.47,3.25,0.0386,0.02,0.0376,0.019,54.03,48.0,66.49
Sample 27/29,TAF008,1410387,1410387,297644,1112743,100.000,1.267,0.5986,3.3187,5.09,4.06,3.81,3.65,3.53,0.029,0.0132,0.0298,0.013,45.2,41.0,66.82
Sample 28/29,VLC004,1849487,1849487,53101,1796386,100.000,1.030,2.1136,11.562,4.67,4.21,4.05,3.97,3.92,0.0442,0.0358,0.0412,0.0324,98.86,89.0,66.04
Sample 29/29,VLC009,2176992,2176992,73766,2103226,100.000,1.035,2.8792,15.7555,4.25,3.92,3.81,3.74,3.7,0.0246,0.0223,0.0228,0.0206,115.02,106.0,66.31
