Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,51028,51028,3977,47051,100.000,1.085,0.0275,0.5039,1.3,0.31,0.18,0.13,0.1,0.0246,0.0233,0.0232,0.025,36.53,34.0,59.97
Sample 2/29,EBO003,74763,74763,7189,67574,100.000,1.106,0.0399,0.6453,1.54,0.54,0.33,0.24,0.18,0.0256,0.0257,0.0278,0.0272,36.98,34.0,59.31
Sample 3/29,ECO002,48932,48932,3894,45038,100.000,1.086,0.0258,0.4048,1.49,0.28,0.15,0.1,0.08,0.0569,0.03,0.0574,0.0316,35.81,34.0,57.02
Sample 4/29,ECO004,38744,38744,4277,34467,100.000,1.124,0.0197,0.3532,1.13,0.2,0.11,0.08,0.07,0.0575,0.0307,0.0533,0.0293,35.81,34.0,56.02
Sample 5/29,EMN001,52043,52043,3681,48362,100.000,1.076,0.0337,0.7983,1.28,0.32,0.18,0.13,0.11,0.037,0.0316,0.0423,0.0285,43.58,38.0,57.02
Sample 6/29,FUM002,17790,17790,1451,16339,100.000,1.089,0.0097,0.2397,0.49,0.13,0.08,0.06,0.04,0.0452,0.0278,0.0475,0.0277,37.07,34.0,58.78
Sample 7/29,GOY005,312736,312736,66222,246514,100.000,1.269,0.1457,3.0525,3.85,1.11,0.59,0.42,0.35,0.0326,0.0292,0.0341,0.0294,36.99,34.0,58.4
Sample 8/29,JAE008,281685,281685,5257,276428,100.000,1.019,0.361,1.1516,15.86,8,4.62,2.88,1.84,0.0186,0.0187,0.0245,0.0201,81.74,76.0,56.49
Sample 9/29,JAE014,248093,248093,4449,243644,100.000,1.018,0.3157,1.0433,15.9,6.87,3.59,2.05,1.2,0.026,0.0222,0.0325,0.0266,81.09,76.0,56.81
Sample 10/29,KNP001,127121,127121,8342,118779,100.000,1.070,0.0898,1.2201,3.42,1.36,0.75,0.48,0.34,0.0219,0.0218,0.0172,0.0216,47.34,41.0,57.56
Sample 11/29,KNP004,107464,107464,9089,98375,100.000,1.092,0.076,1.6523,2.27,0.72,0.4,0.28,0.22,0.0223,0.0238,0.0207,0.022,48.39,42.0,57.12
Sample 12/29,KNP005,43178,43178,960,42218,100.000,1.023,0.0309,0.5703,1.49,0.36,0.18,0.13,0.1,0.0234,0.0262,0.0211,0.0224,45.77,39.0,56.93
Sample 13/29,KNP009,73079,73079,3714,69365,100.000,1.054,0.0554,0.8337,2.73,0.72,0.33,0.2,0.14,0.0253,0.0282,0.0219,0.0265,50.0,44.0,56.66
Sample 14/29,LIB007.A0115,2063,2063,1993,70,100.000,29.471,0,0.0321,0,0,0,0,0,0.0,0.0,0.0,0.0,33.97,33.0,52.89
Sample 15/29,LIB007.A0116,54,54,33,21,100.000,2.571,0,0.008,0,0,0,0,0,0.0,0.0,0.0,0.0,33.05,32.0,54.85
Sample 16/29,LIB007.A0135.SG1.1,80,80,46,34,100.000,2.353,0,0.0083,0,0,0,0,0,0.0,0.0909,0.0,0.0,39.97,33.0,55.56
Sample 17/29,LIB025.A0301,114,114,16,98,100.000,1.163,0.0001,0.0084,0.01,0,0,0,0,0.0,0.0,0.0,0.0385,41.26,37.0,58.61
Sample 18/29,LIB025.A1001,127,127,69,58,100.000,2.190,0,0.0119,0,0,0,0,0,0.0,0.0,0.0345,0.0769,41.02,33.0,53.11
Sample 19/29,LIB025.A1301,84,84,40,44,100.000,1.909,0,0.0085,0,0,0,0,0,0.3,0.0,0.0,0.0,38.05,32.0,56.93
Sample 20/29,MTM009,156203,156203,16003,140200,100.000,1.114,0.0883,2.012,2.92,0.73,0.38,0.27,0.22,0.0234,0.025,0.0246,0.0259,39.43,36.0,58.57
Sample 21/29,OAK002,87970,87970,9753,78217,100.000,1.125,0.0467,0.999,1.81,0.47,0.25,0.18,0.14,0.0369,0.0259,0.0365,0.0275,37.37,34.0,57.41
Sample 22/29,OAK005,89975,89975,6727,83248,100.000,1.081,0.0593,0.363,4.45,0.84,0.26,0.12,0.07,0.0237,0.0216,0.0242,0.021,44.61,39.0,57.64
Sample 23/29,OME002,136963,136963,10229,126734,100.000,1.081,0.1093,1.1673,4.6,1.86,1.04,0.65,0.42,0.0229,0.0212,0.0202,0.0219,54.0,47.0,56.48
Sample 24/29,OME003,133069,133069,9923,123146,100.000,1.081,0.1104,1.3493,4.68,1.8,0.94,0.55,0.35,0.0195,0.0266,0.0165,0.0249,56.1,50.0,55.61
Sample 25/29,OME005,176204,176204,20895,155309,100.000,1.135,0.1532,2.1142,4.85,2.28,1.43,0.98,0.7,0.0215,0.023,0.021,0.0204,61.74,63.0,56.56
Sample 26/29,PES001,26030,26030,1908,24122,100.000,1.079,0.0168,0.4414,0.82,0.16,0.09,0.07,0.06,0.0447,0.0292,0.0455,0.031,43.66,38.0,57.87
Sample 27/29,TAF008,165714,165714,25707,140007,100.000,1.184,0.0906,0.5474,6.2,1.45,0.48,0.22,0.13,0.0407,0.0234,0.042,0.0247,40.48,37.0,58.29
Sample 28/29,VLC004,411492,411492,9089,402403,100.000,1.023,0.6665,1.5417,25.7,15.31,9.77,6.25,3.91,0.0508,0.0411,0.0466,0.0358,103.65,95.0,57.01
Sample 29/29,VLC009,311559,311559,8414,303145,100.000,1.028,0.5582,1.4346,21.49,12.53,8.14,5.29,3.35,0.0309,0.0283,0.0297,0.0266,115.24,107.0,56.93
