Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 1/29,DJA002,172651,172651,18107,154544,100.000,1.117,0.1098,0.6584,6.27,2.47,0.98,0.4,0.18,0.0264,0.0242,0.0282,0.0255,41.28,37.0,45.69
Sample 2/29,EBO003,219779,219779,30231,189548,100.000,1.159,0.1318,0.7704,7.53,2.66,1.14,0.57,0.32,0.0276,0.0255,0.0273,0.0256,40.42,37.0,47.88
Sample 3/29,ECO002,54118,54118,5696,48422,100.000,1.118,0.031,0.4522,2.03,0.29,0.12,0.09,0.07,0.0555,0.0346,0.0544,0.0348,37.19,35.0,45.55
Sample 4/29,ECO004,406004,406004,68791,337213,100.000,1.204,0.2272,0.8812,10.86,5.58,2.96,1.51,0.75,0.0572,0.0306,0.057,0.031,39.15,36.0,42.87
Sample 5/29,EMN001,68471,68471,7725,60746,100.000,1.127,0.0521,0.8072,2.97,0.55,0.19,0.12,0.1,0.0382,0.0289,0.0347,0.0268,49.84,43.0,48.36
Sample 6/29,FUM002,11797,11797,1216,10581,100.000,1.115,0.0069,0.2184,0.37,0.07,0.05,0.03,0.03,0.0387,0.0272,0.0549,0.0297,37.91,35.0,52.5
Sample 7/29,GOY005,274428,274428,68160,206268,100.000,1.330,0.1363,2.6922,5.18,1.59,0.62,0.32,0.22,0.0298,0.0277,0.0313,0.0287,38.41,36.0,51.24
Sample 8/29,JAE008,485913,485913,10628,475285,100.000,1.022,0.6693,1.9219,18.19,13.15,9.94,7.47,5.47,0.0174,0.0165,0.0192,0.0178,81.83,76.0,44.49
Sample 9/29,JAE014,585912,585912,12681,573231,100.000,1.022,0.7902,2.4842,17.84,12.29,9.42,7.59,6.25,0.0354,0.0295,0.0412,0.0335,80.1,76.0,45.46
Sample 10/29,KNP001,277293,277293,25241,252052,100.000,1.100,0.2424,1.4501,9.71,5.04,2.84,1.7,1.09,0.021,0.0216,0.0178,0.0219,55.88,51.0,46.36
Sample 11/29,KNP004,408215,408215,48244,359971,100.000,1.134,0.353,2.3659,8.44,5.26,3.64,2.66,2.05,0.0213,0.0228,0.0191,0.0206,56.98,52.0,48.01
Sample 12/29,KNP005,262666,262666,7333,255333,100.000,1.029,0.2626,1.3474,9.42,5.24,3.32,2.18,1.46,0.0265,0.0252,0.0202,0.0243,59.76,52.0,45.01
Sample 13/29,KNP009,415615,415615,31328,384287,100.000,1.082,0.4039,1.8169,10.99,7.34,5.46,4.14,3.12,0.0246,0.0273,0.0217,0.0268,61.07,58.0,44.06
Sample 14/29,LIB007.A0115,6,6,1,5,100.000,1.200,0,0.0017,0,0,0,0,0,0.0,0.0,0.0,0.0,33.4,31.0,48.8
Sample 15/29,LIB007.A0116,4,4,0,4,100.000,1.000,0,0.0016,0,0,0,0,0,0.0,0.0,0.0,0.0,37.75,38.0,63.58
Sample 16/29,LIB007.A0135.SG1.1,6,6,3,3,100.000,2.000,0,0.0016,0,0,0,0,0,0.0,0.0,0.0,0.0,50.33,45.0,52.98
Sample 17/29,LIB025.A0301,88,88,10,78,100.000,1.128,0.0001,0.0083,0.01,0,0,0,0,0.1667,0.0,0.0,0.0,46.53,44.0,53.16
Sample 18/29,LIB025.A1001,35,35,10,25,100.000,1.400,0,0.0056,0,0,0,0,0,0.0,0.0,0.0,0.0,43.76,38.0,68.07
Sample 19/29,LIB025.A1301,28,28,10,18,100.000,1.556,0,0.0034,0,0,0,0,0,0.0,0.0,0.0,0.0,37.83,35.0,65.93
Sample 20/29,MTM009,818888,818888,86840,732048,100.000,1.119,0.6429,3.1886,10.55,7.37,5.88,4.96,4.31,0.0281,0.0275,0.0287,0.0253,51.04,45.0,42.46
Sample 21/29,OAK002,83880,83880,12138,71742,100.000,1.169,0.0499,0.9025,2.73,0.52,0.17,0.11,0.09,0.0336,0.026,0.0357,0.0222,40.42,36.0,50.11
Sample 22/29,OAK005,170178,170178,15260,154918,100.000,1.099,0.1256,0.5255,8.27,2.73,0.89,0.31,0.12,0.0276,0.0248,0.0273,0.0253,47.11,42.0,47.18
Sample 23/29,OME002,96577,96577,10135,86442,100.000,1.117,0.0926,0.8851,3.53,2.31,1.37,0.71,0.34,0.0162,0.0143,0.0147,0.0167,62.22,59.0,49.67
Sample 24/29,OME003,141300,141300,15183,126117,100.000,1.120,0.1454,1.1836,3.87,3.11,2.42,1.73,1.13,0.0128,0.0179,0.0112,0.0185,66.99,74.0,49.39
Sample 25/29,OME005,36483,36483,6467,30016,100.000,1.215,0.0259,1.9687,0.2,0.11,0.08,0.07,0.06,0.0182,0.0186,0.0154,0.0139,50.15,43.0,50.12
Sample 26/29,PES001,42674,42674,5288,37386,100.000,1.141,0.032,0.397,2.34,0.37,0.09,0.05,0.04,0.041,0.0288,0.0365,0.0268,49.8,43.0,49.03
Sample 27/29,TAF008,172545,172545,32131,140414,100.000,1.229,0.0994,0.5296,6.71,1.9,0.59,0.21,0.1,0.0461,0.0299,0.0476,0.0293,41.12,38.0,46.66
Sample 28/29,VLC004,220241,220241,5354,214887,100.000,1.025,0.3557,1.7762,8.71,5.25,3.83,3.06,2.54,0.0328,0.0301,0.0283,0.0251,96.19,89.0,48.68
Sample 29/29,VLC009,66926,66926,2046,64880,100.000,1.032,0.1139,0.4832,7.78,2.36,0.75,0.24,0.09,0.0314,0.0299,0.0269,0.0278,102.02,94.0,44.74
