,"Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"501","DJA002_ECO004",34180,73319,107499
"503","DJA002_FUM002",32147,50846,82993
"345","EBO003_DJA002",10543,174530,185073
"333","EBO003_ECO002",52333,115130,167463
"347","EBO003_ECO004",39724,78146,117870
"325","EBO003_EMN001",50122,101450,151572
"349","EBO003_FUM002",37183,53681,90864
"341","EBO003_JAE008",54059,132298,186357
"337","EBO003_KNP009",45174,148184,193358
"331","EBO003_MTM009",42096,135233,177329
"343","EBO003_OME002",22821,19505,42326
"335","EBO003_OME003",18324,16553,34877
"327","EBO003_OME005",17052,14295,31347
"329","EBO003_PES001",51999,113264,165263
"339","EBO003_VLC009",61620,142083,203703
"445","ECO002_DJA002",44756,107372,152128
"447","ECO002_ECO004",6228,105305,111533
"449","ECO002_FUM002",20151,62715,82866
"441","ECO002_JAE008",15944,154215,170159
"437","ECO002_KNP009",49967,116768,166735
"443","ECO002_OME002",19582,18000,37582
"435","ECO002_OME003",15592,15086,30678
"439","ECO002_VLC009",29675,153861,183536
"505","ECO004_FUM002",15854,46365,62219
"369","EMN001_DJA002",43266,95671,138937
"357","EMN001_ECO002",19218,121513,140731
"371","EMN001_ECO004",19452,79376,98828
"373","EMN001_FUM002",11992,68544,80536
"365","EMN001_JAE008",26162,122711,148873
"361","EMN001_KNP009",48447,102975,151422
"355","EMN001_MTM009",43994,94984,138978
"367","EMN001_OME002",17846,16910,34756
"359","EMN001_OME003",14076,14173,28249
"351","EMN001_OME005",12914,12590,25504
"353","EMN001_PES001",11056,135443,146499
"363","EMN001_VLC009",35671,126282,161953
"159","GOY005_DJA002",48239,90447,138686
"137","GOY005_EBO003",56291,95089,151380
"147","GOY005_ECO002",23454,116956,140410
"161","GOY005_ECO004",21879,76566,98445
"139","GOY005_EMN001",12400,122849,135249
"163","GOY005_FUM002",5241,75795,81036
"155","GOY005_JAE008",33862,117065,150927
"127","GOY005_KNP001",57165,92125,149290
"129","GOY005_KNP004",61100,95185,156285
"133","GOY005_KNP005",52599,92097,144696
"151","GOY005_KNP009",55247,96564,151811
"145","GOY005_MTM009",46446,92727,139173
"131","GOY005_OAK002",8131,50730,58861
"135","GOY005_OAK005",33516,122970,156486
"157","GOY005_OME002",16648,16066,32714
"149","GOY005_OME003",13421,13307,26728
"141","GOY005_OME005",11782,12348,24130
"143","GOY005_PES001",14815,131058,145873
"153","GOY005_VLC009",42581,121633,164214
"489","JAE008_DJA002",45316,124852,170168
"491","JAE008_ECO004",11124,103795,114919
"493","JAE008_FUM002",23949,63357,87306
"487","JAE008_OME002",20471,20438,40909
"39","JAE014_DJA002",58048,128260,186308
"17","JAE014_EBO003",67698,137145,204843
"27","JAE014_ECO002",17954,167653,185607
"41","JAE014_ECO004",13596,114563,128159
"19","JAE014_EMN001",35084,128803,163887
"43","JAE014_FUM002",30322,65792,96114
"5","JAE014_GOY005",43901,121581,165482
"35","JAE014_JAE008",15821,198302,214123
"7","JAE014_KNP001",68127,133297,201424
"9","JAE014_KNP004",74197,138598,212795
"13","JAE014_KNP005",61254,133643,194897
"31","JAE014_KNP009",65647,140568,206215
"25","JAE014_MTM009",60462,123115,183577
"11","JAE014_OAK002",27610,48338,75948
"15","JAE014_OAK005",18411,200467,218878
"37","JAE014_OME002",23014,20989,44003
"29","JAE014_OME003",18456,17694,36150
"21","JAE014_OME005",17295,15481,32776
"23","JAE014_PES001",36126,144689,180815
"1","JAE014_TAF008",25245,176824,202069
"3","JAE014_VLC004",31220,193254,224474
"33","JAE014_VLC009",32988,199434,232422
"195","KNP001_DJA002",40907,135047,175954
"173","KNP001_EBO003",49327,143745,193072
