"","Number_of_Positions","Sample_Name","Passed_Filter"
"22",252865,"VLC009",TRUE
"1",249218,"JAE014",TRUE
"3",244814,"VLC004",TRUE
"12",235654,"OAK005",TRUE
"23",232207,"JAE008",TRUE
"8",228239,"KNP004",TRUE
"21",221473,"KNP009",TRUE
"2",218050,"TAF008",TRUE
"13",217929,"EBO003",TRUE
"7",215043,"KNP001",TRUE
"11",206881,"KNP005",TRUE
"25",199052,"DJA002",TRUE
"19",196130,"ECO002",TRUE
"18",194607,"MTM009",TRUE
"16",192238,"PES001",TRUE
"4",176450,"GOY005",TRUE
"14",172949,"EMN001",TRUE
"26",132566,"ECO004",TRUE
"29",99812,"FUM002",TRUE
"9",78465,"OAK002",TRUE
"24",45093,"OME002",TRUE
"20",37053,"OME003",TRUE
"15",33560,"OME005",TRUE
"28",33,"LIB025.A0301",FALSE
"10",15,"LIB025.A1001",FALSE
"5",4,"LIB025.A1301",FALSE
"27",1,"LIB007.A0116",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"17",0,"LIB007.A0115",FALSE
