"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"113","VLC004_JAE008",10642,49316,59958
"83","VLC004_GOY005",16846,37888,54734
"149","GOY005_JAE008",15064,35773,50837
"117","VLC004_DJA002",19758,30185,49943
"139","GOY005_MTM009",16150,33222,49372
"103","VLC004_MTM009",17284,32030,49314
"403","MTM009_DJA002",15408,33585,48993
"153","GOY005_DJA002",18890,29914,48804
"453","JAE008_DJA002",19408,26368,45776
"399","MTM009_JAE008",17043,28540,45583
"87","VLC004_KNP004",18998,23172,42170
"129","GOY005_OAK005",9993,31474,41467
"219","KNP004_DJA002",12495,28431,40926
"205","KNP004_MTM009",13138,27221,40359
"123","GOY005_KNP004",16984,23250,40234
"93","VLC004_OAK005",8035,32001,40036
"215","KNP004_JAE008",18534,20564,39098
"289","OAK005_MTM009",9622,28180,37802
"299","OAK005_JAE008",8961,28566,37527
"303","OAK005_DJA002",11070,26104,37174
"85","VLC004_KNP001",15108,19361,34469
"157","KNP001_KNP004",4563,29870,34433
"147","GOY005_VLC009",6661,27129,33790
"111","VLC004_VLC009",8197,25462,33659
"327","EBO003_DJA002",5675,27792,33467
"187","KNP001_DJA002",8576,24717,33293
"121","GOY005_KNP001",13325,19381,32706
"173","KNP001_MTM009",9326,23365,32691
"443","VLC009_JAE008",8046,24539,32585
"95","VLC004_EBO003",11906,20627,32533
"183","KNP001_JAE008",15034,17154,32188
"313","EBO003_MTM009",8851,23212,32063
"131","GOY005_EBO003",11472,20273,31745
"195","KNP004_OAK005",11711,19106,30817
"133","GOY005_EMN001",3904,26556,30460
"323","EBO003_JAE008",12064,18247,30311
"211","KNP004_KNP009",4145,26142,30287
"197","KNP004_EBO003",7061,22978,30039
"109","VLC004_KNP009",12447,16828,29275
"397","MTM009_VLC009",9300,19848,29148
"179","KNP001_KNP009",1573,27448,29021
"439","KNP009_DJA002",7141,21488,28629
"447","VLC009_DJA002",10617,17928,28545
"395","MTM009_KNP009",7862,20521,28383
"145","GOY005_KNP009",11118,16856,27974
"97","VLC004_EMN001",6929,20844,27773
"435","KNP009_JAE008",12402,14974,27376
"345","EMN001_JAE008",6696,20393,27089
"165","KNP001_EBO003",4742,21425,26167
"297","OAK005_VLC009",5654,19987,25641
"213","KNP004_VLC009",10822,14570,25392
"335","EMN001_MTM009",7764,17477,25241
"281","OAK005_EBO003",7277,17834,25111
"163","KNP001_OAK005",9227,15580,24807
"349","EMN001_DJA002",9007,15641,24648
"5","JAE014_GOY005",5340,19235,24575
"35","JAE014_JAE008",3924,20404,24328
"3","JAE014_VLC004",5877,18161,24038
"319","EBO003_KNP009",4199,19144,23343
"283","OAK005_EMN001",4941,17760,22701
"199","KNP004_EMN001",9014,12802,21816
"295","OAK005_KNP009",7834,13693,21527
"343","EMN001_VLC009",3983,17207,21190
"181","KNP001_VLC009",8894,12294,21188
"25","JAE014_MTM009",7003,14027,21030
"39","JAE014_DJA002",7826,12775,20601
"45","TAF008_GOY005",2748,17651,20399
"321","EBO003_VLC009",7242,12890,20132
"33","JAE014_VLC009",4064,14985,19049
"15","JAE014_OAK005",4409,14609,19018
"43","TAF008_VLC004",4515,14243,18758
"433","KNP009_VLC009",7662,10982,18644
"9","JAE014_KNP004",8023,10572,18595
"193","KNP004_KNP005",2429,15768,18197
"167","KNP001_EMN001",7345,10835,18180
"75","TAF008_JAE008",4346,13709,18055
"307","EBO003_EMN001",6094,11356,17450
"65","TAF008_MTM009",5163,12149,17312
"161","KNP001_KNP005",1533,15419,16952
"79","TAF008_DJA002",5861,10928,16789
"277","KNP005_DJA002",3896,12868,16764
"91","VLC004_KNP005",6303,10424,16727
"263","KNP005_MTM009",4187,12438,16625
"269","KNP005_KNP009",1243,15110,16353
"127","GOY005_KNP005",5863,10352,16215
"19","JAE014_EMN001",3386,12797,16183
"273","KNP005_JAE008",6609,9504,16113
"341","EMN001_KNP009",6351,9566,15917
"55","TAF008_OAK005",3317,12370,15687
"7","JAE014_KNP001",6544,8842,15386
"49","TAF008_KNP004",5963,8741,14704
"17","JAE014_EBO003",5369,9288,14657
"255","KNP005_EBO003",2450,11920,14370
"155","GOY005_ECO004",2022,12096,14118
"73","TAF008_VLC009",2461,11165,13626
"31","JAE014_KNP009",5623,7937,13560
"253","KNP005_OAK005",4299,8690,12989
"119","VLC004_ECO004",3338,9592,12930
"59","TAF008_EMN001",1840,10858,12698
