"","Number_of_Positions","Sample_Name","Passed_Filter"
"3",86840,"VLC004",TRUE
"23",78236,"JAE008",TRUE
"4",77549,"GOY005",TRUE
"25",70873,"DJA002",TRUE
"18",69985,"MTM009",TRUE
"8",57193,"KNP004",TRUE
"12",54145,"OAK005",TRUE
"7",45723,"KNP001",TRUE
"22",43729,"VLC009",TRUE
"13",43555,"EBO003",TRUE
"21",38768,"KNP009",TRUE
"14",36088,"EMN001",TRUE
"1",31013,"JAE014",TRUE
"2",24785,"TAF008",TRUE
"11",21693,"KNP005",TRUE
"26",17302,"ECO004",TRUE
"19",9764,"ECO002",TRUE
"20",6052,"OME003",TRUE
"9",4569,"OAK002",TRUE
"24",2531,"OME002",TRUE
"15",2380,"OME005",TRUE
"16",1938,"PES001",TRUE
"29",215,"FUM002",FALSE
"5",2,"LIB025.A1301",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"10",0,"LIB025.A1001",FALSE
"17",0,"LIB007.A0115",FALSE
"27",0,"LIB007.A0116",FALSE
"28",0,"LIB025.A0301",FALSE
