"","Number_of_Positions","Sample_Name","Passed_Filter"
"23",83340,"JAE008",TRUE
"3",74362,"VLC004",TRUE
"22",73943,"VLC009",TRUE
"1",67560,"JAE014",TRUE
"9",59361,"OAK002",TRUE
"24",57503,"OME002",TRUE
"20",49543,"OME003",TRUE
"15",49530,"OME005",TRUE
"4",34022,"GOY005",TRUE
"14",13524,"EMN001",TRUE
"26",1981,"ECO004",TRUE
"7",496,"KNP001",FALSE
"25",480,"DJA002",FALSE
"18",440,"MTM009",FALSE
"16",408,"PES001",FALSE
"12",330,"OAK005",FALSE
"21",325,"KNP009",FALSE
"2",252,"TAF008",FALSE
"8",234,"KNP004",FALSE
"11",195,"KNP005",FALSE
"13",161,"EBO003",FALSE
"19",86,"ECO002",FALSE
"29",83,"FUM002",FALSE
"5",5,"LIB025.A1301",FALSE
"10",2,"LIB025.A1001",FALSE
"27",1,"LIB007.A0116",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"17",0,"LIB007.A0115",FALSE
"28",0,"LIB025.A0301",FALSE
