"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"103","VLC004_VLC009",32523,119676,152199
"137","GOY005_VLC009",72886,57567,130453
"79","VLC004_GOY005",67735,56566,124301
"227","OAK002_VLC009",51816,71861,123677
"85","VLC004_OAK002",47673,70793,118466
"391","VLC009_JAE008",45352,65890,111242
"105","VLC004_JAE008",41415,65057,106472
"119","GOY005_OAK002",50338,53729,104067
"139","GOY005_JAE008",40878,54649,95527
"29","JAE014_VLC009",43063,48517,91580
"229","OAK002_JAE008",32090,58580,90670
"3","JAE014_VLC004",40070,48083,88153
"5","JAE014_GOY005",34048,46777,80825
"31","JAE014_JAE008",16732,60522,77254
"253","OAK005_VLC009",28423,48176,76599
"11","JAE014_OAK002",32607,43782,76389
"87","VLC004_OAK005",25964,47810,73774
"211","OAK002_OAK005",5025,62626,67651
"121","GOY005_OAK005",30040,35770,65810
"255","OAK005_JAE008",18835,39900,58735
"13","JAE014_OAK005",20266,30389,50655
"395","VLC009_DJA002",2223,2251,4474
"299","EMN001_VLC009",1894,2544,4438
"109","VLC004_DJA002",2081,2252,4333
"91","VLC004_EMN001",1757,2526,4283
"403","JAE008_DJA002",1971,1977,3948
"301","EMN001_JAE008",1252,2664,3916
"393","VLC009_OME002",2201,1696,3897
"107","VLC004_OME002",2147,1675,3822
"143","GOY005_DJA002",1732,2090,3822
"125","GOY005_EMN001",1179,2617,3796
"17","JAE014_EMN001",1274,2493,3767
"233","OAK002_DJA002",1670,2037,3707
"35","JAE014_DJA002",1959,1742,3701
"215","OAK002_EMN001",1195,2412,3607
"401","JAE008_OME002",2155,1395,3550
"141","GOY005_OME002",1953,1466,3419
"33","JAE014_OME002",2108,1291,3399
"67","TAF008_VLC009",1377,1971,3348
"41","TAF008_VLC004",1286,1928,3214
"231","OAK002_OME002",1753,1438,3191
"353","MTM009_VLC009",1538,1343,2881
"259","OAK005_DJA002",1132,1723,2855
"97","VLC004_MTM009",1469,1333,2802
"69","TAF008_JAE008",1129,1666,2795
"241","OAK005_EMN001",885,1874,2759
"49","TAF008_OAK002",842,1901,2743
"43","TAF008_GOY005",1172,1563,2735
"355","MTM009_JAE008",1422,1143,2565
"257","OAK005_OME002",1343,1173,2516
"1","JAE014_TAF008",1098,1331,2429
"131","GOY005_MTM009",1112,1230,2342
"23","JAE014_MTM009",1300,1009,2309
"199","KNP004_VLC009",1279,972,2251
"83","VLC004_KNP004",1200,992,2192
"169","KNP001_VLC009",1105,1052,2157
"221","OAK002_MTM009",856,1265,2121
"81","VLC004_KNP001",1041,1060,2101
"51","TAF008_OAK005",470,1606,2076
"367","OME003_VLC009",1049,992,2041
"201","KNP004_JAE008",1124,892,2016
"99","VLC004_OME003",1020,972,1992
"171","KNP001_JAE008",988,936,1924
"277","EBO003_VLC009",1057,821,1878
"369","OME003_JAE008",1018,834,1852
"9","JAE014_KNP004",1053,782,1835
