"","Number_of_Positions","Sample_Name","Passed_Filter"
"21",166139,"VLC009",TRUE
"3",157421,"VLC004",TRUE
"4",135992,"GOY005",TRUE
"9",128156,"OAK002",TRUE
"22",115079,"JAE008",TRUE
"1",94539,"JAE014",TRUE
"12",79066,"OAK005",TRUE
"14",4581,"EMN001",TRUE
"24",4552,"DJA002",TRUE
"23",3932,"OME002",TRUE
"2",3427,"TAF008",TRUE
"17",2945,"MTM009",TRUE
"8",2279,"KNP004",TRUE
"7",2181,"KNP001",TRUE
"19",2055,"OME003",TRUE
"13",1896,"EBO003",TRUE
"16",1835,"PES001",TRUE
"28",1617,"FUM002",TRUE
"20",1253,"KNP009",TRUE
"15",1237,"OME005",TRUE
"25",1011,"ECO004",TRUE
"18",989,"ECO002",FALSE
"11",923,"KNP005",FALSE
"10",5,"LIB025.A1001",FALSE
"27",4,"LIB025.A0301",FALSE
"5",2,"LIB025.A1301",FALSE
"26",1,"LIB007.A0116",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
