"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"133","KNP001_KNP004",1736,95271,97007
"163","KNP004_KNP005",1897,94791,96688
"137","KNP001_KNP005",1862,94194,96056
"177","KNP004_KNP009",1694,91786,93480
"151","KNP001_KNP009",1813,91604,93417
"223","KNP005_KNP009",1551,91644,93195
"173","KNP004_MTM009",26455,59981,86436
"219","KNP005_MTM009",26385,59857,86242
"147","KNP001_MTM009",26805,59153,85958
"303","MTM009_KNP009",25268,57426,82694
"9","JAE014_KNP004",38351,43147,81498
"13","JAE014_KNP005",37794,43474,81268
"7","JAE014_KNP001",37989,42480,80469
"23","JAE014_MTM009",35268,43208,78476
"27","JAE014_KNP009",34890,41894,76784
"167","KNP004_EBO003",19587,44464,64051
"141","KNP001_EBO003",19471,44395,63866
"213","KNP005_EBO003",19005,44687,63692
"257","EBO003_MTM009",13793,49217,63010
"261","EBO003_KNP009",18359,43584,61943
"183","KNP004_DJA002",22087,39606,61693
"229","KNP005_DJA002",21822,39619,61441
"157","KNP001_DJA002",21905,39512,61417
"309","MTM009_DJA002",11113,49893,61006
"179","KNP004_VLC009",29425,30333,59758
"29","JAE014_VLC009",3488,56265,59753
"327","KNP009_DJA002",20820,38854,59674
"225","KNP005_VLC009",28808,30672,59480
"153","KNP001_VLC009",29189,29886,59075
"323","KNP009_VLC009",27196,29670,56866
"305","MTM009_VLC009",26880,29868,56748
"17","JAE014_EBO003",21005,35199,56204
"33","JAE014_DJA002",22726,31691,54417
"181","KNP004_JAE008",26125,27998,54123
"227","KNP005_JAE008",25671,28217,53888
"155","KNP001_JAE008",25843,27632,53475
"31","JAE014_JAE008",5086,48100,53186
"307","MTM009_JAE008",23308,28344,51652
"325","KNP009_JAE008",23973,27551,51524
"267","EBO003_DJA002",5806,43744,49550
"43","TAF008_KNP004",21371,26672,48043
"47","TAF008_KNP005",20991,26822,47813
"41","TAF008_KNP001",21189,26592,47781
"61","TAF008_KNP009",20104,26290,46394
"57","TAF008_MTM009",18939,27215,46154
"1","JAE014_TAF008",12334,30738,43072
