"","Number_of_Positions","Sample_Name","Passed_Filter"
"7",108461,"KNP004",TRUE
"10",108087,"KNP005",TRUE
"6",106901,"KNP001",TRUE
"1",105317,"JAE014",TRUE
"16",104226,"MTM009",TRUE
"19",102267,"KNP009",TRUE
"12",74784,"EBO003",TRUE
"20",74440,"VLC009",TRUE
"23",71930,"DJA002",TRUE
"21",67107,"JAE008",TRUE
"2",56504,"TAF008",TRUE
"4",47849,"GOY005",TRUE
"11",36467,"OAK005",TRUE
"13",36168,"EMN001",TRUE
"17",33414,"ECO002",TRUE
"15",8751,"PES001",TRUE
"24",7483,"ECO004",TRUE
"3",2771,"VLC004",TRUE
"8",2532,"OAK002",TRUE
"26",755,"FUM002",FALSE
"22",394,"OME002",FALSE
"14",351,"OME005",FALSE
"18",307,"OME003",FALSE
"5",2,"LIB025.A1301",FALSE
"9",0,"LIB025.A1001",FALSE
"25",0,"LIB025.A0301",FALSE
