"","Number_of_Positions","Sample_Name","Passed_Filter"
"4",95060,"GOY005",TRUE
"23",75061,"JAE008",TRUE
"9",71783,"OAK002",TRUE
"1",68020,"JAE014",TRUE
"22",61324,"VLC009",TRUE
"21",50233,"KNP009",TRUE
"25",50001,"DJA002",TRUE
"8",48578,"KNP004",TRUE
"14",46088,"EMN001",TRUE
"3",44636,"VLC004",TRUE
"7",44109,"KNP001",TRUE
"18",43501,"MTM009",TRUE
"12",37471,"OAK005",TRUE
"15",31293,"OME005",TRUE
"20",27599,"OME003",TRUE
"24",19357,"OME002",TRUE
"11",17053,"KNP005",TRUE
"26",14807,"ECO004",TRUE
"13",7728,"EBO003",TRUE
"16",813,"PES001",FALSE
"19",359,"ECO002",FALSE
"2",174,"TAF008",FALSE
"28",109,"FUM002",FALSE
"5",4,"LIB025.A1301",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"10",0,"LIB025.A1001",FALSE
"17",0,"LIB007.A0115",FALSE
"27",0,"LIB025.A0301",FALSE
