"","Number_of_Positions","Sample_Name","Passed_Filter"
"1",212151,"JAE014",TRUE
"12",209261,"OAK005",TRUE
"2",198618,"TAF008",TRUE
"3",196261,"VLC004",TRUE
"19",176537,"ECO002",TRUE
"22",175266,"VLC009",TRUE
"23",173240,"JAE008",TRUE
"13",159762,"EBO003",TRUE
"8",139293,"KNP004",TRUE
"16",137834,"PES001",TRUE
"4",134949,"GOY005",TRUE
"26",116911,"ECO004",TRUE
"21",114395,"KNP009",TRUE
"25",113426,"DJA002",TRUE
"7",97538,"KNP001",TRUE
"11",96196,"KNP005",TRUE
"29",75648,"FUM002",TRUE
"14",35370,"EMN001",TRUE
"9",7734,"OAK002",TRUE
"18",6799,"MTM009",TRUE
"24",1386,"OME002",TRUE
"20",1193,"OME003",TRUE
"15",529,"OME005",FALSE
"28",5,"LIB025.A0301",FALSE
"5",0,"LIB025.A1301",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"10",0,"LIB025.A1001",FALSE
"17",0,"LIB007.A0115",FALSE
"27",0,"LIB007.A0116",FALSE
