"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"385","OME005_VLC009",27767,105177,132944
"103","VLC004_OME005",29243,101201,130444
"387","OME005_JAE008",22481,107068,129549
"63","TAF008_OME005",26872,102436,129308
"389","OME005_OME002",3719,124487,128206
"115","VLC004_VLC009",26205,99923,126128
"477","VLC009_JAE008",19399,105691,125090
"75","TAF008_VLC009",23693,101146,124839
"381","OME005_OME003",7032,117491,124523
"21","JAE014_OME005",20180,103767,123947
"117","VLC004_JAE008",19435,104280,123715
"45","TAF008_VLC004",25205,97232,122437
"479","VLC009_OME002",20811,101150,121961
"77","TAF008_JAE008",19244,102434,121678
"487","JAE008_OME002",15809,105141,120950
"33","JAE014_VLC009",17368,103198,120566
"119","VLC004_OME002",21493,98971,120464
"79","TAF008_OME002",20185,98974,119159
"453","OME003_VLC009",18569,100493,119062
"3","JAE014_VLC004",18760,100204,118964
"457","OME003_OME002",4122,114464,118586
"35","JAE014_JAE008",13649,104924,118573
"455","OME003_JAE008",14172,104146,118318
"111","VLC004_OME003",19640,98127,117767
"1","JAE014_TAF008",16602,100822,117424
"71","TAF008_OME003",17943,98082,116025
"37","JAE014_OME002",14300,101139,115439
"29","JAE014_OME003",11732,101470,113202
"243","OAK002_OME005",26914,75681,102595
"177","KNP001_OME005",51611,48679,100290
"255","OAK002_VLC009",24461,74466,98927
"189","KNP001_VLC009",49762,47841,97603
"53","TAF008_OAK002",21304,75955,97259
"93","VLC004_OAK002",24314,72586,96900
"89","VLC004_KNP001",48770,47056,95826
"257","OAK002_JAE008",19145,76356,95501
"191","KNP001_JAE008",45023,50212,95235
"49","TAF008_KNP001",48482,46454,94936
"259","OAK002_OME002",21179,73263,94442
"193","KNP001_OME002",46821,46875,93696
"11","JAE014_OAK002",18459,74251,92710
"7","JAE014_KNP001",44701,47359,92060
"251","OAK002_OME003",19395,72567,91962
"185","KNP001_OME003",45387,46057,91444
"273","KNP005_OME005",45989,39339,85328
"285","KNP005_VLC009",44909,38874,83783
"95","VLC004_KNP005",44118,37817,81935
"287","KNP005_JAE008",41074,40106,81180
"55","TAF008_KNP005",43914,37227,81141
"289","KNP005_OME002",42353,37565,79918
"393","OME005_ECO004",14324,64992,79316
"13","JAE014_KNP005",40724,38199,78923
"169","KNP001_KNP005",2792,75699,78491
"281","KNP005_OME003",41130,36963,78093
"483","VLC009_ECO004",12933,64331,77264
"167","KNP001_OAK002",41705,34400,76105
"83","TAF008_ECO004",10841,65131,75972
"123","VLC004_ECO004",13730,61878,75608
"491","JAE008_ECO004",9772,65203,74975
"497","OME002_ECO004",10538,63058,73596
"41","JAE014_ECO004",8334,64669,73003
"211","KNP004_OME005",35365,36596,71961
