"","Number_of_Positions","Sample_Name","Passed_Filter"
"15",143892,"OME005",TRUE
"22",137316,"VLC009",TRUE
"23",137003,"JAE008",TRUE
"3",136000,"VLC004",TRUE
"2",133842,"TAF008",TRUE
"24",133352,"OME002",TRUE
"20",129827,"OME003",TRUE
"1",129219,"JAE014",TRUE
"9",106057,"OAK002",TRUE
"7",104198,"KNP001",TRUE
"11",87838,"KNP005",TRUE
"26",81728,"ECO004",TRUE
"8",74171,"KNP004",TRUE
"21",60766,"KNP009",TRUE
"4",27061,"GOY005",TRUE
"18",15130,"MTM009",TRUE
"14",10837,"EMN001",TRUE
"16",4829,"PES001",TRUE
"25",3719,"DJA002",TRUE
"19",2791,"ECO002",TRUE
"12",2453,"OAK005",TRUE
"29",1999,"FUM002",TRUE
"13",1321,"EBO003",TRUE
"17",2,"LIB007.A0115",FALSE
"5",0,"LIB025.A1301",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"10",0,"LIB025.A1001",FALSE
"27",0,"LIB007.A0116",FALSE
"28",0,"LIB025.A0301",FALSE
