,"Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"393","VLC009_OME002",1080,1219,2299
"391","VLC009_JAE008",276,1524,1800
"399","VLC009_FUM002",86,433,519
"397","VLC009_ECO004",52,281,333
"395","VLC009_DJA002",323,565,888
"103","VLC004_VLC009",478,2118,2596
"93","VLC004_OME005",382,579,961
"99","VLC004_OME003",16562,6853,23415
"107","VLC004_OME002",10819,5746,16565
"85","VLC004_OAK002",157,402,559
"95","VLC004_MTM009",2566,9244,11810
"101","VLC004_KNP009",5822,23520,29342
"87","VLC004_KNP005",3230,13521,16751
"83","VLC004_KNP004",5688,23572,29260
"81","VLC004_KNP001",4684,21542,26226
"105","VLC004_JAE008",252,1487,1739
"79","VLC004_GOY005",598,1458,2056
"113","VLC004_FUM002",183,782,965
"91","VLC004_EMN001",260,1017,1277
"111","VLC004_ECO004",161,702,863
"97","VLC004_ECO002",314,1570,1884
"89","VLC004_EBO003",1248,4189,5437
"109","VLC004_DJA002",537,607,1144
"67","TAF008_VLC009",147,503,650
"41","TAF008_VLC004",411,1555,1966
"57","TAF008_OME005",98,150,248
"63","TAF008_OME003",1612,921,2533
"71","TAF008_OME002",1172,740,1912
"49","TAF008_OAK002",66,212,278
"59","TAF008_MTM009",680,2006,2686
"65","TAF008_KNP009",795,2743,3538
"51","TAF008_KNP005",561,2080,2641
"47","TAF008_KNP004",774,2723,3497
"45","TAF008_KNP001",688,2606,3294
"69","TAF008_JAE008",59,203,262
"43","TAF008_GOY005",283,987,1270
"77","TAF008_FUM002",166,673,839
"55","TAF008_EMN001",250,881,1131
"75","TAF008_ECO004",88,309,397
"61","TAF008_ECO002",257,855,1112
"53","TAF008_EBO003",307,1027,1334
"73","TAF008_DJA002",76,177,253
"319","OME005_VLC009",247,426,673
"315","OME005_OME003",76,1417,1493
"323","OME005_OME002",100,1316,1416
"311","OME005_MTM009",355,421,776
"317","OME005_KNP009",563,615,1178
"321","OME005_JAE008",192,429,621
"329","OME005_FUM002",62,83,145
"327","OME005_ECO004",27,68,95
"313","OME005_ECO002",107,150,257
"325","OME005_DJA002",248,250,498
"367","OME003_VLC009",1252,1222,2474
"371","OME003_OME002",4924,30889,35813
"365","OME003_KNP009",41384,14443,55827
"369","OME003_JAE008",564,963,1527
"377","OME003_FUM002",515,387,902
"375","OME003_ECO004",723,434,1157
"373","OME003_DJA002",959,673,1632
"413","OME002_FUM002",333,296,629
"411","OME002_ECO004",486,378,864
"409","OME002_DJA002",831,607,1438
"227","OAK002_VLC009",27,108,135
"217","OAK002_OME005",27,60,87
"223","OAK002_OME003",505,297,802
"231","OAK002_OME002",362,237,599
"219","OAK002_MTM009",196,397,593
"225","OAK002_KNP009",335,682,1017
"211","OAK002_KNP005",238,459,697
"229","OAK002_JAE008",21,68,89
"237","OAK002_FUM002",45,126,171
"215","OAK002_EMN001",45,179,224
"235","OAK002_ECO004",35,65,100
"221","OAK002_ECO002",65,153,218
"213","OAK002_EBO003",105,219,324
"233","OAK002_DJA002",61,56,117
"337","MTM009_VLC009",611,1429,2040
"333","MTM009_OME003",14924,5979,20903
"341","MTM009_OME002",9831,4915,14746
"335","MTM009_KNP009",6070,20693,26763
"339","MTM009_JAE008",322,725,1047
"347","MTM009_FUM002",279,906,1185
"345","MTM009_ECO004",228,744,972
"331","MTM009_ECO002",553,1802,2355
"343","MTM009_DJA002",325,755,1080
"379","KNP009_VLC009",693,2549,3242
"383","KNP009_OME002",26228,11482,37710
"381","KNP009_JAE008",356,1400,1756
"389","KNP009_FUM002",294,998,1292
"387","KNP009_ECO004",390,1181,1571
"385","KNP009_DJA002",839,938,1777
"253","KNP005_VLC009",643,2253,2896
"243","KNP005_OME005",535,637,1172
"249","KNP005_OME003",21728,8201,29929
"257","KNP005_OME002",14310,6708,21018
"245","KNP005_MTM009",3323,12388,15711
"251","KNP005_KNP009",7797,30501,38298
"255","KNP005_JAE008",401,1307,1708
"263","KNP005_FUM002",247,915,1162
"241","KNP005_EMN001",394,1249,1643
"261","KNP005_ECO004",238,968,1206
"247","KNP005_ECO002",525,2159,2684
"239","KNP005_EBO003",1603,6182,7785
"259","KNP005_DJA002",576,830,1406
"199","KNP004_VLC009",668,2532,3200
"189","KNP004_OME005",542,606,1148
"195","KNP004_OME003",41317,14408,55725
"203","KNP004_OME002",26253,11389,37642
"181","KNP004_OAK002",335,673,1008
"191","KNP004_MTM009",5794,20930,26724
"197","KNP004_KNP009",15339,57540,72879
"183","KNP004_KNP005",469,38083,38552
"201","KNP004_JAE008",325,1368,1693
"209","KNP004_FUM002",287,1007,1294
"187","KNP004_EMN001",489,1406,1895
"207","KNP004_ECO004",333,1223,1556
"193","KNP004_ECO002",671,2526,3197
"185","KNP004_EBO003",2003,8020,10023
"205","KNP004_DJA002",843,926,1769
"169","KNP001_VLC009",699,2521,3220
