"","Number_of_Positions","Sample_Name","Passed_Filter"
"21",74903,"KNP009",TRUE
"8",74644,"KNP004",TRUE
"1",69783,"JAE014",TRUE
"7",65059,"KNP001",TRUE
"20",58110,"OME003",TRUE
"11",39713,"KNP005",TRUE
"24",39683,"OME002",TRUE
"3",30683,"VLC004",TRUE
"18",27766,"MTM009",TRUE
"13",10908,"EBO003",TRUE
"22",4064,"VLC009",TRUE
"4",4012,"GOY005",TRUE
"2",3784,"TAF008",TRUE
"19",3472,"ECO002",TRUE
"23",2670,"JAE008",TRUE
"25",2135,"DJA002",TRUE
"14",2050,"EMN001",TRUE
"26",1691,"ECO004",TRUE
"15",1598,"OME005",TRUE
"28",1362,"FUM002",TRUE
"9",1084,"OAK002",TRUE
"12",512,"OAK005",FALSE
"16",123,"PES001",FALSE
"5",0,"LIB025.A1301",FALSE
"6",0,"LIB007.A0135.SG1.1",FALSE
"10",0,"LIB025.A1001",FALSE
"17",0,"LIB007.A0115",FALSE
"27",0,"LIB025.A0301",FALSE
