"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"103","GOY005_JAE008",36161,51540,87701
"229","VLC009_JAE008",26505,51099,77604
"25","JAE014_JAE008",27224,47822,75046
"79","VLC004_JAE008",30328,42427,72755
"101","GOY005_VLC009",27163,45381,72544
"5","JAE014_GOY005",26425,43528,69953
"59","VLC004_GOY005",29707,38152,67859
"23","JAE014_VLC009",19602,44319,63921
"77","VLC004_VLC009",22892,39333,62225
"3","JAE014_VLC004",23229,37321,60550
"205","EMN001_JAE008",5060,9151,14211
"223","KNP009_JAE008",8695,5002,13697
"95","GOY005_EMN001",4149,9535,13684
"203","EMN001_VLC009",3984,8286,12270
"99","GOY005_KNP009",7174,4998,12172
"17","JAE014_EMN001",4056,7934,11990
"71","VLC004_EMN001",4763,7169,11932
"21","JAE014_KNP009",7239,4428,11667
"221","KNP009_VLC009",7128,4512,11640
"75","VLC004_KNP009",6928,4182,11110
"193","OAK005_JAE008",3122,3114,6236
"93","GOY005_OAK005",2719,3215,5934
"191","OAK005_VLC009",2565,2971,5536
"69","VLC004_OAK005",2715,2733,5448
"15","JAE014_OAK005",2571,2828,5399
"201","EMN001_KNP009",1511,1049,2560
"125","KNP001_JAE008",1223,1170,2393
"163","OAK002_JAE008",1088,1146,2234
"123","KNP001_VLC009",1027,1063,2090
"89","GOY005_OAK002",917,1159,2076
"61","VLC004_KNP001",1025,1046,2071
"7","JAE014_KNP001",973,1046,2019
"161","OAK002_VLC009",905,1056,1961
"65","VLC004_OAK002",985,945,1930
"11","JAE014_OAK002",916,1012,1928
"189","OAK005_KNP009",774,1097,1871
"215","MTM009_JAE008",1000,821,1821
"85","GOY005_KNP001",947,818,1765
"213","MTM009_VLC009",874,742,1616
"19","JAE014_MTM009",818,772,1590
"237","JAE008_ECO004",592,993,1585
"73","VLC004_MTM009",835,741,1576
"145","KNP004_JAE008",732,799,1531
"107","GOY005_ECO004",494,1019,1513
"121","KNP001_KNP009",238,1223,1461
"233","VLC009_ECO004",463,922,1385
"185","OAK005_EMN001",543,805,1348
"29","JAE014_ECO004",465,868,1333
"97","GOY005_MTM009",688,634,1322
"143","KNP004_VLC009",571,748,1319
"63","VLC004_KNP004",586,730,1316
"83","VLC004_ECO004",491,791,1282
"9","JAE014_KNP004",566,702,1268
"235","JAE008_DJA002",692,469,1161
"179","KNP005_JAE008",426,640,1066
"231","VLC009_DJA002",612,414,1026
"81","VLC004_DJA002",591,424,1015
"211","MTM009_KNP009",447,568,1015
"27","JAE014_DJA002",586,422,1008
"105","GOY005_DJA002",533,430,963
"177","KNP005_VLC009",373,573,946
"67","VLC004_KNP005",346,594,940
"53","TAF008_JAE008",367,562,929
"109","KNP001_KNP004",138,784,922
"13","JAE014_KNP005",322,582,904
"87","GOY005_KNP004",468,428,896
"31","TAF008_VLC004",322,520,842
"51","TAF008_VLC009",304,513,817
"1","JAE014_TAF008",289,486,775
"141","KNP004_KNP009",214,554,768
"33","TAF008_GOY005",254,500,754
"175","KNP005_KNP009",181,505,686
"113","KNP001_KNP005",95,552,647
"225","KNP009_DJA002",236,408,644
"119","KNP001_MTM009",267,374,641
"133","KNP004_KNP005",117,507,624
"91","GOY005_KNP005",261,354,615
"173","KNP005_MTM009",225,364,589
"139","KNP004_MTM009",268,296,564
"155","OAK002_EMN001",229,329,558
"159","OAK002_KNP009",312,244,556
"49","TAF008_KNP009",169,384,553
"117","KNP001_EMN001",263,251,514
"217","MTM009_DJA002",101,371,472
"127","KNP001_DJA002",186,268,454
"115","KNP001_OAK005",146,301,447
"199","EMN001_MTM009",188,235,423
"147","KNP004_DJA002",202,201,403
"209","EMN001_ECO004",80,312,392
"187","OAK005_MTM009",133,252,385
"195","OAK005_DJA002",137,239,376
"207","EMN001_DJA002",185,189,374
"47","TAF008_MTM009",130,225,355
"227","KNP009_ECO004",177,177,354
"137","KNP004_EMN001",160,172,332
"35","TAF008_KNP001",104,218,322
"153","OAK002_OAK005",65,251,316
"181","KNP005_DJA002",112,204,316
"41","TAF008_KNP005",100,207,307
"135","KNP004_OAK005",111,196,307
"169","KNP005_OAK005",92,200,292
"43","TAF008_OAK005",65,223,288
"45","TAF008_EMN001",63,222,285
"37","TAF008_KNP004",100,180,280
"171","KNP005_EMN001",111,142,253
"55","TAF008_DJA002",80,167,247
"157","OAK002_MTM009",75,113,188
"197","OAK005_ECO004",62,116,178
"111","KNP001_OAK002",97,80,177
"129","KNP001_ECO004",63,105,168
"165","OAK002_DJA002",79,89,168
"131","KNP004_OAK002",81,64,145
"239","DJA002_ECO004",57,78,135
"167","OAK002_ECO004",51,82,133
"39","TAF008_OAK002",50,80,130
"149","KNP004_ECO004",46,74,120
"151","OAK002_KNP005",66,54,120
"219","MTM009_ECO004",42,72,114
"183","KNP005_ECO004",36,71,107
"57","TAF008_ECO004",23,69,92
